species_index,RD1,RD2,RD3,RDA,RDB
1.0,0.0186,0.0146,0.00288,0.009884,1.6667
2.0,0.0392,0.018,0.00207,0.007244,1.8182
3.0,0.0388,0.0269,0.00466,0.017299,1.5571
4.0,0.069,0.0225,0.00183,0.015248,1.7333
5.0,0.03,0.018,0.00281,0.011109,1.725
6.0,0.01925,0.01676,0.00365,0.009187,1.76
7.0,0.01925,0.01676,0.00365,0.009187,1.76
8.0,0.03,0.0173,0.00259,0.007875,1.736
9.0,0.0172,0.00877,0.00112,0.011402,1.756
10.0,0.0219,0.0169,0.00325,0.007813,1.778
11.0,0.01925,0.01676,0.00365,0.009187,1.76
12.0,0.01925,0.01676,0.00365,0.009187,1.76
13.0,0.0204,0.0246,0.0074,0.0,0.0
14.0,0.0194,0.0142,0.00261,0.0,0.0
15.0,0.03,0.0238,0.0049,0.008915,1.78
16.0,0.0204,0.0246,0.0074,0.0,0.0
17.0,0.0219,0.0169,0.00325,0.007813,1.778
18.0,0.0204,0.0246,0.0074,0.0,0.0
