species_index,WEIBA,WEIBB0,WEIBB1,WEIBC0,WEIBC1,C0,C1,CRNMLT,DLOW,DHI
1.0,0.0,0.74338,0.9785,-3.98461,1.34802,6.94062,-0.01927,1.0,0.0,99.0
2.0,0.0,-0.00114,1.113,3.40943,0.0,5.3039,-0.02049,1.0,0.0,99.0
3.0,0.0,0.35559,1.0422,-0.68418,0.80153,6.69836,-0.02594,1.0,0.0,99.0
4.0,0.0,0.4601,1.02563,-1.74681,0.98317,7.07172,-0.03044,1.0,0.0,99.0
5.0,0.0,0.4601,1.02563,-1.74681,0.98317,7.07172,-0.03044,1.0,0.0,99.0
6.0,0.0,0.07609,1.10184,3.01,0.0,7.238,0.0,1.0,0.0,99.0
7.0,0.0,-0.0497,1.1425,2.49474,0.0,4.82367,-0.02373,1.0,0.0,99.0
8.0,0.0,0.74338,0.9785,-3.98461,1.34802,6.94062,-0.01927,1.0,0.0,99.0
9.0,0.0,0.40743,1.02954,4.06366,0.0,7.97175,-0.03545,1.0,0.0,99.0
10.0,0.0,0.22542,1.06011,0.58615,0.64158,6.2385,-0.03064,1.0,0.0,99.0
11.0,1.0,-0.82631,1.06217,3.31429,0.0,6.19911,-0.02216,1.0,0.0,99.0
12.0,1.0,-0.82631,1.06217,3.31429,0.0,6.19911,-0.02216,1.0,0.0,99.0
13.0,0.0,0.196054,1.073909,0.345647,0.620145,5.417431,-0.011608,1.0,0.0,99.0
14.0,1.0,-0.811424,1.05619,-3.831124,1.401938,5.20055,-0.01489,1.0,0.0,99.0
15.0,0.0,-0.08414,1.14765,2.775,0.0,4.01678,-0.01516,1.0,0.0,99.0
16.0,0.0,-0.238295,1.180163,3.044134,0.0,4.625125,-0.016042,1.0,0.0,99.0
17.0,0.0,0.22542,1.06011,0.58615,0.64158,6.2385,-0.03064,1.0,0.0,99.0
18.0,0.0,-0.238295,1.180163,3.044134,0.0,4.625125,-0.016042,1.0,0.0,99.0
