species_index,DGLD,DGCR,DGCRSQ,DGBA,DGBAL,DGCCFA,DGSIC,DGSITE,DGDBAL,DGLBA,DGPCCF,OBSERV,DGDS,DGCASP,DGSASP,DGSLOP,DGSLSQ,DGEL,DGEL2,DGFOR_1,DGFOR_2,DGFOR_3,DGFOR_4
1,0.77889,3.36606,-1.80146,0.0,0.0,0.0,0.0,0.0,-0.00897,0.0,0.0,256.0,-9.1e-5,0.12915,-0.19278,0.77922,-0.93813,0.00279,-1.0e-5,-0.23185,-0.23185,-0.23185,-0.23185
2,0.41802,2.1544,-1.03088,0.0,0.0,0.0,0.0,0.47469,-0.00801,0.0,0.0,1209.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.56061,-0.56061,-0.56061,-0.56061
3,0.5799,2.13121,-0.40173,0.0,0.0,0.0,0.0,0.76217,-0.00886,-0.06574,-0.00034,3478.0,-0.00038,-0.15167,-0.11862,-0.28123,0.0,0.00371,0.0,-1.69223,-1.69223,-1.69223,-1.78978
4,1.01031,2.5653,-0.91846,0.0,0.0,0.0,0.0,0.58666,-0.00557,-0.15658,0.0,2963.0,-0.000541,-0.16504,-0.19627,-0.67496,0.76704,-0.00633,0.0,-1.16884,-1.16884,-1.16884,-1.16884
5,0.8978,1.284,0.0,0.0,0.0,0.0,0.0,0.0,-0.006611,0.0,-0.001074,1000.0,-0.000484,0.1794,0.1336,0.0763,0.0,0.0852,-0.00094,-1.6803,-1.6803,-1.6803,-1.6803
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.70429,3.00236,-1.24947,0.0,0.0,0.0,0.0,0.3445,-0.00251,-0.17037,-0.00032,1117.0,0.0,-0.3787,0.0976,0.0399,0.0,-0.06908,0.00062,1.59448,1.59448,1.59448,1.49879
8,1.12805,3.2277,-1.13951,0.0,0.0,0.0,0.0,0.34406,-0.00156,0.0,-0.00014,596.0,-0.000289,-0.11989,0.35781,0.0,0.0,0.0,0.0,-2.38952,-2.38952,-2.38952,-2.38952
9,0.83642,1.60755,0.0,0.0,0.0,0.0,0.0,0.51754,-0.00091,-0.18969,-0.00038,599.0,8.8e-5,-0.44759,-0.27729,0.35402,0.0,-0.01423,0.0,-0.48027,-0.48027,-0.48027,-0.48027
10,0.44675,1.70901,0.0,0.0,0.0,0.0,0.0,0.73067,-0.01184,-0.10675,-0.00057,6577.0,-0.000214,-0.0228,-0.1248,-0.16402,0.0,-0.05796,0.0006,0.05217,-0.04456,0.05217,0.11197
11,0.213947,1.523464,0.0,0.0,-0.358634,-0.199592,0.001766,0.0,0.0,0.0,0.0,0.0,-0.0006538,-0.609774,-0.01752,-2.05706,2.11326,0.0,0.0,1.911884,1.911884,1.911884,1.911884
12,0.213947,1.523464,0.0,0.0,-0.358634,-0.199592,0.001766,0.0,0.0,0.0,0.0,0.0,-0.0006538,-0.609774,-0.01752,-2.05706,2.113263,0.0,0.0,1.911884,1.911884,1.911884,1.911884
13,0.879338,1.970052,0.0,-0.000173,0.0,0.0,0.0,0.252853,-0.004215,0.0,0.0,475.0,-0.0001323,0.0,0.0,0.0,0.0,0.0,0.0,-1.310067,-1.310067,-1.310067,-1.310067
14,0.81688,2.471226,0.0,-0.000147,0.0,0.0,0.0,0.244694,-0.00595,0.0,0.0,0.0,-0.0002536,-0.023186,0.679903,0.0,0.0,0.0,0.0,-1.178041,-1.178041,-1.178041,-1.178041
15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,0.889596,1.732535,0.0,-0.000981,0.0,0.0,0.0,0.227307,-0.001265,0.0,0.0,220.0,0.0,0.085958,-0.86398,0.0,0.0,-0.075986,0.001193,-0.107648,-0.107648,-0.107648,-0.107648
17,0.44675,1.70901,0.0,0.0,0.0,0.0,0.0,0.73067,-0.01184,-0.10675,-0.00057,6577.0,-0.000214,-0.0228,-0.1248,-0.16402,0.0,-0.05796,0.0006,0.05217,-0.04456,0.05217,0.11197
18,0.889596,1.732535,0.0,-0.000981,0.0,0.0,0.0,0.227307,-0.001265,0.0,0.0,220.0,0.0,0.085958,-0.86398,0.0,0.0,-0.075986,0.001193,-0.107648,-0.107648,-0.107648,-0.107648
