# SMMAPS (18): 1 1 2 3 4 0 4 3 3 5 0 0 0 0 0 0 5 0
# IBSERV (5,3) col-major: 1000 1000 1000 1000 1000 27 70 123 101 33 184 429 356 162 74
smmaph_row,g1,g2,g3,g4,g5
1,0,1,0,0,0
2,0,1,0,0,0
3,0,3,0,2,0
4,0,3,0,2,0
5,0,3,0,2,0
6,0,3,0,2,0
7,0,3,0,2,0
8,0,3,0,2,0
9,0,3,0,2,0
10,0,3,0,2,0
11,0,4,0,0,0
12,0,4,0,0,0
13,0,3,0,2,0
14,0,0,0,0,0
15,0,0,0,0,0
16,0,0,0,0,0
17,0,0,0,0,0
18,0,0,0,0,0
19,0,0,0,0,0
20,0,0,0,0,0
21,0,1,0,0,0
22,0,1,0,0,0
23,0,0,0,0,0
24,0,1,0,0,0
25,0,1,0,0,0
26,0,0,0,0,0
27,0,1,0,0,0
28,2,2,0,0,0
29,0,0,0,0,0
30,2,2,0,0,0
31,0,3,0,2,3
32,0,3,0,2,3
33,0,3,0,2,3
34,0,3,0,2,3
35,0,3,0,2,3
36,0,3,0,2,3
37,0,3,0,2,3
38,0,3,0,2,3
39,0,3,0,2,3
40,0,3,0,2,3
41,0,3,0,2,3
42,0,3,0,2,3
43,0,3,0,2,3
44,0,3,0,2,3
45,0,3,0,2,3
46,0,3,0,2,3
47,0,0,0,0,0
48,0,0,0,0,0
49,0,3,0,0,3
50,0,3,0,0,3
51,0,3,0,0,3
52,0,3,0,0,3
53,0,3,0,2,3
54,0,3,0,2,3
55,0,3,0,0,3
56,0,3,0,0,3
57,0,0,0,0,0
58,0,0,0,0,0
59,0,3,0,0,3
60,0,0,0,0,0
61,0,3,0,0,3
62,2,2,0,0,0
63,0,0,0,0,0
64,0,0,0,0,0
65,0,0,0,0,0
66,0,0,0,0,0
67,0,0,0,0,0
68,0,0,0,0,1
69,0,0,0,0,1
70,1,0,0,1,2
71,1,0,0,1,2
72,0,0,0,0,1
73,0,0,0,0,1
74,0,0,0,0,1
75,0,0,0,0,1
76,0,0,0,0,1
77,1,0,0,1,0
78,1,0,0,1,0
79,1,0,0,1,0
80,1,0,0,1,0
81,1,0,0,1,2
82,1,0,0,0,1
83,1,0,0,1,0
84,1,0,0,1,0
85,1,0,0,1,2
86,1,0,2,0,0
87,1,3,1,0,0
88,1,3,1,0,0
89,1,0,2,0,0
90,0,3,0,2,3
91,0,3,0,2,3
92,0,3,0,2,3
