pa,spc,fvsseq,sdimx,site,numbr,iflag
CAG111,DF,3,0.,48.,5,0
CAG111,WL,2,0.,65.,5,0
CAG111,LP,7,490.,78.,5,1
CAG111,ES,8,0.,66.,5,0
CAG111,AF,9,465.,62.,5,0
CAG4,DF,3,0.,56.,4,0
CAG4,LP,7,490.,78.,4,1
CAG4,ES,8,0.,64.,4,0
CAG4,AF,9,465.,48.,4,0
CDG111,PP,10,278.,77.,4,1
CDG111,DF,3,351.,52.,4,0
CDG111,WL,2,0.,59.,4,0
CDG111,GF,4,0.,62.,4,0
CDG112,PP,10,329.,83.,4,1
CDG112,DF,3,330.,53.,4,0
CDG112,WL,2,0.,55.,4,0
CDG112,GF,4,0.,48.,4,0
CDG121,PP,10,451.,86.,2,1
CDG121,DF,3,475.,55.,2,0
CDS611,PP,10,425.,86.,2,0
CDS611,DF,3,319.,64.,2,1
CDS622,PP,10,416.,84.,2,1
CDS622,DF,3,475.,60.,2,0
CDS623,PP,10,451.,90.,2,1
CDS623,DF,3,0.,55.,2,0
CDS624,PP,10,341.,81.,4,0
CDS624,DF,3,309.,61.,4,1
CDS624,WL,2,256.,0.,4,0
CDS624,GF,4,0.,70.,4,0
CDS634,PP,10,441.,82.,2,1
CDS634,DF,3,464.,61.,2,0
CDS711,PP,10,343.,87.,3,0
CDS711,DF,3,281.,59.,3,1
CDS711,WL,2,320.,64.,3,0
CDS722,PP,10,351.,96.,2,0
CDS722,DF,3,346.,64.,2,1
CDS821,PP,10,241.,92.,2,0
CDS821,DF,3,229.,53.,2,1
CEF221,WL,2,348.,62.,4,0
CEF221,LP,7,333.,65.,4,1
CEF221,ES,8,538.,67.,4,0
CEF221,AF,9,488.,40.,4,0
CEF311,LP,7,359.,65.,4,1
CEF311,ES,8,586.,69.,4,0
CEF311,GF,4,0.,57.,4,0
CEF311,AF,9,443.,65.,4,0
CEF331,LP,7,556.,65.,3,1
CEF331,ES,8,430.,60.,3,0
CEF331,AF,9,478.,0.,3,0
CEF411,DF,3,475.,59.,6,0
CEF411,WL,2,513.,0.,6,0
CEF411,LP,7,405.,65.,6,1
CEF411,ES,8,568.,58.,6,0
CEF411,GF,4,0.,54.,6,0
CEF411,AF,9,483.,54.,6,0
CEM111,ES,8,635.,80.,1,1
CEM221,ES,8,712.,90.,1,1
CEM222,ES,8,842.,105.,1,1
CEM311,ES,8,643.,85.,1,1
CEM312,ES,8,444.,76.,1,1
CES131,PP,10,379.,0.,5,0
CES131,WL,2,414.,83.,5,1
CES131,ES,8,586.,72.,5,0
CES131,GF,4,681.,77.,5,0
CES131,AF,9,429.,69.,5,0
CES221,DF,3,0.,56.,4,0
CES221,LP,7,360.,65.,4,1
CES221,ES,8,460.,0.,4,0
CES221,AF,9,410.,0.,4,0
CES311,WL,2,478.,63.,5,0
CES311,LP,7,319.,0.,5,0
CES311,ES,8,478.,58.,5,0
CES311,GF,4,0.,72.,5,0
CES311,AF,9,331.,51.,5,1
CES314,WL,2,513.,79.,4,1
CES314,ES,8,586.,69.,4,0
CES314,GF,4,0.,69.,4,0
CES314,AF,9,520.,53.,4,0
CES315,DF,3,475.,55.,6,0
CES315,WL,2,460.,62.,6,0
CES315,LP,7,381.,82.,6,1
CES315,ES,8,573.,65.,6,0
CES315,GF,4,0.,55.,6,0
CES315,AF,9,425.,63.,6,0
CES411,DF,3,458.,0.,7,0
CES411,WL,2,475.,46.,7,0
CES411,LP,7,396.,66.,7,1
CES411,ES,8,458.,53.,7,0
CES411,GF,4,0.,61.,7,0
CES411,AF,9,456.,44.,7,0
CES411,WB,11,0.,19.,7,0
CES414,DF,3,0.,64.,6,0
CES414,WL,2,513.,58.,6,0
CES414,LP,7,0.,66.,6,0
CES414,ES,8,474.,60.,6,0
CES414,GF,4,0.,52.,6,0
CES414,AF,9,419.,53.,6,1
CES415,DF,3,475.,0.,6,0
CES415,WL,2,513.,51.,6,0
CES415,LP,7,405.,70.,6,1
CES415,ES,8,568.,57.,6,0
CES415,GF,4,0.,51.,6,0
CES415,AF,9,483.,48.,6,0
CLF211,WL,2,0.,55.,2,0
CLF211,LP,7,690.,72.,2,1
CLG211,LP,7,395.,39.,1,1
CLM112,PP,10,538.,97.,1,1
CLM113,LP,7,491.,57.,1,1
CLM114,LP,7,549.,45.,1,1
CLM312,LP,7,466.,54.,1,1
CLM313,LP,7,558.,51.,1,1
CLM314,LP,7,519.,59.,1,1
CLM911,LP,7,495.,35.,1,1
CLS411,LP,7,331.,34.,1,1
CLS415,WL,2,0.,45.,4,0
CLS415,LP,7,785.,61.,4,1
CLS415,ES,8,0.,52.,4,0
CLS415,AF,9,0.,42.,4,0
