species_index,ls_spi,v2t,tfall_cls,leaf_life,dkr_cls,snag_cls,bark_eqnum,snag_decayx,snag_fallx,snag_alldwn,biogrp,bio_group
1,15,22.5,15,4,1,2,1,1.0,1.0,75,4,4
2,8,29.9,15,1,1,2,1,1.0,1.0,100,1,1
3,3,28.7,15,5,1,2,1,1.0,1.0,75,2,2
4,4,21.8,15,7,3,2,1,1.0,1.0,60,3,3
5,24,26.2,15,5,2,2,1,1.0,1.0,70,3,3
6,16,34.9,15,4,1,2,1,1.0,1.0,100,10,10
7,11,23.7,15,3,2,2,1,1.0,1.0,50,4,4
8,18,20.6,10,6,2,2,1,1.0,1.0,75,5,5
9,1,19.3,15,7,3,2,1,1.0,1.0,60,3,3
10,13,23.7,10,4,3,2,1,1.0,1.0,80,4,4
11,14,22.5,15,3,1,2,1,1.0,1.0,110,4,4
12,11,22.5,15,3,1,2,1,1.0,1.0,110,4,4
13,7,26.2,20,7,1,2,1,1.0,1.0,90,3,3
14,8,26.2,20,5,1,2,1,1.0,1.0,300,1,1
15,41,21.8,15,1,4,1,1,1.0,1.0,90,6,6
16,17,19.3,15,1,4,1,1,1.0,1.0,90,6,6
17,13,23.7,10,4,3,2,1,1.0,1.0,80,4,4
18,41,21.8,15,1,4,1,1,1.0,1.0,90,8,8
