forest_ifor,species_index,P2,P3,P4
1.0,1.0,140.8498,4.9436,-0.6048
1.0,2.0,188.15,5.642,-0.7348
1.0,3.0,476.1213,5.0963,-0.3461
1.0,4.0,846.4856,6.1757,-0.321
1.0,5.0,150.5836,5.5158,-0.6435
1.0,6.0,0.0,0.0,0.0
1.0,7.0,1901.4963,5.9791,-0.23
1.0,8.0,211.5595,7.313,-0.7176
1.0,9.0,437.3897,5.66,-0.3975
1.0,10.0,1818.1733,6.8482,-0.2535
1.0,11.0,0.0,0.0,0.0
1.0,12.0,0.0,0.0,0.0
1.0,13.0,77.2207,3.5181,-0.5894
1.0,14.0,97.7769,8.8202,-1.0534
1.0,15.0,0.0,0.0,0.0
1.0,16.0,178.6441,4.5852,-0.6746
1.0,17.0,1818.1733,6.8482,-0.2535
1.0,18.0,1709.7229,5.8887,-0.2286
2.0,1.0,140.8498,4.9436,-0.6048
2.0,2.0,255.4638,5.5577,-0.6054
2.0,3.0,318.7441,5.6666,-0.4666
2.0,4.0,686.4831,6.5393,-0.374
2.0,5.0,150.5836,5.5158,-0.6435
2.0,6.0,0.0,0.0,0.0
2.0,7.0,228.0877,4.2939,-0.4277
2.0,8.0,738.6208,5.5866,-0.3193
2.0,9.0,128.7188,6.9094,-0.9039
2.0,10.0,1526.6312,6.9207,-0.2774
2.0,11.0,0.0,0.0,0.0
2.0,12.0,0.0,0.0,0.0
2.0,13.0,77.2207,3.5181,-0.5894
2.0,14.0,97.7769,8.8202,-1.0534
2.0,15.0,0.0,0.0,0.0
2.0,16.0,178.6441,4.5852,-0.6746
2.0,17.0,1526.6312,6.9207,-0.2774
2.0,18.0,1709.7229,5.8887,-0.2286
3.0,1.0,140.8498,4.9436,-0.6048
3.0,2.0,186.6635,5.3006,-0.7604
3.0,3.0,219.4816,5.3103,-0.5643
3.0,4.0,297.7143,5.952,-0.529
3.0,5.0,150.5836,5.5158,-0.6435
3.0,6.0,0.0,0.0,0.0
3.0,7.0,89.0137,7.7404,-1.353
3.0,8.0,221.5298,6.1879,-0.6629
3.0,9.0,164.6321,6.9476,-0.765
3.0,10.0,313.427,6.4808,-0.5194
3.0,11.0,0.0,0.0,0.0
3.0,12.0,0.0,0.0,0.0
3.0,13.0,77.2207,3.5181,-0.5894
3.0,14.0,97.7769,8.8202,-1.0534
3.0,15.0,0.0,0.0,0.0
3.0,16.0,178.6441,4.5852,-0.6746
3.0,17.0,313.427,6.4808,-0.5194
3.0,18.0,1709.7229,5.8887,-0.2286
4.0,1.0,140.8498,4.9436,-0.6048
4.0,2.0,326.9389,4.6684,-0.4657
4.0,3.0,260.1577,5.2245,-0.5013
4.0,4.0,360.9231,5.7382,-0.4544
4.0,5.0,150.5836,5.5158,-0.6435
4.0,6.0,0.0,0.0,0.0
4.0,7.0,117.1495,4.8451,-0.8613
4.0,8.0,219.4529,6.1539,-0.6558
4.0,9.0,128.7188,6.9094,-0.9039
4.0,10.0,649.6683,6.1279,-0.3511
4.0,11.0,0.0,0.0,0.0
4.0,12.0,0.0,0.0,0.0
4.0,13.0,77.2207,3.5181,-0.5894
4.0,14.0,97.7769,8.8202,-1.0534
4.0,15.0,0.0,0.0,0.0
4.0,16.0,178.6441,4.5852,-0.6746
4.0,17.0,649.6683,6.1279,-0.3511
4.0,18.0,1709.7229,5.8887,-0.2286
