kodtyp,pa
1,CAG111
2,CAG4
3,CDG111
4,CDG112
5,CDG121
6,CDS611
7,CDS622
8,CDS623
9,CDS624
10,CDS634
11,CDS711
12,CDS722
13,CDS821
14,CEF221
15,CEF311
16,CEF331
17,CEF411
18,CEM111
19,CEM221
20,CEM222
21,CEM311
22,CEM312
23,CES131
24,CES221
25,CES311
26,CES314
27,CES315
28,CES411
29,CES414
30,CES415
31,CLF211
32,CLG211
33,CLM112
34,CLM113
35,CLM114
36,CLM312
37,CLM313
38,CLM314
39,CLM911
40,CLS411
41,CLS415
42,CLS416
43,CLS5
44,CLS511
45,CLS515
46,CLS6
47,CMS131
48,CMS231
49,CPG111
50,CPG112
51,CPG131
52,CPG132
53,CPG221
54,CPG222
55,CPM111
56,CPS131
57,CPS221
58,CPS222
59,CPS226
60,CPS232
61,CPS233
62,CPS234
63,CPS511
64,CPS522
65,CPS523
66,CPS524
67,CPS525
68,CWC811
69,CWC812
70,CWF311
71,CWF312
72,CWF421
73,CWF431
74,CWF512
75,CWF611
76,CWF612
77,CWG111
78,CWG112
79,CWG113
80,CWG211
81,CWS211
82,CWS212
83,CWS321
84,CWS322
85,CWS412
86,CWS541
87,CWS811
88,CWS812
89,CWS912
90,HQM121
91,HQM411
92,HQS221
