pvcode,pvref,habpvr
CA,639,CAG111
CAC0,639,CAG111
CAC1,609,CAG111
CAC1,639,CAG111
CAC111,626,CAG111
CAC111,639,CAG111
CAC112,626,CAG111
CAC112,639,CAG111
CAC113,626,CAG111
CAC113,639,CAG111
CAC114,626,CAG111
CAC114,639,CAG111
CAC115,626,CAG111
CAC115,639,CAG111
CAC2,639,CAG111
CAC3,639,CAG111
CAC4,639,CAG111
CAC5,639,CAG111
CAC6,639,CAG111
CAF0,622,CAG111
CAF0,639,CAG111
CAF0,640,CAF0
CAF2,622,CAG111
CAF2,639,CAG111
CAF2,640,CAG111
CAF211,623,CAG111
CAF211,639,CAG111
CAF311,623,CAG111
CAF311,639,CAG111
CAF312,647,CAG111
CAF312,648,CAG111
CAF312,650,CAG111
CAF321,626,CAG111
CAF321,639,CAG111
CAF322,640,CAG111
CAF323,640,CAG111
CAF324,640,CAG111
CAG0,639,CAG111
CAG1,632,CAG111
CAG1,639,CAG111
CAG111,604,CAG111
CAG111,622,CAG111
CAG111,639,CAG111
CAG111,640,CAG111
CAG112,609,CAG111
CAG112,626,CAG111
CAG112,627,CAG111
CAG112,639,CAG111
CAG131,640,CAG111
CAG132,640,CAG111
CAG133,640,CAG111
CAG2,639,CAG111
CAG211,623,CAG111
CAG211,639,CAG111
CAG221,626,CAG111
CAG221,639,CAG111
CAG221,640,CAG111
CAG222,640,CAG111
CAG3,622,CAG111
CAG3,640,CAG111
CAG311,623,CAG111
CAG311,639,CAG111
CAG312,623,CAG111
CAG312,639,CAG111
CAG313,647,CAG111
CAG313,648,CAG111
CAG313,650,CAG111
CAG314,647,CAG111
CAG314,648,CAG111
CAG314,650,CAG111
CAG4,622,CAG111
CAG4,639,CAG111
CARR,639,CAG111
CARS,639,CAG111
CARX,639,CAG111
CAS0,639,CAG111
CAS211,623,CAG111
CAS211,639,CAG111
CAS212,647,CAG111
CAS212,648,CAG111
CAS212,650,CAG111
CAS221,626,CAG111
CAS221,639,CAG111
CAS311,626,CAG111
CAS311,639,CAG111
CAS311,640,CAG111
CAS312,640,CAG111
CAS313,640,CAG111
CAS411,623,CAG111
CAS411,639,CAG111
CAS412,647,CAG111
CAS412,648,CAG111
CAS412,650,CAG111
CAS421,626,CAG111
CAS421,639,CAG111
CAS422,640,CAG111
CAS423,640,CAG111
CAS424,640,CAG111
CAS511,640,CAG111
CAS512,640,CAG111
CAS611,640,CAG111
CAS621,640,CAG111
CAS622,640,CAG111
CAS623,640,CAG111
CAS624,640,CAG111
CAS625,640,CAG111
CAS626,640,CAG111
CAS627,640,CAG111
CAS628,640,CAG111
CAS629,640,CAG111
CAXX,639,CAG111
CCF221,638,CDC712
CCF221,639,CDC712
CCF222,627,CDC712
CCF222,631,CDC712
CCF222,639,CDC712
CCF231,631,CDC712
CCF232,631,CDC712
CCFA,639,CDC712
CDC323,641,CDG112
CDC4,639,CDG112
CDC421,641,CDG112
CDC422,641,CDG112
CDC5,639,CDG112
CDC511,635,CDG112
CDC511,639,CDG112
CDC512,635,CDG112
CDC512,639,CDG112
CDC521,641,CDG112
CDC6,639,CDG112
CDC710,647,CDG121
CDC710,648,CDG121
CDC710,650,CDG121
CDC712,616,CDG715
CDC712,639,CDG715
CDC712,648,CDG715
CDC714,648,CDG121
CDC714,650,CDG121
CDC715,647,CDG715
CDF0,639,CDG112
CDF2,639,CDG112
CDF211,639,CDG112
CDF3,639,CDG112
CDF311,639,CDG112
CDF312,639,CDG112
CDF313,640,CDG112
CDF4,639,CDG112
CDF411,626,CDG112
CDF411,639,CDG112
CDG0,639,CDG112
CDG1,639,CDG112
CDG111,604,CDG111
CDG111,622,CDG111
CDG111,639,CDG111
CDG111,640,CDG111
CDG112,622,CDG112
CDG112,628,CDG112
CDG112,639,CDG112
CDG112,640,CDG112
CDG113,639,CDG112
CDG121,615,CDG121
CDG121,632,CDG121
CDG121,639,CDG121
CDG121,640,CDG121
CDG122,631,CDG121
CDG122,632,CDG121
CDG122,639,CDG121
CDG123,609,CDG121
CDG123,627,CDG121
CDG123,639,CDG121
CDG131,609,CDG121
CDG131,626,CDG121
CDG131,627,CDG121
CDG131,631,CDG121
CDG131,638,CDG121
CDG131,639,CDG121
CDG132,626,CDG111
CDG132,639,CDG111
CDG134,626,CDG121
CDG134,639,CDG121
CDG141,619,CDG111
CDG141,639,CDG111
CDG142,639,CDG111
CDG2,639,CDG121
CDG3,639,CDG121
CDG311,609,CDS611
CDG311,627,CDS611
CDG311,639,CDS611
CDG321,619,CDG121
CDG321,639,CDG121
CDG322,626,CDG121
CDG322,639,CDG121
CDG323,626,CDG121
CDG323,639,CDG121
CDG331,628,CDG121
CDG331,639,CDG121
CDG332,631,CDG121
CDG332,639,CDG121
CDG333,640,CDG121
CDG8,639,CDG121
CDH0,639,CDS611
CDH2,639,CDS611
CDH3,639,CDS611
CDH321,641,CDS611
CDH5,639,CDS611
CDH521,641,CDS611
CDH522,641,CDS611
CDH524,641,CDS611
CDRR,639,CDS611
CDRS,639,CDS611
CDRX,639,CDS611
CDS0,639,CDS611
CDS1,639,CDS611
CDS121,641,CDS611
CDS122,641,CDS611
CDS123,641,CDS611
CDS124,647,CDS611
CDS124,648,CDS611
CDS124,650,CDS611
CDS151,603,CDS611
CDS151,639,CDS611
CDS2,639,CDS611
CDS211,616,CDS611
CDS211,639,CDS611
CDS212,616,CDS611
CDS212,639,CDS611
CDS212,647,CDS611
CDS212,648,CDS611
CDS213,616,CDS611
CDS213,639,CDS611
CDS213,647,CDS611
CDS213,648,CDS611
CDS214,641,CDS611
CDS215,641,CDS611
CDS216,647,CDS611
CDS216,648,CDS611
CDS216,650,CDS611
CDS217,647,CDS611
CDS217,648,CDS611
CDS217,650,CDS611
CDS221,618,CDS611
CDS221,639,CDS611
CDS231,619,CDS611
CDS231,639,CDS611
CDS301,642,CDC712
CDS312,647,CDC712
CDS312,648,CDC712
CDS312,650,CDC712
CDS4,639,CDS611
CDS411,609,CDS611
CDS411,626,CDS611
CDS411,639,CDS611
CDS412,626,CDS611
CDS412,639,CDS611
CDS512,639,CDG121
CDS512,647,CDG121
CDS512,648,CDG121
CDS512,650,CDDG121
CDS6,639,CDS622
CDS611,604,CDS622
CDS611,622,CDS611
CDS611,631,CDS611
CDS611,639,CDS611
CDS611,640,CDS611
CDS612,611,CDS622
CDS612,639,CDS622
CDS613,611,CDS622
CDS613,639,CDS622
CDS614,611,CDS622
CDS614,639,CDS622
CDS621,639,CDS622
CDS622,615,CDS622
CDS622,639,CDS622
CDS622,640,CDS622
CDS623,615,CDS623
CDS623,639,CDS623
CDS623,640,CDS623
CDS624,622,CDS624
CDS624,639,CDS624
CDS624,640,CDS624
CDS625,622,CDS623
CDS625,639,CDS623
CDS625,640,CDS623
CDS626,639,CDS623
CDS627,631,CDS624
CDS627,632,CDS624
CDS627,638,CDS624
CDS627,639,CDS624
CDS628,624,CDS624
CDS628,639,CDS624
CDS628,640,CDS624
CDS631,609,CDS611
CDS631,639,CDS611
CDS632,609,CDS623
CDS632,626,CDS623
CDS632,627,CDS623
CDS632,639,CDS623
CDS633,609,CDS624
CDS633,627,CDS624
CDS633,639,CDS624
CDS634,615,CDS634
CDS634,639,CDS634
CDS634,640,CDS634
CDS635,631,CDS634
CDS635,639,CDS634
CDS636,626,CDS624
CDS636,639,CDS624
CDS637,626,CDS624
CDS637,639,CDS624
CDS638,626,CDS624
CDS638,639,CDS624
CDS639,626,CDS634
CDS639,639,CDS634
CDS640,626,CDS634
CDS640,639,CDS634
CDS641,616,CDS623
CDS641,639,CDS623
CDS642,640,CDS623
CDS664,640,CDS623
CDS7,628,CDS711
CDS7,639,CDS711
CDS711,604,CDS711
CDS711,615,CDS711
CDS711,622,CDS711
CDS711,639,CDS711
CDS711,640,CDS711
CDS715,609,CDS711
CDS715,627,CDS711
CDS715,631,CDS711
CDS715,638,CDS711
CDS715,639,CDS711
CDS716,627,CDS711
CDS716,631,CDS711
CDS716,639,CDS711
CDS717,639,CDS711
CDS721,632,CDS711
CDS721,639,CDS711
CDS722,615,CDS722
CDS722,639,CDS722
CDS722,640,CDS722
CDS723,639,CDS722
CDS724,624,CDS722
CDS724,639,CDS722
CDS724,640,CDS722
CDS725,640,CDS722
CDS8,639,CDS821
CDS811,609,CDS821
CDS811,639,CDS821
CDS812,615,CDS821
CDS812,639,CDS821
CDS812,640,CDS821
CDS813,627,CDS821
CDS813,639,CDS821
CDS814,627,CDS821
CDS814,639,CDS821
CDS815,639,CDS821
CDS821,622,CDS821
CDS821,639,CDS821
CDS821,640,CDS821
CDS822,639,CDS821
CDS831,626,CDS821
CDS831,639,CDS821
CDS832,626,CDS821
CDS832,639,CDS821
CDS833,626,CDS821
CDS833,639,CDS821
CDS911,640,CDS821
CDSD,622,CDS821
CDSD,639,CDS821
CDSD,640,CDS821
CE,639,CDS821
CEC0,639,CDS821
CEC1,639,CDS821
CEC2,639,CDS821
CEF0,639,CDS821
CEF1,639,CDS821
CEF111,627,CDS821
CEF111,632,CDS821
CEF111,639,CDS821
CEF111,640,CDS821
CEF2,639,CDS821
CEF2,640,CDS821
CEF211,609,CEF221
CEF211,627,CEF221
CEF211,631,CEF211
CEF211,639,CEF221
CEF221,615,CEF221
CEF221,639,CEF221
CEF221,640,CEF221
CEF222,626,CEF221
CEF222,639,CEF221
CEF231,639,CEF221
CEF3,639,CEF221
CEF311,615,CEF311
CEF311,639,CEF311
CEF311,640,CEF311
CEF321,618,CEF311
CEF321,639,CEF311
CEF331,622,CEF331
CEF331,639,CEF331
CEF331,640,CEF331
CEF332,624,CEF331
CEF332,639,CEF331
CEF332,640,CEF331
CEF333,624,CEF331
CEF333,639,CEF331
CEF333,640,CEF331
CEF334,624,CEF331
CEF334,639,CEF331
CEF334,640,CEF331
CEF335,624,CEF331
CEF335,639,CEF331
CEF335,640,CEF331
CEF336,640,CEF331
CEF341,621,CEF331
CEF341,639,CEF331
CEF4,639,CEF331
CEF411,615,CEF331
CEF411,639,CEF331
CEF411,640,CEF331
CEF412,640,CEF331
CEF421,627,CEF331
CEF421,639,CEF331
CEF422,626,CEF331
CEF422,627,CEF331
CEF422,639,CEF331
CEF423,627,CEF331
CEF423,639,CEF331
CEF424,626,CEF331
CEF424,639,CEF331
CEF431,639,CEF331
CEF432,639,CEF331
CEF433,639,CEF331
CEF434,639,CEF331
CEF435,639,CEF331
CEF435,640,CEF331
CEF436,640,CEF331
CEF437,640,CEF331
CEF441,631,CEF331
CEF511,640,CEF331
CEFM,639,CEF331
CEFW,639,CEF331
