species_index,code_alpha,code_fia,code_plants,site_lo,site_hi,dbh_max,bark1,bark2,bark_imap,st_dgmax,st_xmax,st_xmin,st_diam,st_htadj,st_break,ht1,ht2,wykoff_ht2,mort_bkgd_intercept,mort_bkgd_dbh,sdi_max_default,stump,top_dib,dbh_min,scf_min_dbh,scf_top_dib,scf_stump,bf_min_dbh,bf_top_dib,bf_stump,htdbh_iwykca,htdbh_ht1,htdbh_ht2,htdbh_p2,htdbh_p3,htdbh_p4,htdbh_db,varmrt_varadj,is_sprouting,dg_resid_sd
1,WP,119,PIMO3,20.0,80.0,20.0,0.859045,1.0,4,3.5,2.0,0.5,0.4,1.0,1.0,4.3767,-6.1281,-6.1281,6.5112,-0.0052485,679.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0,4.3767,-6.1281,0.0,0.0,0.0,0.0,1.0,0,0.567
2,WL,073,LAOC,50.0,110.0,20.0,0.859045,1.0,4,3.0,5.0,2.0,0.3,1.1,3.0,5.1631,-9.2566,-9.2566,6.5112,-0.0052485,423.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0,5.1631,-9.2566,0.0,0.0,0.0,0.0,1.0,0,0.3383
3,DF,202,PSME,50.0,110.0,50.0,0.903563,0.989388,4,2.4,2.0,0.5,0.3,1.0,1.0,4.5879,-8.9277,-8.9277,7.2985,-0.0129121,570.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0,4.5879,-8.9277,0.0,0.0,0.0,0.0,1.0,0,0.258
4,GF,017,ABGR,50.0,110.0,20.0,0.904973,1.0,4,3.6,5.0,2.0,0.3,1.0,3.0,5.0271,-11.2168,-11.2168,5.1677,-0.0077681,562.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0,5.0271,-11.2168,0.0,0.0,0.0,0.0,1.0,0,0.2548
5,MH,264,TSME,15.0,30.0,20.0,0.903563,0.989388,4,3.0,4.0,2.0,0.3,1.0,3.0,4.874,-10.405,-10.405,9.6943,-0.0127328,687.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0,4.874,-10.405,0.0,0.0,0.0,0.0,1.0,0,0.5571
6,WJ,064,JUOC,5.0,40.0,50.0,0.0,0.0,4,2.0,199.0,99.0,0.3,1.0,99.0,4.192,-5.1651,-5.1651,5.1677,-0.0077681,411.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0,4.192,-5.1651,0.0,0.0,0.0,0.0,1.1,0,0.34663
7,LP,108,PICO,30.0,70.0,20.0,0.9,1.0,4,3.5,2.0,0.5,0.4,1.0,1.0,4.3767,-6.1281,-6.1281,5.9617,-0.0340128,679.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0,4.3767,-6.1281,0.0,0.0,0.0,0.0,1.0,0,0.282
8,ES,093,PIEN,40.0,120.0,46.0,0.9,1.0,4,3.6,2.0,0.5,0.3,1.0,1.0,4.5293,-7.7725,-7.7725,9.6943,-0.0127328,620.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0,4.5293,-7.7725,0.0,0.0,0.0,0.0,1.0,0,0.3348
9,AF,019,ABLA,50.0,150.0,36.0,0.904973,1.0,4,3.6,2.0,0.5,0.3,1.0,1.0,4.4717,-6.7387,-6.7387,5.1677,-0.0077681,602.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0,4.4717,-6.7387,0.0,0.0,0.0,0.0,1.0,0,0.3249
10,PP,122,PIPO,70.0,140.0,50.0,0.809427,1.016866,4,2.8,2.0,0.5,0.5,1.0,1.0,4.6024,-11.4693,-11.4693,5.5877,-0.005348,446.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0,4.6024,-11.4693,0.0,0.0,0.0,0.0,1.0,0,0.2745
11,WB,101,PIAL,20.0,65.0,20.0,0.969,0.0,4,2.8,5.0,2.0,0.4,1.0,3.0,4.192,-5.1651,-5.1651,6.5112,-0.0052485,621.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0,4.192,-5.1651,0.0,0.0,0.0,0.0,0.8,0,0.34663
12,LM,113,PIFL2,20.0,50.0,36.0,0.9625,-0.1141,4,2.8,4.0,0.5,0.4,1.0,2.0,4.192,-5.1651,-5.1651,6.5112,-0.0052485,409.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0,4.192,-5.1651,0.0,0.0,0.0,0.0,0.8,0,0.4671
13,PY,231,TABR2,5.0,75.0,20.0,0.93329,1.0,4,2.5,2.0,0.5,0.2,1.0,1.0,4.4421,-6.5405,-6.5405,5.5877,-0.005348,452.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0,4.4421,-6.5405,0.0,0.0,0.0,0.0,0.5,0,0.4842
14,YC,042,CANO9,50.0,110.0,20.0,0.837291,1.0,4,2.5,2.0,0.5,0.2,1.0,1.0,4.4421,-6.5405,-6.5405,5.5877,-0.005348,452.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0,4.4421,-6.5405,0.0,0.0,0.0,0.0,0.5,0,0.3931
15,AS,746,POTR5,30.0,66.0,30.0,0.95,0.0,4,2.5,2.0,0.5,0.2,1.0,1.0,4.4421,-6.5405,-6.5405,5.1677,-0.0077681,562.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0,4.4421,-6.5405,0.0,0.0,0.0,0.0,1.3,1,0.34663
16,CW,747,POBAT,10.0,191.0,30.0,0.075256,0.94967,4,2.5,2.0,0.5,0.2,1.0,1.0,4.4421,-6.5405,-6.5405,5.5877,-0.005348,562.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0,4.4421,-6.5405,0.0,0.0,0.0,0.0,0.85,1,0.5357
17,OS,299,2TN,70.0,140.0,20.0,0.809427,1.016866,4,2.8,2.0,0.5,0.2,1.0,1.0,4.2597,-9.3949,-9.3949,5.5877,-0.005348,348.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0,4.2597,-9.3949,0.0,0.0,0.0,0.0,1.0,0,0.2745
18,OH,998,2TB,5.0,125.0,20.0,0.9,1.0,4,2.5,2.0,0.5,0.2,1.0,1.0,4.4421,-6.5405,-6.5405,5.9617,-0.0340128,452.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0,4.4421,-6.5405,0.0,0.0,0.0,0.0,1.0,0,0.5357
