species_index,DGLD,DGCR,DGCRSQ,DGBAL,DGDBAL,DGSASP,DGCASP,DGSLOP,DGSLSQ,DGEL,DGEL2,OBSERV
1,0.56445,1.08338,0.0,0.42112,-2.08272,0.03876,0.09817,-0.17888,0.0,0.03517,-0.000467,1635.0
2,0.5414,1.03478,0.07509,0.43637,-2.03256,0.0343,-0.21337,0.33523,-0.70216,0.0373,-0.000433,76.0
3,0.56888,2.0685,-0.62361,0.50202,-2.1159,0.06287,-0.04562,0.78176,-1.1238,0.02591,-0.000377,94.0
4,0.6881,1.93969,-0.78258,0.45142,-1.76812,-0.04595,-0.01215,1.17025,-1.52006,0.00917,-0.000117,0.0
5,0.68712,1.64133,-0.27244,0.0,-0.80918,0.10987,0.08277,0.04966,0.0,0.02863,-0.000422,0.0
6,0.58705,1.2936,0.0,0.74596,-2.28375,0.05534,-0.06625,0.11931,0.0,-0.00175,-6.7e-05,0.0
7,0.89503,1.85558,-0.36393,-0.03665,-0.43329,0.12993,0.00325,0.46546,-0.58014,-0.0048,-5.8e-05,968.0
8,0.73045,1.54643,-0.26635,0.25639,-1.18218,-0.06038,-0.13091,0.65622,-0.90143,0.06259,-0.000709,900.0
9,0.8624,0.52044,0.86236,0.0,-0.5127,-0.06862,-0.12473,0.3007,-0.62224,0.06313,-0.000676,797.0
10,0.66101,1.31618,0.0,0.0,-1.25881,0.01192,-0.09976,-0.06637,-0.4372,0.03229,-0.000422,1124.0
11,0.89778,1.28403,0.0,0.0,-0.6611,0.13363,0.17935,0.07628,0.0,0.08518,-0.000943,47.0
12,0.89778,1.28403,0.0,0.0,-0.6611,0.13363,0.17935,0.07628,0.0,0.08518,-0.000943,809.0
13,0.89778,1.28403,0.0,0.0,-0.6611,0.13363,0.17935,0.07628,0.0,0.08518,-0.000943,1079.0
14,0.56888,2.0685,-0.62361,0.50202,-2.1159,0.06287,-0.04562,0.78176,-1.1238,0.02591,-0.000377,1682.0
15,0.89778,1.28403,0.0,0.0,-0.6611,0.13363,0.17935,0.07628,0.0,0.08518,-0.000943,4014.0
