idx,spp,zones,OBSERV,CON,CASP,SASP,EL,EL2,CCFA,LD,DSQ,DBAL1,DBAL2,CR,BAL,SIGMAR
1,1;0;0;0;0;0;0;0;0;0;0;0;0;0;0,ICH/all;IDF/all,200.0,4.9231877,0.928152,0.0,-0.929742,0.0482885,0.0,0.0297018,-0.00058105,-0.658208,0.0,0.0,0.0,0.89852
2,2;0;0;0;0;0;0;0;0;0;0;0;0;0;0,ICH/all;IDF/all,739.0,-0.1021,0.0,0.6201,0.0,0.0,0.0,0.0365,-0.00084,-0.833,0.0,1.353,0.0,0.5548
3,3;14;0;0;0;0;0;0;0;0;0;0;0;0;0,ICHdk/02;ICHdk/04;ICHmk3/02;ICHmk3/03;ICHmk3/06;ICHwk2/02;ICHwk2/03;ICHwk2/04;ICHwk4/02;ICHwk4/03;ICHwk4/04;ICHwk4/05;ICHmk1/01;ICHmk1/01-ys;ICHmk1/02;ICHmk1/03;ICHmk1/04;ICHmk1/05;ICHmk2/01;ICHmk2/02;ICHmk2/03;ICHmk2/04;ICHmk2/05;ICHmw2/02;ICHmw2/03;ICHmw3/01;ICHmw3/01-y;ICHmw3/02;ICHmw3/03;ICHmw3/04,1683.0,-0.9496,0.0,0.0,0.0,0.0,0.0,0.0674,-0.00095,0.0,0.0,1.5869,-0.0206,0.77801
4,3;14;0;0;0;0;0;0;0;0;0;0;0;0;0,ICHmw3/05;ICHwk1/03;ICHdw/01a;ICHdw/02;ICHmw1/02;ICHmw1/03;ICHmw1/04;ICHmw2/03;ICHmw2/04;ICHxw/01;ICH/all,1683.0,-0.9496,0.0,0.0,0.0,0.0,0.0,0.0674,-0.00095,0.0,0.0,1.5869,-0.0206,0.77801
5,3;14;0;0;0;0;0;0;0;0;0;0;0;0;0,ICHdk/01;ICHdk/05;ICHmk3/01;ICHmk3/04;ICHwk2/01;ICHwk2/07;ICHwk4/01;ICHwk4/07;ICHmk1/06;ICHmw2/01;ICHmw2/01-ys;ICHmw2/04;ICHmw2/05;ICHmw3/06;ICHmw3/07;ICHvk1/01;ICHvk1/02;ICHvk1/03;ICHvk1/04;ICHwk1/01;ICHwk1/04;ICHwk1/05;ICHdw/01b;ICHdw/03;ICHdw/04;ICHmw1/01;ICHmw1/05;ICHmw1/06;ICHmw2/06,1367.0,-1.4219,0.0,0.0,0.0,0.0,0.0,0.0802,-0.00104,0.0,0.0,2.1392,-0.0216,0.69721
6,3;14;0;0;0;0;0;0;0;0;0;0;0;0;0,IDFdk3/02;IDFdk3/03;IDFdk3/04;IDFdk4/01;IDFdk4/02;IDFdk4/03;IDFdk4/04;IDFdk4/05;IDFdk4/07;IDFxm/02;IDFxm/03;IDFxm/04;IDFxw/02;IDFxw/03;IDFxw/04;IDFdk1/02;IDFdk2/02;IDFdm1/03;IDFww/02;IDFxh1/02;IDFxh1/03;IDFxh2/02;IDFxh2/03;IDFdk2/01;IDFdk2/03;IDFxh2/01;IDFxh2/04;IDF/all,1217.0,0.5596,0.0,0.0,0.0,0.0,-0.198,0.0,-0.00034,0.0,-0.1045,1.3653,0.0,0.7339
7,3;14;0;0;0;0;0;0;0;0;0;0;0;0;0,IDFdk3/01;IDFdk3/05;IDFdk4/09;IDFdw/01;IDFxm/01;IDFxm/05;IDFxm/06;IDFxm/07;IDFxw/01;IDFxw/05;IDFdk1/01;IDFdk1/03;IDFdk1/04;IDFdk3/06;IDFdm1/04;IDFmw1/02;IDFmw2/02;IDFxh1/01;IDFxh1/04;IDFxh1/05;IDFxh2/05;IDFxh2/06;IDFdm2/01;IDFdm2/03,1432.0,0.2361,0.0,0.0,0.0,0.0,-0.2418,0.0168,-0.00033,0.0,0.0,1.5811,-0.0191,0.88944
8,3;14;0;0;0;0;0;0;0;0;0;0;0;0;0,IDFdk3/06;IDFdk3/07;IDFdk3/08;IDFxm/08;IDFxw/06;IDFxw/07;IDFdk1/05;IDFdk1/06;IDFdk2/04;IDFdk2/05;IDFdk2/06;IDFdm1/01;IDFdm1/05;IDFdm1/06;IDFdm1/07;IDFmw1/01;IDFmw1/01-yc;IDFmw1/03;IDFmw1/04;IDFmw1/05;IDFmw1/06;IDFmw2/01;IDFmw2/03;IDFmw2/04;IDFww/01;IDFww/03;IDFww/04;IDFww/05;IDFww/06;IDFxh1/06,2767.0,-0.9981,0.0,0.0,0.0,0.0,-0.0817,0.0435,-0.00053,0.0,0.0,2.2233,-0.0206,0.74424
9,3;14;0;0;0;0;0;0;0;0;0;0;0;0;0,IDFxh1/07;IDFxh1/08;IDFxh2/07;IDFxh2/08;IDFdm2/04;IDFdm2/05;IDFdm2/07,2767.0,-0.9981,0.0,0.0,0.0,0.0,-0.0817,0.0435,-0.00053,0.0,0.0,2.2233,-0.0206,0.74424
10,5;0;0;0;0;0;0;0;0;0;0;0;0;0;0,ICH/all;IDF/all,959.0,-0.341,0.0,0.0,0.0,0.0,-0.1307,0.0605,-0.00087,0.0,0.0,1.5816,-0.0119,0.88775
11,6;0;0;0;0;0;0;0;0;0;0;0;0;0;0,ICH/all,2756.0,-0.165,0.2763,0.0,0.0,0.0,-0.182,0.0372,-0.00037,-0.0884,0.0,1.4487,0.0,0.86261
12,6;0;0;0;0;0;0;0;0;0;0;0;0;0;0,IDF/all,357.0,0.656272,-1.027327,0.0,0.0,0.0,0.0,0.089231,-0.0016866,0.0,-0.0432885,0.0,0.0,0.88265
13,7;0;0;0;0;0;0;0;0;0;0;0;0;0;0,ICH/all,1313.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0209,-0.00067,-0.5552,0.0,1.8153,0.0,0.72326
14,7;0;0;0;0;0;0;0;0;0;0;0;0;0;0,IDF/all,2009.0,-0.2238,0.0,0.0,0.0,0.0,-0.3124,0.00993,-0.00038,0.0,-0.0433,1.5667,0.0,0.6249
15,8;0;0;0;0;0;0;0;0;0;0;0;0;0;0,ICH/all,424.0,-0.5766,0.0,0.0,0.0,0.0,-0.0825,0.0196,-0.00028,0.0,0.0,1.9456,-0.00866,0.87288
16,8;0;0;0;0;0;0;0;0;0;0;0;0;0;0,IDF/all,102.0,-0.8694668,0.0,0.0,0.0,0.0,0.0,0.0214183,-0.00090472,0.0,-0.1589753,3.3882046,0.0,0.84611
17,9;4;0;0;0;0;0;0;0;0;0;0;0;0;0,ICH/all;IDF/all,350.0,0.6265,0.0,0.0,0.0,0.0,-1.0897,0.0515,-0.00084,0.0,0.0,1.5198,0.0,0.92423
18,10;0;0;0;0;0;0;0;0;0;0;0;0;0;0,ICH/all;IDF/all,450.0,-0.50298,-0.613773,0.596886,0.0,0.0,0.0,0.0862013,-0.00115276,-0.609809,0.0,0.0,0.0,0.86319
19,11;15;0;0;0;0;0;0;0;0;0;0;0;0;0,ICH/all,835.0,-3.6197,0.0,0.0,0.7542,-0.0425,-0.2492,0.074,-0.00116,0.0,0.0,1.1239,-0.0198,0.68942
20,11;15;0;0;0;0;0;0;0;0;0;0;0;0;0,IDF/all,418.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1315,-0.0012,0.3599,-0.2306,0.0,0.0,0.78715
21,12;13;0;0;0;0;0;0;0;0;0;0;0;0;0,ICH/all;IDF/all,727.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1372,-0.0015,1.0768,-0.1983,0.0,0.0,0.78243
22,7;0;0;0;0;0;0;0;0;0;0;0;0;0;0,SBSdw1/01;SBSdw2/01;SBSmc1/01;SBSmc2/01;SBSmh/01;SBSmm/01;SBSmw/01;SBSwk1/01,404.0,-1.2421,0.0,0.00955,0.0,0.0,0.0,0.063,-0.0012,0.0,0.0,1.6043,-0.0202,0.419
23,7;0;0;0;0;0;0;0;0;0;0;0;0;0;0,SBPSdc/01;SBPSxc/01,38.0,-4.1693,0.0,0.0,0.0,0.0,-0.00832,2.4409,-0.00565,0.0,0.0,1.3229,0.0,0.893
24,7;0;0;0;0;0;0;0;0;0;0;0;0;0;0,SBPSmc/01;SBPSmk/01,28.0,-0.9005,0.0,0.0,0.0,0.0,-0.00414,0.7488,-0.00075,0.0,0.0,1.3599,0.0,0.314
25,12;15;0;0;0;0;0;0;0;0;0;0;0;0;0,SBPSmc/01;SBPSmk/01;SBPSdc/01;SBPSxc/01;SBSdw1/01;SBSdw2/01;SBSmc1/01;SBSmc2/01;SBSmh/01;SBSmm/01;SBSmw/01;SBSwk1/01;SBS/all;SBPS/all,27.0,1.1487,0.0,0.0,0.0,0.0,-0.0031,-0.0668,0.0,0.0,0.0,0.0,0.0,0.311
26,9;0;0;0;0;0;0;0;0;0;0;0;0;0;0,SBPSmc/01;SBPSmk/01;SBPSdc/01;SBPSxc/01;SBSdw1/01;SBSdw2/01;SBSmc1/01;SBSmc2/01;SBSmh/01;SBSmm/01;SBSmw/01;SBSwk1/01,456.0,0.0,0.0,0.0,0.0,0.0,-0.0152,0.0737,-0.00182,0.0,0.0,3.1925,0.0,0.0
