idx,spp,zones,SI,B3,C,CN,CNSI,DG,DG2,DBH1,DBH2,HT2
1,1;0;0;0;0;0;0;0;0;0;0;0;0;0;0,ICHmw3/04;ICHmw3/05;ICHdw/01a;ICHmw1/02;ICHmw1/03;ICHmw1/04;ICHmw1/06;ICHxw/01;ICH/all;IDF/all;SBPS/all;SBS/all,0.0,0.0429,-0.00142,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1;0;0;0;0;0;0;0;0;0;0;0;0;0;0,ICHmw2/01;ICHmw2/01-ys;ICHmw2/02;ICHmw2/03;ICHmw2/04;ICHmw2/05;ICHmw3/01;ICHmw3/01-yc;ICHmw3/06;ICHmw3/07;ICHvk1/01;ICHvk1/02;ICHvk1/03;ICHvk1/04;ICHvk1/05;ICHwk1/01;ICHwk1/03;ICHwk1/04;ICHwk1/05;ICHdw/01b;ICHdw/03;ICHdw/04;ICHmw1/01;ICHmw1/05;ICHmw2/03;ICHmw2/04;ICHmw2/06;ICHwk1/07,-2.5072,0.0944,-0.00086,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,2;0;0;0;0;0;0;0;0;0;0;0;0;0;0,IDFdm1/04;IDFdm2/03;ICH/all;IDF/all;SBPS/all;SBS/all,0.0,0.0808,-0.00115,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,2;0;0;0;0;0;0;0;0;0;0;0;0;0;0,IDFdm1/01;IDFdm2/01;IDFdm2/04,0.0,0.1058,-0.00123,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,2;0;0;0;0;0;0;0;0;0;0;0;0;0;0,ICHmk1/01;ICHmk1/01-ys;ICHmk1/03;ICHmk1/04;ICHmw3/04;IDFdm1/05;IDFdm1/07;IDFmw1/04;ICHdw/01a;ICHdw/02;ICHxw/01;IDFdm2/05,0.0,0.0802,-0.00026,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,2;0;0;0;0;0;0;0;0;0;0;0;0;0;0,ICHmk1/05;ICHmk1/06;ICHmw2/01;ICHmw2/01-ys;ICHmw2/02;ICHmw2/03;ICHmw2/04;ICHmw2/05;IDFdm1/06;IDFmw1/01;IDFmw1/01-yc;IDFmw1/05;IDFmw1/06;ICHdw/01b;ICHdw/03;ICHdw/04;ICHmw2/03;ICHmw2/04;ICHmw2/06,0.0,0.0802,-0.00026,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,2;0;0;0;0;0;0;0;0;0;0;0;0;0;0,ICHmw3/01,0.0,0.0602,-0.00026,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,2;0;0;0;0;0;0;0;0;0;0;0;0;0;0,IDFmw2/01,0.0,0.0,-0.00026,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,3;14;0;0;0;0;0;0;0;0;0;0;0;0;0,IDFdk3/02;IDFdk3/03;IDFdk3/04;IDFdk4/01;IDFdk4/02;IDFdk4/03;IDFdk4/04;IDFdk4/05;IDFdk4/07;IDFxm/02;IDFxm/03;IDFxm/04;IDFxw/02;IDFxw/03;IDFxw/04;IDFdk1/02;IDFdk2/02;IDFdm1/03;IDFww/02;IDFxh1/02;IDFxh1/03;IDFxh2/02;IDFxh2/03;ICH/all;IDF/all;SBPS/all;SBS/all,0.0,0.0673,-0.0002,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,3;14;0;0;0;0;0;0;0;0;0;0;0;0;0,ICHdk/02;ICHmk3/02;ICHwk2/02;ICHwk2/03;ICHwk4/02;ICHwk4/03;IDFdk3/05;IDFdk4/09;IDFdw/01;IDFxm/01;IDFxm/05;IDFxm/06;IDFxm/07;IDFxw/01;IDFxw/05;ICHmk1/02;ICHmk2/02;ICHmw3/02;IDFdk1/01;IDFdk1/03;IDFdk1/04;IDFdk2/01;IDFdk2/03;IDFdk3/06;IDFdm1/04;IDFmw1/02;IDFmw2/02;IDFxh1/01;IDFxh1/04,0.0,0.0799,-0.0002,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,3;14;0;0;0;0;0;0;0;0;0;0;0;0;0,IDFxh1/05;IDFxh2/01;IDFxh2/05;ICHdw/02;IDFdm2/01;IDFdm2/03,0.0,0.0799,-0.0002,0.0,0.0,0.0,0.0,0.0,0.0,0.0
