idx,spp,zones,CON,CASP,SASP,SLP,HT,LNHT,CCF,BAL,EXPMLT,HCCFL,CCFSL,SD
1,3;14;0;0;0;0;0;0;0;0;0;0;0;0;0,IDFdk3/01;IDFdk3/03;IDFdk3/05;IDFdk3/06;IDFdk3/07;IDFdk3/08,-1.205542,0.0,0.0,0.0,-0.450012,2.047554,0.0,-3.532143,0.0,0.0,0.0,0.34
2,7;0;0;0;0;0;0;0;0;0;0;0;0;0;0,IDFdk3/01;IDFdk3/05,0.229415,0.0,-0.083809,0.0,0.0,0.222915,0.0,0.0,0.0,0.0,0.0,0.4
3,8;0;0;0;0;0;0;0;0;0;0;0;0;0;0,IDFdk3/01;IDFdk3/05;IDFdk3/07;IDFdk3/08;IDFdk3/09,-0.60737,0.0,0.0,0.0,0.0,0.556296,0.0,-4.424631,0.0,0.0,0.0,0.36
4,12;13;0;0;0;0;0;0;0;0;0;0;0;0;0,IDFdk4/01,-0.144493,0.0,0.0,0.0,0.0,0.603647,0.0,-16.012251,0.0,0.0,0.0,0.07
5,3;14;0;0;0;0;0;0;0;0;0;0;0;0;0,IDFdk4/01;IDFdk4/02;IDFdk4/05,-0.988801,0.0,0.0,0.0,0.089809,0.462662,-0.008244,0.19788,0.0,0.0,0.0,0.06
6,7;0;0;0;0;0;0;0;0;0;0;0;0;0;0,IDFdk4/01;IDFdk4/05;SBS/all,-1.242998,0.0,0.0,0.0,0.108263,0.354549,-0.008124,0.0,0.0,0.0,0.0,0.09
7,3;14;0;0;0;0;0;0;0;0;0;0;0;0;0,IDFxm/01;IDFxm/04;IDFxm/05,-0.814652,0.0,0.0,0.0,-0.440036,0.994877,-0.004449,0.0,0.0,0.0,0.0,0.01
8,11;12;13;15;0;0;0;0;0;0;0;0;0;0;0,IDF/all,-0.2041308,0.0,0.0,0.0,0.0,0.520337043,-0.0181535,7.53695999,0.0,0.0,0.0,0.48
9,3;1;14;0;0;0;0;0;0;0;0;0;0;0;0,IDF/all,-0.5738321,0.004423421,0.0,0.5121443,-0.416014668,1.873005401,-0.0058833,-1.1949869,0.0,0.0,0.0,0.47
10,2;7;10;0;0;0;0;0;0;0;0;0;0;0;0,IDF/all,-0.0998574,0.0,0.0,0.0,-0.277808048,1.380037667,-0.0049829,0.0,0.0,0.0,0.0,0.52
11,4;9;5;8;6;0;0;0;0;0;0;0;0;0;0,IDF/all,-0.9885648,-0.011543749,0.0,-1.1824214,-0.562750419,2.757015881,0.0,-2.7702553,0.0,0.0,0.0,0.49
12,11;12;13;15;0;0;0;0;0;0;0;0;0;0;0,ICH/all,0.25147917,0.0,0.0,0.0,0.0,0.254578123,-0.0017203,-0.324012,0.0,0.0,0.0,0.71
13,3;1;14;0;0;0;0;0;0;0;0;0;0;0;0,ICH/all,-0.6368518,0.0,0.0,0.0191203,-0.386893543,2.247773778,-0.0076175,-1.0014793,0.0,0.0,0.0,0.51
14,2;7;10;0;0;0;0;0;0;0;0;0;0;0;0,ICH/all,-0.3236232,0.0,0.0,0.0,-0.40686086,1.89791257,-0.00182229,0.0,0.0,0.0,0.0,0.51
15,4;9;5;8;6;0;0;0;0;0;0;0;0;0;0,ICH/all,-0.0878875,0.0,0.0,0.0,0.0,0.302126544,-0.0081857,0.0,0.0,0.0,0.0,0.43
16,3;14;0;0;0;0;0;0;0;0;0;0;0;0;0,SBS/all,172.1,0.0,0.0,0.0,-0.3657,0.0,0.0,0.0,11.8295,-102.4,0.5829,0.536
17,9;0;0;0;0;0;0;0;0;0;0;0;0;0;0,SBS/all,272.8,0.0,0.0,0.0,-0.8451,0.0,0.0,0.0,22.5817,-88.5901,-0.7802,0.643
18,8;0;0;0;0;0;0;0;0;0;0;0;0;0;0,SBS/all,157.0,0.0,0.0,0.0,-0.1435,0.0,0.0,0.0,8.8508,-68.3412,-4.0851,0.84
19,7;0;0;0;0;0;0;0;0;0;0;0;0;0;0,SBS/all,-0.0998574,0.0,0.0,0.0,-0.277808048,1.380037667,-0.0049829,0.0,0.0,0.0,0.0,0.52
20,12;13;15;0;0;0;0;0;0;0;0;0;0;0;0,SBS/all,-0.2041308,0.0,0.0,0.0,0.0,0.520337043,-0.0181535,7.53695999,0.0,0.0,0.0,0.48
21,3;0;0;0;0;0;0;0;0;0;0;0;0;0;0,SBPSmc/01;SBPSmk/01;SBPSdc/01;SBPSxc/01;SBSdw1/01;SBSdw2/01;SBSmc1/01;SBSmc2/01;SBSmh/01;SBSmm/01;SBSmw/01;SBSwk1/01,172.1,0.0,0.0,0.0,-0.3657,0.0,0.0,0.0,11.8295,102.4,0.5829,16.33
22,3;0;0;0;0;0;0;0;0;0;0;0;0;0;0,SBPSmc/01;SBPSmk/01;SBPSdc/01;SBPSxc/01;SBSdw1/01;SBSdw2/01;SBSmc1/01;SBSmc2/01;SBSmh/01;SBSmm/01;SBSmw/01;SBSwk1/01,154.5,0.0,0.0,0.0,4.4054,0.0,0.0,0.0,3.4734,-80.3308,1.1924,38.93
23,8;0;0;0;0;0;0;0;0;0;0;0;0;0;0,SBPSmc/01;SBPSmk/01;SBPSdc/01;SBPSxc/01;SBSdw1/01;SBSdw2/01;SBSmc1/01;SBSmc2/01;SBSmh/01;SBSmm/01;SBSmw/01;SBSwk1/01,157.0,0.0,0.0,0.0,-0.1435,0.0,0.0,0.0,8.8508,68.3412,-4.0851,25.59
24,8;0;0;0;0;0;0;0;0;0;0;0;0;0;0,SBPSmc/01;SBPSmk/01;SBPSdc/01;SBPSxc/01;SBSdw1/01;SBSdw2/01;SBSmc1/01;SBSmc2/01;SBSmh/01;SBSmm/01;SBSmw/01;SBSwk1/01,142.3,0.0,0.0,0.0,-2.9969,0.0,0.0,0.0,6.3043,-112.6,-9.49,36.81
25,7;0;0;0;0;0;0;0;0;0;0;0;0;0;0,SBPSmc/01;SBPSmk/01;SBPSdc/01;SBPSxc/01;SBSdw1/01;SBSdw2/01;SBSmc1/01;SBSmc2/01;SBSmh/01;SBSmm/01;SBSmw/01;SBSwk1/01,301.2,0.0,0.0,0.0,14.4134,0.0,0.0,0.0,1.0,4.3821,0.0,69.87
26,9;0;0;0;0;0;0;0;0;0;0;0;0;0;0,SBPSmc/01;SBPSmk/01;SBPSdc/01;SBPSxc/01;SBSdw1/01;SBSdw2/01;SBSmc1/01;SBSmc2/01;SBSmh/01;SBSmm/01;SBSmw/01;SBSwk1/01,76.4,0.0,0.0,0.0,3.6502,0.0,0.0,0.0,6.1621,-238.8,-2.9184,29.41
