sp,c1,c2,c3,c4,c5
1,-0.02430,-0.24886,-0.01079,0.0,0.0
2,-0.10144,-0.14793,-0.05438,0.0,0.0
3,-0.09046,-0.11884,-0.05529,-0.02180,0.0
4,-0.09624,-0.19544,-0.05119,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0
6,-0.05054,-0.15356,-0.09396,0.0,0.0
7,-0.05576,-0.14919,-0.40640,-0.11400,0.0
8,-0.01547,-0.38386,-0.05371,-0.15159,0.0
9,-0.01598,-0.04477,-0.07392,0.0,0.0
10,-0.10416,-0.88809,-0.25938,-0.14726,0.0
11,-0.10744,0.0,0.0,0.0,0.0
12,-0.10744,0.0,0.0,0.0,0.0
13,-0.10744,0.0,0.0,0.0,0.0
14,-0.09046,-0.11884,-0.05529,-0.02180,0.0
15,-0.10744,0.0,0.0,0.0,0.0
