sp,c1,c2,c3,c4
1,-0.000439,-0.000004,0.0,0.0
2,-0.000310,-0.000566,0.0,0.0
3,-0.000252,-0.000373,-0.000502,-0.000572
4,-0.000274,-0.000089,-0.000643,0.0
5,-0.000225,-0.000216,-0.000429,0.0
6,0.0,0.0,0.0,0.0
7,-0.001260,-0.002168,-0.001889,-0.000867
8,-0.000132,-0.000294,-0.000427,0.0
9,-0.000283,-0.000780,0.0,0.0
10,-0.000406,-0.000437,-0.000140,0.0
11,-0.000484,-0.000306,0.0,0.0
12,-0.000484,-0.000306,0.0,0.0
13,-0.000484,-0.000306,0.0,0.0
14,-0.000252,-0.000373,-0.000502,-0.000572
15,-0.000484,-0.000306,0.0,0.0
