sp,c1,c2,c3,c4,c5,c6
1,0.16920,0.0,0.0,0.0,0.0,0.0
2,0.20004,0.07656,0.08188,0.30379,0.0,0.0
3,0.50357,0.34920,0.21961,0.61812,0.0,0.0
4,0.43443,0.28344,-0.14829,0.20205,0.57763,0.0
5,0.10667,0.44357,0.0,0.0,0.0,0.0
6,0.50070,0.17647,0.31745,0.0,0.0,0.0
7,0.43735,0.21113,0.14808,0.0,0.0,0.0
8,0.26262,-0.15871,0.0,0.0,0.0,0.0
9,0.42062,0.14072,-0.13001,0.0,0.0,0.0
10,0.24588,0.56958,0.42787,0.0,0.0,0.0
11,0.12520,0.48076,0.0,0.0,0.0,0.0
12,0.12520,0.48076,0.0,0.0,0.0,0.0
13,0.12520,0.48076,0.0,0.0,0.0,0.0
14,0.50357,0.34920,0.21961,0.61812,0.0,0.0
15,0.12520,0.48076,0.0,0.0,0.0,0.0
