sp,c1,c2,c3,c4,c5,c6
1,1.15584,1.05635,0.0,0.0,0.0,0.0
2,0.38335,0.51291,0.45377,0.71322,0.26835,0.0
3,0.47780,0.15228,0.29764,0.0,0.0,0.0
4,0.66755,0.60454,0.0,0.0,0.0,0.0
5,0.45264,0.0,0.0,0.0,0.0,0.0
6,1.61452,1.31772,0.0,0.0,0.0,0.0
7,0.77399,0.67828,0.64451,0.37945,0.54337,0.0
8,-0.58842,-0.21235,-0.71629,-0.53954,0.0,0.0
9,-0.96389,-0.72415,-0.57308,-0.82218,-1.24093,-1.10746
10,1.16233,0.73408,0.51417,0.0,0.0,0.0
11,-1.68033,-1.52111,0.0,0.0,0.0,0.0
12,-1.68033,-1.52111,0.0,0.0,0.0,0.0
13,-1.68033,-1.52111,0.0,0.0,0.0,0.0
14,0.47780,0.15228,0.29764,0.0,0.0,0.0
15,-1.68033,-1.52111,0.0,0.0,0.0,0.0
