sp,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,c14,c15,c16,c17,c18,c19,c20,c21,c22,c23,c24,c25,c26,c27,c28,c29,c30
1,3,3,3,3,3,3,3,3,3,3,3,3,1,3,3,3,1,3,3,3,3,2,2,3,3,3,3,3,3,3
2,3,3,3,3,3,3,3,3,3,3,3,1,3,3,3,3,3,3,2,3,1,3,3,1,3,3,3,3,3,3
3,4,4,4,4,4,4,1,2,4,4,4,2,1,4,4,4,3,4,4,4,1,3,2,4,4,4,4,2,4,4
4,3,3,3,3,3,3,3,3,3,3,3,3,1,3,3,3,3,3,3,3,3,3,2,2,3,3,3,3,3,3
5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
6,3,3,3,3,3,3,3,3,3,3,3,3,3,1,2,2,3,3,2,3,3,1,3,3,3,3,3,3,3,3
7,4,4,1,4,3,4,2,1,4,1,4,4,4,2,2,2,2,2,2,4,1,4,1,4,4,4,1,4,4,4
8,4,4,4,4,4,4,4,4,4,4,4,3,3,1,1,1,3,3,1,4,2,4,1,4,4,4,1,4,4,4
9,3,3,3,3,3,3,3,3,3,3,3,3,1,1,1,1,1,1,1,3,1,1,2,2,1,3,1,1,3,3
10,2,2,3,1,4,3,3,1,2,4,4,1,4,4,4,4,1,4,4,4,4,4,4,4,4,4,4,4,4,4
11,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
12,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
13,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
14,4,4,4,4,4,4,1,2,4,4,4,2,1,4,4,4,3,4,4,4,1,3,2,4,4,4,4,2,4,4
15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
