sp,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,c14,c15,c16,c17,c18,c19,c20,c21,c22,c23,c24,c25,c26,c27,c28,c29,c30
1,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,2,2,1,1,2,2,2,2,2,2,2
2,5,5,5,5,5,5,5,5,5,1,1,2,1,2,2,2,3,3,2,5,2,1,1,1,5,5,4,5,5,5
3,3,3,3,3,3,3,3,1,3,3,3,1,1,1,1,1,1,1,1,3,2,3,3,3,3,3,3,2,3,3
4,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,1,2,2,1,2,2,2,2,2
5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
6,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2
7,5,5,5,5,1,2,1,5,5,5,5,2,2,3,3,3,3,3,3,4,4,3,4,5,5,5,4,4,5,5
8,4,4,4,4,4,4,4,4,4,4,4,1,1,4,2,2,4,2,1,4,4,4,4,4,4,4,4,3,4,4
9,6,6,6,6,6,6,6,6,6,6,6,6,1,2,3,3,4,3,1,6,6,6,6,6,6,6,1,5,5,6
10,1,1,2,3,3,2,2,3,3,3,3,2,2,2,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3
11,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2
12,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2
13,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2
14,3,3,3,3,3,3,3,1,3,3,3,1,1,1,1,1,1,1,1,3,2,3,3,3,3,3,3,2,3,3
15,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2
