sp,c1,c2,c3,c4,c5,c6
1,1635.0,76.0,94.0,0.0,0.0,0.0
2,968.0,900.0,797.0,1124.0,47.0,809.0
3,1079.0,1682.0,4014.0,63.0,4684.0,0.0
4,816.0,67.0,122.0,3678.0,0.0,0.0
5,1774.0,0.0,0.0,0.0,0.0,0.0
6,1176.0,67.0,1198.0,0.0,0.0,0.0
7,93.0,940.0,62.0,2548.0,719.0,2590.0
8,907.0,827.0,46.0,35.0,146.0,3092.0
9,988.0,177.0,40.0,331.0,332.0,2380.0
10,429.0,59.0,605.0,17.0,879.0,0.0
11,55.0,880.0,0.0,0.0,0.0,0.0
12,55.0,880.0,0.0,0.0,0.0,0.0
13,55.0,880.0,0.0,0.0,0.0,0.0
14,1079.0,1682.0,4014.0,63.0,4684.0,0.0
15,55.0,880.0,0.0,0.0,0.0,0.0
