kozak_sp,A1,A2,A3,A4,A5,A6,A7,A8,PP
1,0.920840,0.923867,1.000568,1.095560,-0.202191,0.967329,0.081696,-0.514604,0.250000
2,1.033575,0.896971,0.999079,1.598260,-0.411541,2.402420,0.094283,-1.252170,0.300000
3,0.752027,1.028970,0.998660,1.174800,-0.263576,2.233330,0.045184,-1.002020,0.250000
4,1.008741,0.916357,1.001159,1.415990,-0.325671,2.793270,0.108427,-1.326790,0.300000
5,0.897311,0.957090,0.999370,1.532270,-0.364679,2.741210,0.117756,-1.362760,0.300000
6,0.928138,0.945293,0.999206,0.301423,-0.040792,-1.235630,0.030743,0.672879,0.300000
7,0.984019,0.941322,0.999700,1.571030,-0.369344,2.703200,0.049628,-1.334700,0.250000
8,0.774601,1.040320,0.996984,0.745750,-0.130177,0.558818,0.198687,-0.324178,0.250000
9,0.856592,0.936402,1.002104,0.566217,-0.087141,-0.063450,0.071720,0.051415,0.250000
10,0.746827,1.003900,0.997233,0.747048,-0.133729,0.397110,0.078345,-0.183542,0.300000
11,0.802839,0.993776,0.998974,0.706093,-0.096789,0.312724,0.119634,-0.080057,0.250000
12,0.719188,1.052190,0.997551,0.599235,-0.033036,-0.261339,0.215536,0.123059,0.300000
13,1.097880,0.840504,1.006569,0.981297,-0.222619,1.428220,0.228560,-0.654456,0.250000
14,0.648830,1.121390,0.992077,0.865974,-0.106757,0.257139,0.254574,-0.149926,0.250000
15,0.855966,0.987014,0.999828,0.424473,-0.037553,-0.517540,0.102211,0.303931,0.200000
16,1.078961,0.894083,1.001749,1.377540,-0.286807,1.038780,0.072537,-0.647372,0.250000
