pa,spc,fvsseq,sdimx,site,numbr,iflag
CDC411,DF,7,899,85,1,1
CDC412,DF,7,1155,87,1,1
CDC421,DF,7,720,72,1,1
CDC431,DF,7,765,96,1,1
CDC432,DF,7,1193,93,1,1
CDC511,DF,7,735,101,1,1
CDC521,DF,7,595,71,1,1
CDF911,DF,7,670,70,1,1
CDH111,DF,7,845,86,1,1
CDH112,DF,7,800,92,1,1
CDH121,DF,7,720,97,1,1
CDH131,DF,7,1098,81,1,1
CDH141,DF,7,780,86,1,1
CDH142,DF,7,1050,82,1,1
CDH511,DF,7,1087,95,1,1
CDS111,DF,7,655,77,1,1
CDS112,DF,7,630,67,1,1
CDS511,DF,7,635,93,1,1
CDS521,DF,7,670,85,1,1
CHC111,DF,7,1215,117,1,1
CHC412,DF,7,945,108,1,1
CHC461,DF,7,1105,146,1,1
CHC611,DF,7,890,119,1,1
CHH111,DF,7,650,106,1,1
CHH511,DF,7,1152,108,1,1
CHS131,DF,7,1050,61,1,1
CHS331,DF,7,1145,102,1,1
CMF211,SH,6,555,74,1,1
CPC411,DF,7,720,76,1,1
CPC511,JP,15,420,52,1,1
CPG141,JP,15,200,57,1,1
CPH411,JP,15,470,60,1,1
CPS321,JP,15,364,58,1,1
CPS611,JP,15,340,57,1,1
CQF111,WF,4,436,33,1,1
CRF211,SH,6,675,57,1,1
CRF311,SH,6,319,50,1,1
CRH111,SH,6,470,81,1,1
CRS211,SH,6,755,91,1,1
CTH111,DF,7,1309,87,1,1
CTH211,DF,7,760,87,1,1
CTS111,DF,7,1348,85,1,1
CTS112,DF,7,370,92,1,1
CTS211,DF,7,990,83,1,1
CTS311,DF,7,660,87,1,1
CWC221,DF,7,815,92,1,1
CWC231,DF,7,785,95,1,1
CWC232,DF,7,675,89,1,1
CWC233,DF,7,988,78,1,1
CWC241,DF,7,930,84,1,1
CWC521,DF,7,899,57,1,1
CWC522,DF,7,874,95,1,1
CWC523,DF,7,335,69,1,1
CWC611,DF,7,1399,99,1,1
CWC612,DF,7,1399,99,1,1
CWC721,WF,4,665,77,1,1
CWC722,DF,7,1349,89,1,1
CWC723,DF,7,945,81,1,1
CWC811,DF,7,695,96,1,1
CWC911,WF,4,1641,65,1,1
CWF911,DF,7,670,89,1,1
CWH312,DF,7,815,93,1,1
CWH413,DF,7,654,108,1,1
CWH511,DF,7,1337,93,1,1
CWH521,DF,7,470,96,1,1
CWH522,DF,7,560,105,1,1
CWH531,DF,7,810,94,1,1
CWS331,DF,7,695,92,1,1
CWS523,DF,7,900,101,1,1
HTC111,DF,7,820,125,1,1
HTC211,DF,7,870,103,1,1
HTC311,DF,7,890,98,1,1
HTC411,DF,7,865,90,1,1
HTC412,DF,7,970,99,1,1
HTH111,DF,7,735,96,1,1
HTH112,DF,7,650,83,1,1
HTH211,DF,7,810,110,1,1
HTH311,DF,7,595,104,1,1
HTS111,DF,7,910,107,1,1
HTS112,DF,7,915,116,1,1
HTS221,DF,7,830,111,1,1
HTS222,DF,7,815,93,1,1
HTS223,DF,7,840,68,1,1
HTS311,DF,7,805,95,1,1
HTS312,DF,7,785,96,1,1
HTS321,DF,7,970,102,1,1
HTS331,DF,7,610,90,1,1
HTS341,DF,7,935,109,1,1
HTS411,DF,7,730,79,1,1
HTS511,DF,7,450,50,1,1
