table,ispc,dclass,fc
ROGRFC,1,1,95
ROGRFC,2,1,94
ROGRFC,3,1,95
ROGRFC,4,1,96
ROGRFC,5,1,95
ROGRFC,6,1,94
ROGRFC,7,1,94
ROGRFC,8,1,91
ROGRFC,9,1,96
ROGRFC,10,1,92
ROGRFC,11,1,95
ROGRFC,12,1,95
ROGRFC,13,1,95
ROGRFC,14,1,95
ROGRFC,15,1,93
ROGRFC,16,1,94
ROGRFC,17,1,94
ROGRFC,18,1,93
ROGRFC,19,1,95
ROGRFC,20,1,95
ROGRFC,21,1,95
ROGRFC,22,1,93
ROGRFC,23,1,95
ROGRFC,24,1,98
ROGRFC,25,1,95
ROGRFC,26,1,95
ROGRFC,27,1,94
ROGRFC,28,1,95
ROGRFC,29,1,95
ROGRFC,30,1,89
ROGRFC,31,1,98
ROGRFC,32,1,95
ROGRFC,33,1,95
ROGRFC,34,1,98
ROGRFC,35,1,95
ROGRFC,36,1,98
ROGRFC,37,1,95
ROGRFC,38,1,95
ROGRFC,39,1,94
ROGRFC,40,1,98
ROGRFC,41,1,95
ROGRFC,42,1,98
ROGRFC,43,1,95
ROGRFC,44,1,98
ROGRFC,45,1,98
ROGRFC,46,1,98
ROGRFC,47,1,95
ROGRFC,48,1,95
ROGRFC,49,1,95
ROGRFC,50,1,82
ROGRFC,1,2,82
ROGRFC,2,2,94
ROGRFC,3,2,82
ROGRFC,4,2,91
ROGRFC,5,2,82
ROGRFC,6,2,90
ROGRFC,7,2,87
ROGRFC,8,2,82
ROGRFC,9,2,83
ROGRFC,10,2,92
ROGRFC,11,2,79
ROGRFC,12,2,79
ROGRFC,13,2,95
ROGRFC,14,2,95
ROGRFC,15,2,93
ROGRFC,16,2,90
ROGRFC,17,2,87
ROGRFC,18,2,93
ROGRFC,19,2,82
ROGRFC,20,2,95
ROGRFC,21,2,95
ROGRFC,22,2,89
ROGRFC,23,2,82
ROGRFC,24,2,98
ROGRFC,25,2,95
ROGRFC,26,2,95
ROGRFC,27,2,94
ROGRFC,28,2,95
ROGRFC,29,2,95
ROGRFC,30,2,89
ROGRFC,31,2,88
ROGRFC,32,2,79
ROGRFC,33,2,95
ROGRFC,34,2,84
ROGRFC,35,2,95
ROGRFC,36,2,84
ROGRFC,37,2,86
ROGRFC,38,2,86
ROGRFC,39,2,94
ROGRFC,40,2,88
