pvcode,pvref,habpvr
CD,639,CDC421
CDC0,639,CDC421
CDC1,639,CDC421
CDC2,639,CDC421
CDC3,639,CDC421
CDC321,641,CDC421
CDC322,641,CDC421
CDC323,641,CDC421
CDC4,639,CDC421
CDC412,639,CDC412
CDC421,641,CDC421
CDC422,641,CDC421
CDC431,639,CDC431
CDC432,639,CDC432
CDC5,639,CDC521
CDC511,635,CDC511
CDC511,639,CDC511
CDC512,635,CDC421
CDC512,639,CDC421
CDC521,641,CDC521
CDC6,639,CDS521
CDC7,639,CDS521
CDC710,647,CDS521
CDC710,648,CDS521
CDC710,650,CDS521
CDC711,616,CDS511
CDC711,639,CDS511
CDC712,616,CDS521
CDC712,639,CDS521
CDC712,648,CDS521
CDC713,616,CDS521
CDC713,639,CDS521
CDC714,648,CDS521
CDC714,650,CDS521
CDC715,647,CDS521
CDF0,639,CDS521
CDF1,639,CDS511
CDF2,639,CDS521
CDF211,639,CDS521
CDF3,639,CDS521
CDF311,639,CDS521
CDF312,639,CDS521
CDF313,640,CDS521
CDF4,639,CDS521
CDF411,626,CDS521
CDF411,639,CDS521
CDF911,639,CDF911
CDG0,639,CDC421
CDG1,639,CDC421
CDG111,604,CDC511
CDG111,622,CDC421
CDG111,639,CDC421
CDG111,640,CDC421
CDG112,622,CDC421
CDG112,628,CDC421
CDG112,639,CDC421
CDG112,640,CDC421
CDG113,639,CDC421
CDG121,615,CDC421
CDG121,632,CDC421
CDG121,639,CDC421
CDG121,640,CDC421
CDG122,631,CDC421
CDG122,632,CDC421
CDG122,639,CDC421
CDG123,609,CDC421
CDG123,627,CDC421
CDG123,639,CDC421
CDG131,609,CDC421
CDG131,626,CDC421
CDG131,627,CDC421
CDG131,631,CDC421
CDG131,638,CDC421
CDG131,639,CDC421
CDG132,626,CDC421
CDG132,639,CDC421
CDG134,626,CDC421
CDG134,639,CDC421
CDG141,619,CDC421
CDG141,639,CDC421
CDG142,639,CDC421
CDG2,639,CDC421
CDG3,639,CDC421
CDG311,609,CDC511
CDG311,627,CDC511
CDG311,639,CDC511
CDG321,619,CDC511
CDG321,639,CDC511
CDG322,626,CDC511
CDG322,639,CDC511
CDG323,626,CDC511
CDG323,639,CDC511
CDG331,628,CDC511
CDG331,639,CDC511
CDG332,631,CDC511
CDG332,639,CDC511
CDG333,640,CDC511
CDG8,639,CDC421
CDH0,639,CDC421
CDH1,639,CDS511
CDH111,639,CDH111
CDH121,639,CDH121
CDH142,639,CDH142
CDH2,639,CDS511
CDH3,639,CDC421
CDH321,641,CDC421
CDH4,639,CDS521
CDH5,639,CDS521
CDH521,641,CDS521
CDH522,641,CDS511
CDH524,641,CDS511
CDH6,639,CDS511
CDRR,639,CDC421
CDRS,639,CDC421
CDRX,639,CDC421
CDS0,639,CDS521
CDS1,639,CDS511
CDS112,639,CDS112
CDS121,641,CDS511
CDS122,641,CDC511
CDS123,641,CDC511
CDS124,647,CDC511
CDS124,648,CDC511
CDS124,650,CDC511
CDS151,603,CDC511
CDS151,639,CDC511
CDS2,639,CDC511
CDS211,616,CDS511
CDS211,639,CDS511
CDS212,616,CDS511
CDS212,639,CDS511
CDS212,647,CDS511
CDS212,648,CDS511
CDS213,616,CDS511
CDS213,639,CDS511
CDS213,647,CDS511
CDS213,648,CDS511
CDS214,641,CDS521
CDS215,641,CDS511
CDS216,647,CDS511
CDS216,648,CDS511
CDS216,650,CDS511
CDS217,647,CDS511
CDS217,648,CDS511
CDS217,650,CDS511
CDS221,618,CDS511
CDS221,639,CDS511
CDS231,619,CDS511
CDS231,639,CDS511
CDS241,620,CDS511
CDS241,639,CDS511
CDS252,603,CDS511
CDS252,639,CDS511
CDS253,603,CDS511
CDS253,639,CDS511
CDS254,603,CDS511
CDS254,639,CDS511
CDS255,618,CDS521
CDS255,639,CDS521
CDS3,639,CDS521
CDS301,642,CDS521
CDS311,603,CDS521
CDS311,639,CDS521
CDS312,647,CDS511
CDS312,648,CDS511
CDS312,650,CDS511
CDS4,639,CDC511
CDS411,609,CDS511
CDS411,626,CDS511
CDS411,639,CDS511
CDS412,626,CDS511
CDS412,639,CDS511
CDS5,639,CDS511
CDS511,628,CDS511
CDS511,639,CDS511
CDS512,639,CDS511
CDS512,647,CDS511
CDS512,648,CDS511
CDS512,650,CDS511
CDS521,641,CDS521
CDS522,641,CDS511
CDS523,641,CDS511
CDS524,641,CDS521
CDS6,639,CDS521
CDS611,604,CDS511
CDS611,622,CDS511
CDS611,631,CDS511
CDS611,639,CDS511
CDS611,640,CDS511
CDS612,611,CDC421
CDS612,639,CDC421
CDS613,611,CDC421
CDS613,639,CDC421
CDS614,611,CDC421
CDS614,639,CDC421
CDS621,639,CDC421
CDS622,615,CDC421
CDS622,639,CDC421
CDS622,640,CDC421
CDS623,615,CDC421
CDS623,639,CDC421
CDS623,640,CDC421
CDS624,622,CDC421
CDS624,639,CDC421
CDS624,640,CDC421
CDS625,622,CDC421
CDS625,639,CDC421
CDS625,640,CDC421
CDS626,639,CDC421
CDS627,631,CDC421
CDS627,632,CDC421
CDS627,638,CDC421
CDS627,639,CDC421
CDS628,624,CDC421
CDS628,639,CDC421
CDS628,640,CDC421
CDS631,609,CDC511
CDS631,639,CDC511
CDS632,609,CDC421
CDS632,626,CDC421
CDS632,627,CDC421
CDS632,639,CDC421
CDS633,609,CDC421
CDS633,627,CDC421
CDS633,639,CDC421
CDS634,615,CDC421
CDS634,639,CDC421
CDS634,640,CDC421
CDS635,631,CDC421
CDS635,639,CDC421
CDS636,626,CDC421
CDS636,639,CDC421
CDS637,626,CDC421
CDS637,639,CDC421
CDS638,626,CDC421
CDS638,639,CDC421
CDS639,626,CDC421
CDS639,639,CDC421
CDS640,626,CDC421
CDS640,639,CDC421
CDS641,616,CDC421
CDS641,639,CDC421
CDS642,640,CDC421
CDS651,618,CDC421
CDS651,639,CDC421
CDS652,636,CDC421
CDS652,639,CDC421
CDS653,626,CDC421
CDS653,639,CDC421
CDS654,626,CDC511
CDS654,639,CDC511
CDS655,626,CDC421
CDS655,639,CDC421
CDS661,619,CDC421
CDS661,639,CDC421
CDS662,619,CDC421
CDS662,639,CDC421
CDS663,641,CDC421
CDS664,640,CDC421
CDS671,639,CDC511
CDS672,639,CDC511
CDS673,626,CDC511
CDS673,639,CDC511
CDS674,626,CDC511
CDS674,639,CDC511
CDS675,626,CDC511
CDS675,639,CDC511
CDS7,628,CDC511
CDS7,639,CDC511
CDS711,604,CDC511
CDS711,615,CDC511
CDS711,622,CDC511
CDS711,639,CDC511
CDS711,640,CDC511
CDS715,609,CDC511
CDS715,627,CDC511
CDS715,631,CDC511
CDS715,638,CDC511
CDS715,639,CDC511
CDS716,627,CDC511
CDS716,631,CDC511
CDS716,639,CDC511
CDS717,639,CDC511
CDS721,632,CDC511
CDS721,639,CDC511
CDS722,615,CDC511
CDS722,639,CDC511
CDS722,640,CDC511
CDS723,639,CDC511
CDS724,624,CDC511
CDS724,639,CDC511
CDS724,640,CDC511
CDS725,640,CDC511
CDS8,639,CDC421
CDS811,609,CDC421
CDS811,639,CDC421
CDS812,615,CDC421
CDS812,639,CDC421
CDS812,640,CDC421
CDS813,627,CDC421
CDS813,639,CDC421
