code_alpha,code_fia,code_plants,target_ca,target_ca2,target_ca3,target_ca4
,299,,OS,OS,OS,OS
,,2TB,OH,OH,OH,OH
,,2TD,OH,OH,OH,OH
,,2TE,OS,OS,OS,OS
,,2TN,OS,OS,OS,OS
,,2TREE,OH,OH,OH,OH
OE,850,,LO,LO,LO,LO
,998,,OH,OH,OH,OH
,999,,OH,OH,OH,OH
SF,011,ABAM,SH,SH,SH,SH
SL,014,ABBR,OS,OS,OS,OS
WF,015,ABCO,WF,WF,WF,WF
,,ABCOC,WF,WF,WF,WF
,,ABCOL,WF,WF,WF,WF
GF,017,ABGR,WF,WF,WF,WF
OF,010,ABIES,WF,WF,WF,WF
AF,019,ABLA,OS,OS,OS,OS
CB,018,ABLAA,OS,OS,OS,OS
,,ABLAL,OS,OS,OS,OS
RF,020,ABMA,RF,RF,RF,RF
,,ABMAS,SH,SH,SH,SH
NF,022,ABPR,RF,RF,RF,RF
SH,021,ABSH,SH,SH,SH,SH
OM,310,ACER,BM,BM,BM,BM
MM,321,ACGL,OH,OH,OH,OH
,,ACGLD3,OH,OH,OH,OH
,,ACGLD4,OH,OH,OH,OH
,,ACGLG,OH,OH,OH,OH
,,ACGLG2,OH,OH,OH,OH
,,ACGLN2,OH,OH,OH,OH
,,ACGLT2,OH,OH,OH,OH
BI,322,ACGR3,OH,OH,OH,OH
,,ACGRG,OH,OH,OH,OH
,,ACGRS,OH,OH,OH,OH
BM,312,ACMA3,BM,BM,BM,BM
,,ACNE2,OH,OH,OH,OH
,,ACNEA,OH,OH,OH,OH
,,ACNEC2,OH,OH,OH,OH
,,ACNEI2,OH,OH,OH,OH
,,ACNEN,OH,OH,OH,OH
,,ACNET,OH,OH,OH,OH
,,ACPL,OH,OH,OH,OH
,,ACSA2,OH,OH,OH,OH
BU,333,AECA,BU,BU,BU,BU
,,AEHI,BU,BU,BU,BU
TH,341,AIAL,OH,OH,OH,OH
,,ALCO13,OH,OH,OH,OH
,,ALIN2,OH,OH,OH,OH
,,ALINT,OH,OH,OH,OH
,,ALJU,OH,OH,OH,OH
,,ALLE,OH,OH,OH,OH
AD,350,ALNUS,RA,RA,RA,RA
,,ALOB2,OH,OH,OH,OH
WA,352,ALRH2,RA,RA,RA,RA
RA,351,ALRU2,RA,RA,RA,RA
,,ALVI5,OH,OH,OH,OH
,,ALVIC,OH,OH,OH,OH
,,ALVIF,OH,OH,OH,OH
,,ALVIS,OH,OH,OH,OH
AM,362,ARAR2,OH,OH,OH,OH
MS,360,ARBUT,MA,MA,MA,MA
MA,361,ARME,MA,MA,MA,MA
,,ARXA80,OH,OH,OH,OH
,,BEGL,OH,OH,OH,OH
,,BENA,OH,OH,OH,OH
AB,376,BENE4,OH,OH,OH,OH
WT,374,BEOC2,OH,OH,OH,OH
PB,375,BEPA,OH,OH,OH,OH
,,BEPAC,OH,OH,OH,OH
,,BEPAK,OH,OH,OH,OH
,,BEPAP,OH,OH,OH,OH
,,BEPU4,OH,OH,OH,OH
,,BEPUG,OH,OH,OH,OH
OB,370,BETUL,OH,OH,OH,OH
NW,378,BEUT,OH,OH,OH,OH
C,,,RC,RC,RC,RC
,,CABI8,OH,OH,OH,OH
IC,081,CADE27,IC,IC,IC,IC
,,CAGI10,OH,OH,OH,OH
YC,042,CANO9,PC,PC,PC,PC
,,CASP8,OH,OH,OH,OH
,,CATAL,OH,OH,OH,OH
,,CEEH,OH,OH,OH,OH
,,CEIN7,OH,OH,OH,OH
,,CELA,OH,OH,OH,OH
,,CELAB,OH,OH,OH,OH
,,CELAR,OH,OH,OH,OH
,,CELAT8,OH,OH,OH,OH
MC,475,CELE3,OH,OH,OH,OH
,,CELEI,OH,OH,OH,OH
,,CELEL,OH,OH,OH,OH
,,CELTI,OH,OH,OH,OH
,,CEMO2,OH,OH,OH,OH
MB,478,CEMOG,OH,OH,OH,OH
,,CEMOM4,OH,OH,OH,OH
