species_index,DGLD,DGCR,DGCRSQ,DGBAL,DGDBAL,DGBA,DGLBA,DGPCCF,DGEL,DGEL2,DGSLOP,DGSLSQ,DGCASP,DGSASP,DGCCFA,DGDS,OBSERV
1,0.822203,1.768935,-0.176164,0.0,-0.006065,0.0,-0.257322,0.0,0.0,0.0,0.024336,-0.78148,0.127311,0.076531,0.0,-0.0004163,8420.0
2,0.725693,2.362259,-1.719086,0.0,-0.003403,0.0,-0.121785,-0.000521,-6.4e-05,-1.2e-05,-0.293028,0.0,-0.120816,0.008765,0.0,-0.0003576,3091.0
3,1.045093,1.658968,-0.361716,0.0,-0.002579,0.0,-0.196025,-0.000422,0.003527,-9.5e-05,-0.133723,-0.484626,0.059683,0.023297,0.0,-0.0004562,16232.0
4,1.286963,1.175105,0.219013,0.0,-0.000578,0.0,-0.217923,-0.000512,0.005045,-9.3e-05,-0.033374,-0.418343,-0.004469,0.009335,0.0,-0.0004408,21277.0
5,1.286963,1.175105,0.219013,0.0,-0.000578,0.0,-0.217923,-0.000512,0.005045,-9.3e-05,-0.033374,-0.418343,-0.004469,0.009335,0.0,-0.0004408,21277.0
6,0.725693,2.362259,-1.719086,0.0,-0.003403,0.0,-0.121785,-0.000521,-6.4e-05,-1.2e-05,-0.293028,0.0,-0.120816,0.008765,0.0,-0.0003576,3091.0
7,0.900528,1.913105,-0.258206,0.0,-0.001641,0.0,-0.178038,0.0,0.006343,-9.6e-05,0.000452,-0.207088,0.081123,0.066831,0.0,-0.0009134,20986.0
8,1.241561,0.506551,0.762026,0.0,-0.000638,0.0,-0.204602,-0.00021,0.0,0.0,1.271265,-1.842644,0.013843,-0.157633,0.0,-0.0003958,5517.0
9,0.968212,0.62618,0.688924,0.0,0.0,-0.000926,-0.113511,-0.000601,0.010618,-0.000194,0.161578,-0.05089,-0.137792,-0.07383,0.0,-0.0002569,6533.0
10,0.822203,1.768935,-0.176164,0.0,-0.006065,0.0,-0.257322,0.0,0.0,0.0,0.024336,-0.78148,0.127311,0.076531,0.0,-0.0004163,8420.0
11,0.213947,1.523464,0.0,-0.358634,0.0,0.0,0.0,0.0,0.0,0.0,-2.05706,2.113263,-0.609774,-0.01752,-0.199592,-0.0006538,0.0
12,0.213947,1.523464,0.0,-0.358634,0.0,0.0,0.0,0.0,0.0,0.0,-2.05706,2.113263,-0.609774,-0.01752,-0.199592,-0.0006538,0.0
13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,0.889596,1.732535,0.0,0.0,0.0,-0.001265,0.0,0.0,-0.075986,0.001193,0.0,0.0,0.085958,-0.86398,0.0,0.0,220.0
16,0.213947,1.523464,0.0,-0.358634,0.0,0.0,0.0,0.0,0.0,0.0,-2.05706,2.113263,-0.609774,-0.01752,-0.199592,-0.0006538,0.0
17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,0.900528,1.913105,-0.258206,0.0,-0.001641,0.0,-0.178038,0.0,0.006343,-9.6e-05,0.000452,-0.207088,0.081123,0.066831,0.0,-0.0009134,20986.0
19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
