species_index,CNST,CR,CRSQ,DGMAX,DHCN,DHCR,DHHT,HDM1,HDM2,HTBA,RLHT,STBA,XMAX,XMIN
1,1.598975,0.0,0.019979,99.0,-1.107,0.0,0.830144,0.0,0.0,0.0,1.360483,0.0,5.0,2.0
2,1.598975,0.0,0.019979,99.0,-2.47253,0.0,1.045526,0.0,0.0,0.0,1.360483,0.0,5.0,2.0
3,1.598975,0.0,0.019979,99.0,-2.91444,0.098784,1.234512,0.0,0.0,0.0,1.360483,0.0,5.0,2.0
4,1.222128,-0.056683,0.027878,99.0,-2.44705,0.019108,1.154547,-0.148242,0.0,0.007883,0.625564,-0.001581,5.0,2.0
5,1.222128,-0.056683,0.027878,99.0,-2.23082,0.01009,1.173253,-0.148242,0.0,0.007883,0.625564,-0.001581,5.0,2.0
6,1.598975,0.0,0.019979,99.0,-2.23082,0.0,1.173253,0.0,0.0,0.0,1.360483,0.0,5.0,2.0
7,2.133995,-0.429924,0.05926,99.0,-2.34117,0.191396,0.95751,1.344571,0.941685,-0.010395,2.559428,-0.057022,5.0,2.0
8,1.768804,-0.240189,0.033463,99.0,-2.51259,0.07133,1.151275,0.0,-0.17039,0.0,1.564875,0.0,5.0,2.0
9,1.253349,-0.184459,0.030547,99.0,-2.59515,0.0,1.236187,0.0,-0.351491,0.0,1.919543,0.0,5.0,2.0
10,2.764559,0.0,0.025303,99.0,-1.107,0.0,0.830144,0.0,0.0,0.0,0.0,-0.009643,5.0,2.0
11,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.5
12,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.5
13,0.0,0.0,0.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0
14,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.0,90.0
15,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.0,90.0
16,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.5
17,0.0,0.0,0.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.5
18,2.133995,-0.429924,0.05926,99.0,-2.23082,0.0,1.173253,1.344571,0.941685,-0.010395,2.559428,-0.057022,5.0,2.0
19,0.0,0.0,0.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.5
