species_index,code_alpha,code_fia,code_plants,site_lo,site_hi,dbh_max,bark1,bark2,bark_imap,st_dgmax,st_xmax,st_xmin,st_diam,st_htadj,st_break,ht1,ht2,wykoff_ht2,mort_bkgd_intercept,mort_bkgd_dbh,sdi_max_default,stump,top_dib,dbh_min,scf_min_dbh,scf_top_dib,scf_stump,bf_min_dbh,bf_top_dib,bf_stump,htdbh_iwykca,htdbh_ht1,htdbh_ht2,htdbh_p2,htdbh_p3,htdbh_p4,htdbh_db,varmrt_varadj,is_sprouting,dg_resid_sd
1,WP,119,PIMO3,20.0,80.0,50.0,0.859045,0.0,4,2.4,2.0,0.5,0.3,1.0,1.0,5.19988,-9.26718,-8.9277,7.2985,-0.0129121,570.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0,4.5879,-8.9277,0.0,0.0,0.0,0.0,0.5,0,0.23
2,WL,073,LAOC,50.0,110.0,20.0,0.9,0.0,4,3.0,5.0,2.0,0.3,1.1,3.0,4.97407,-6.78347,-9.2566,6.5112,-0.0052485,423.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0,5.1631,-9.2566,0.0,0.0,0.0,0.0,0.9,0,0.206
3,DF,202,PSME,30.0,70.0,50.0,0.903563,0.989388,4,2.4,2.0,0.5,0.3,1.0,1.0,4.81519,-7.29306,-8.9277,7.2985,-0.0129121,570.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0,4.5879,-8.9277,0.0,0.0,0.0,0.0,0.5,0,0.267
4,GF,017,ABGR,50.0,110.0,20.0,0.904973,0.0,4,3.6,5.0,2.0,0.3,1.0,3.0,5.00233,-8.19365,-11.2168,5.1677,-0.0077681,562.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0,5.0271,-11.2168,0.0,0.0,0.0,0.0,0.3,0,0.26
5,WH,263,TSHE,6.0,203.0,50.0,0.903563,0.989388,4,2.4,2.0,0.5,0.3,1.0,1.0,4.97331,-8.19730,-8.9277,7.2985,-0.0129121,570.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0,4.5879,-8.9277,0.0,0.0,0.0,0.0,0.5,0,0.26
6,RC,242,THPL,29.0,152.0,20.0,0.837291,0.0,4,3.0,5.0,2.0,0.3,1.1,3.0,4.89564,-8.39057,-9.2566,5.1677,-0.0077681,762.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0,5.1631,-9.2566,0.0,0.0,0.0,0.0,0.1,0,0.206
7,LP,108,PICO,20.0,100.0,20.0,0.9,0.0,4,3.5,2.0,0.5,0.4,1.0,1.0,4.62171,-5.32481,-6.1281,5.9617,-0.0340128,679.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0,4.3767,-6.1281,0.0,0.0,0.0,0.0,0.7,0,0.203
8,ES,093,PIEN,40.0,100.0,46.0,0.9,0.0,4,3.6,2.0,0.5,0.3,1.0,1.0,4.92190,-8.30289,-7.7725,9.6943,-0.0127328,620.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0,4.5293,-7.7725,0.0,0.0,0.0,0.0,0.3,0,0.232
9,AF,019,ABLA,40.0,90.0,36.0,0.903563,0.989388,4,3.6,2.0,0.5,0.3,1.0,1.0,4.76537,-7.61062,-6.7387,5.1677,-0.0077681,602.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0,4.4717,-6.7387,0.0,0.0,0.0,0.0,0.1,0,0.245
10,PP,122,PIPO,40.0,80.0,50.0,0.809427,1.016866,4,2.8,2.0,0.5,0.5,1.0,1.0,4.92880,-9.32795,-11.4693,5.5877,-0.005348,446.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0,4.6024,-11.4693,0.0,0.0,0.0,0.0,0.7,0,0.23
11,WB,101,PIAL,25.0,50.0,50.0,0.969,0.0,4,2.4,2.0,0.5,0.3,1.0,1.0,4.97407,-6.78347,-8.9277,7.2985,-0.0129121,570.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0,4.5879,-8.9277,0.0,0.0,0.0,0.0,0.5,0,0.4671
12,PY,231,TABR2,25.0,50.0,50.0,0.969,0.0,4,2.4,2.0,0.5,0.3,1.0,1.0,4.19200,-5.16510,-8.9277,7.2985,-0.0129121,570.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0,4.5879,-8.9277,0.0,0.0,0.0,0.0,0.5,0,0.4671
13,AS,746,POTR5,30.0,70.0,50.0,0.95,0.0,4,2.4,2.0,0.5,0.3,1.0,1.0,4.44210,-6.54050,-8.9277,7.2985,-0.0129121,570.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0,4.5879,-8.9277,0.0,0.0,0.0,0.0,0.5,0,0.375
14,WJ,064,JUOC,5.0,15.0,50.0,0.0,0.0,4,2.4,2.0,0.5,0.3,1.0,1.0,3.20000,-5.00000,-8.9277,7.2985,-0.0129121,570.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0,4.5879,-8.9277,0.0,0.0,0.0,0.0,0.5,0,0.2
15,MC,475,CELE3,5.0,15.0,50.0,0.9,0.0,4,2.4,2.0,0.5,0.3,1.0,1.0,4.44210,-6.54050,-8.9277,7.2985,-0.0129121,570.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0,4.5879,-8.9277,0.0,0.0,0.0,0.0,0.5,0,0.5357
16,LM,113,PIFL2,25.0,50.0,50.0,0.969,0.0,4,2.4,2.0,0.5,0.3,1.0,1.0,4.19200,-5.16510,-8.9277,7.2985,-0.0129121,570.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0,4.5879,-8.9277,0.0,0.0,0.0,0.0,0.5,0,0.4671
17,CW,747,POBAT,30.0,120.0,50.0,0.892,-0.086,4,2.4,2.0,0.5,0.3,1.0,1.0,4.44210,-6.54050,-8.9277,7.2985,-0.0129121,570.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0,4.5879,-8.9277,0.0,0.0,0.0,0.0,0.5,0,0.2
18,OS,299,2TN,30.0,70.0,50.0,0.9,0.0,4,2.4,2.0,0.5,0.3,1.0,1.0,4.77951,-9.31743,-8.9277,7.2985,-0.0129121,570.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0,4.5879,-8.9277,0.0,0.0,0.0,0.0,0.5,0,0.203
19,OH,998,2TB,30.0,120.0,50.0,0.892,-0.086,4,2.4,2.0,0.5,0.3,1.0,1.0,4.44210,-6.54050,-8.9277,7.2985,-0.0129121,570.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0,4.5879,-8.9277,0.0,0.0,0.0,0.0,0.5,0,0.2
