species_index,ls_spi,v2t,tfall_cls,leaf_life,dkr_cls,snag_cls,bark_eqnum,snag_decayx,snag_fallx,snag_alldwn,biogrp
1,1,19.3,15,7,4,2,9,0.9,2.5,40,3
2,1,19.3,15,7,4,2,9,0.9,2.5,40,3
3,1,26.8,15,5,3,2,9,1.1,1.0,100,2
4,1,21.8,15,7,4,2,9,0.9,2.5,40,3
5,1,23.1,15,7,4,2,9,0.9,2.5,40,3
6,1,26.2,10,4,4,2,9,1.0,1.0,150,3
7,1,19.3,20,5,2,2,9,0.9,1.1,90,1
8,1,29.9,15,1,3,2,9,1.1,0.9,150,1
9,1,23.7,20,3,4,2,9,0.9,0.001,999,4
10,1,22.5,15,3,4,2,9,0.9,1.0,150,4
11,1,23.7,15,3,4,2,9,0.9,1.0,150,4
12,1,31.8,15,3,4,2,9,0.9,1.0,150,4
13,1,23.7,10,4,4,2,9,1.0,1.0,150,4
14,1,22.5,15,3,4,2,9,0.9,1.0,150,4
15,1,22.5,10,4,4,2,9,1.0,1.0,150,4
16,1,34.9,20,4,2,2,9,0.9,1.0,150,10
17,1,20.6,10,6,4,2,9,0.9,1.0,100,5
18,1,20.6,10,6,4,2,9,0.9,1.0,100,5
19,1,23.1,10,6,4,2,9,0.9,1.0,100,5
20,1,21.8,10,1,4,2,9,0.9,4.0,5,6
21,1,19.3,10,1,4,2,9,0.9,4.0,5,6
22,1,19.3,10,1,4,2,9,0.9,4.0,5,6
23,1,39.6,15,1,2,2,9,0.9,2.5,40,10
24,1,39.6,15,1,2,2,9,0.9,2.5,40,10
25,1,39.6,15,1,2,2,9,0.9,2.5,40,10
26,1,39.6,15,1,2,2,9,0.9,2.5,40,10
27,1,39.6,15,1,2,2,9,0.9,2.5,40,10
28,1,21.8,10,1,4,2,9,0.9,4.0,5,6
29,1,34.9,20,4,2,2,9,0.9,1.0,150,10
30,1,34.9,20,4,2,2,9,0.9,1.0,150,10
31,1,34.9,20,4,2,2,9,0.9,1.0,150,10
32,1,34.9,20,4,2,2,9,0.9,1.0,150,10
33,1,31.8,15,3,4,2,9,0.9,1.0,150,4
34,1,31.8,15,3,4,2,9,0.9,1.0,150,4
35,1,31.8,15,3,4,2,9,0.9,1.0,150,4
36,1,23.7,10,4,4,2,9,1.0,1.0,150,4
37,1,23.7,15,3,4,2,9,0.9,1.0,150,4
38,1,21.8,10,1,4,2,9,0.9,4.0,5,6
