species_index,code_alpha,code_fia,code_plants,site_lo,site_hi,dbh_max,bark1,bark2,bark_imap,st_dgmax,st_xmax,st_xmin,st_diam,st_htadj,st_break,ht1,ht2,wykoff_ht2,mort_bkgd_intercept,mort_bkgd_dbh,sdi_max_default,stump,top_dib,dbh_min,scf_min_dbh,scf_top_dib,scf_stump,bf_min_dbh,bf_top_dib,bf_stump,htdbh_iwykca,htdbh_ht1,htdbh_ht2,htdbh_p2,htdbh_p3,htdbh_p4,htdbh_db,varmrt_varadj,is_sprouting
1,AF,19,ABLA,40.0,105.0,36.0,0.89,0,2,3.6,2.0,0.5,0.3,1.0,1.0,4.4717,-6.7387,-6.7387,5.1677,-0.0077681,602.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0,4.4717,-6.7387,0.0,0.0,0.0,0.0,0.1,0
2,CB,18,ABLAA,30.0,100.0,36.0,0.89,0,2,3.6,2.0,0.5,0.3,1.0,1.0,4.4717,-6.7387,-6.7387,5.1677,-0.0077681,423.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0,4.4717,-6.7387,0.0,0.0,0.0,0.0,0.1,0
3,DF,202,PSME,40.0,120.0,50.0,0.867,0,2,2.4,2.0,0.5,0.3,1.0,1.0,4.5879,-8.9277,-8.9277,7.2985,-0.0129121,570.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0,4.5879,-8.9277,0.0,0.0,0.0,0.0,0.5,0
4,GF,17,ABGR,30.0,130.0,20.0,0.89,0,2,3.6,5.0,2.0,0.3,1.0,3.0,5.0271,-11.2168,-11.2168,5.1677,-0.0077681,562.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0,5.0271,-11.2168,0.0,0.0,0.0,0.0,0.3,0
5,WF,15,ABCO,40.0,105.0,40.0,0.89,0,2,3.6,2.0,0.5,0.3,1.0,1.0,4.3008,-6.8139,-6.8139,5.1677,-0.0077681,634.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0,4.3008,-6.8139,0.0,0.0,0.0,0.0,0.3,0
6,MH,264,TSME,40.0,70.0,20.0,0.9497,0,2,3.0,4.0,2.0,0.3,1.0,3.0,4.874,-10.405,-10.405,9.6943,-0.0127328,687.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0,4.874,-10.405,0.0,0.0,0.0,0.0,0.3,0
7,RC,242,THPL,20.0,125.0,20.0,0.9497,0,2,3.0,5.0,2.0,0.3,1.1,3.0,5.1631,-9.2566,-9.2566,5.1677,-0.0077681,762.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0,5.1631,-9.2566,0.0,0.0,0.0,0.0,0.1,0
8,WL,73,LAOC,40.0,120.0,20.0,0.87407,-0.185,3,3.0,5.0,2.0,0.3,1.1,3.0,5.1631,-9.2566,-9.2566,6.5112,-0.0052485,423.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0,5.1631,-9.2566,0.0,0.0,0.0,0.0,0.9,0
9,BC,102,PIAR,20.0,60.0,36.0,0.9625,-0.1141,3,2.0,199.0,99.0,0.4,1.0,99.0,4.192,-5.1651,-5.1651,5.1677,-0.0077681,621.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0,4.192,-5.1651,0.0,0.0,0.0,0.0,0.9,0
10,LM,113,PIFL2,10.0,60.0,36.0,0.9625,-0.1141,3,2.8,4.0,0.5,0.4,1.0,2.0,4.192,-5.1651,-5.1651,5.1677,-0.0077681,409.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0,4.192,-5.1651,0.0,0.0,0.0,0.0,0.9,0
11,LP,108,PICO,30.0,95.0,20.0,0.9625,-0.1141,3,3.5,2.0,0.5,0.4,1.0,1.0,4.3767,-6.1281,-6.1281,5.9617,-0.0340128,679.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0,4.3767,-6.1281,0.0,0.0,0.0,0.0,0.7,0
12,PI,106,PIED,6.0,40.0,30.0,0.8967,-0.4448,1,2.0,199.0,99.0,0.4,1.0,99.0,4.192,-5.1651,-5.1651,5.1677,-0.0077681,348.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0,4.192,-5.1651,0.0,0.0,0.0,0.0,0.7,0
13,PP,122,PIPO,30.0,100.0,50.0,0.8967,-0.4448,1,2.8,2.0,0.5,0.5,1.0,1.0,4.6024,-11.4693,-11.4693,5.5877,-0.005348,446.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0,4.6024,-11.4693,0.0,0.0,0.0,0.0,0.7,0
14,WB,101,PIAL,20.0,60.0,20.0,0.9625,-0.1141,3,2.8,5.0,2.0,0.4,1.0,3.0,4.192,-5.1651,-5.1651,5.1677,-0.0077681,621.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0,4.192,-5.1651,0.0,0.0,0.0,0.0,0.9,0
15,SW,114,PIST3,30.0,130.0,36.0,0.9643,0,2,3.5,2.0,0.5,0.4,1.0,1.0,5.1999,-9.2672,-9.2672,6.5112,-0.0052485,529.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0,5.1999,-9.2672,0.0,0.0,0.0,0.0,0.5,0
16,UJ,65,JUOS,6.0,30.0,50.0,0.8967,-0.4448,1,2.0,199.0,99.0,0.3,1.0,99.0,4.192,-5.1651,-5.1651,5.1677,-0.0077681,497.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0,4.192,-5.1651,0.0,0.0,0.0,0.0,0.7,0
17,BS,96,PIPU,30.0,110.0,40.0,0.9502,-0.2528,3,3.6,2.0,0.5,0.3,1.0,1.0,4.5293,-7.7725,-7.7725,9.6943,-0.0127328,620.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0,4.5293,-7.7725,0.0,0.0,0.0,0.0,0.5,0
18,ES,93,PIEN,40.0,120.0,46.0,0.9502,-0.2528,3,3.6,2.0,0.5,0.3,1.0,1.0,4.5293,-7.7725,-7.7725,9.6943,-0.0127328,620.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0,4.5293,-7.7725,0.0,0.0,0.0,0.0,0.3,0
