code_alpha,code_fia,code_plants,target_cs,target_ls,target_ne,target_sn
AF,19,ABLA,AF,AF,AF,AF
CB,18,ABLAA,CB,CB,CB,CB
DF,202,PSME,DF,DF,DF,DF
GF,17,ABGR,GF,GF,GF,GF
WF,15,ABCO,WF,WF,WF,WF
MH,264,TSME,MH,MH,MH,MH
RC,242,THPL,RC,RC,RC,RC
WL,73,LAOC,WL,WL,WL,WL
BC,102,PIAR,BC,BC,BC,BC
LM,113,PIFL2,LM,LM,LM,LM
LP,108,PICO,LP,LP,LP,LP
PI,106,PIED,PI,PI,PI,PI
PP,122,PIPO,PP,PP,PP,PP
WB,101,PIAL,WB,WB,WB,WB
SW,114,PIST3,SW,SW,SW,SW
UJ,65,JUOS,UJ,UJ,UJ,UJ
BS,96,PIPU,BS,BS,BS,BS
ES,93,PIEN,ES,ES,ES,ES
WS,94,PIGL,WS,WS,WS,WS
AS,746,POTR5,AS,AS,AS,AS
NC,749,POAN3,NC,NC,NC,NC
PW,745,PODEM,PW,PW,PW,PW
GO,814,QUGA,GO,GO,GO,GO
AW,803,QUAR,AW,AW,AW,AW
EM,810,QUEM,EM,EM,EM,EM
BK,823,QUMA2,BK,BK,BK,BK
SO,843,QUHY,SO,SO,SO,SO
PB,375,BEPA,PB,PB,PB,PB
AJ,63,JUDE2,AJ,AJ,AJ,AJ
RM,66,JUSC2,RM,RM,RM,RM
OJ,69,JUMO,OJ,OJ,OJ,OJ
ER,68,JUVI,ER,ER,ER,ER
PM,133,PIMO,PM,PM,PM,PM
PD,134,PIDI3,PD,PD,PD,PD
AZ,143,PIMOF,AZ,AZ,AZ,AZ
CI,118,PILE,CI,CI,CI,CI
OS,299,2TN,OS,OS,OS,OS
OH,998,2TB,OH,OH,OH,OH
