code_alpha,cuft_eq,bdft_eq
AF,300DVEW093,300DVEW093
CB,NVB0000015,NVB0000015
DF,300FW2W202,300FW2W202
GF,300DVEW093,300DVEW093
WF,NVB0000015,NVB0000015
MH,301DVEW015,301DVEW015
RC,301DVEW015,301DVEW015
WL,301DVEW015,301DVEW015
BC,300DVEW113,300DVEW113
LM,300DVEW113,300DVEW113
LP,301DVEW202,301DVEW202
PI,300DVEW106,300DVEW106
PP,300FW2W122,300FW2W122
WB,300DVEW113,300DVEW113
SW,NVBM240119,NVBM240119
UJ,300DVEW060,300DVEW060
BS,300DVEW093,300DVEW093
ES,NVBM330093,NVBM330093
WS,300DVEW093,300DVEW093
AS,NVB0000746,NVB0000746
NC,300DVEW999,300DVEW999
PW,300DVEW999,300DVEW999
GO,300DVEW800,300DVEW800
AW,300DVEW800,300DVEW800
EM,300DVEW800,300DVEW800
BK,300DVEW800,300DVEW800
SO,300DVEW800,300DVEW800
PB,300DVEW999,300DVEW999
AJ,300DVEW060,300DVEW060
RM,300DVEW060,300DVEW060
OJ,300DVEW060,300DVEW060
ER,300DVEW060,300DVEW060
PM,300DVEW106,300DVEW106
PD,300DVEW106,300DVEW106
AZ,300DVEW106,300DVEW106
CI,300DVEW122,300DVEW122
OS,300DVEW060,300DVEW060
OH,300DVEW999,300DVEW999
