species_index,code_alpha,bark_slope,dg_resid_sd,estab_hht_max,estab_min_ht
1,RC,0.95,0.60928,16.0,0.33
2,JU,0.95,0.60928,27.0,2.1
3,SP,0.93,0.63787,14.0,0.25
4,VP,0.93,0.73192,14.0,0.42
5,LP,0.93,0.73192,14.0,0.25
6,OS,0.91,0.63965,16.0,0.25
7,WP,0.91,0.63965,20.0,0.33
8,WN,0.91,0.74594,20.0,0.33
9,BN,0.91,0.74594,18.0,0.33
10,TL,0.95,0.66815,16.0,0.33
11,TS,0.95,0.66815,20.0,3.59
12,WT,0.95,0.66815,20.0,0.33
13,BG,0.95,0.66815,16.0,0.33
14,,0.93,0.64614,14.0,0.33
15,SH,0.93,0.64614,14.0,0.33
16,SL,0.93,0.64614,14.0,0.33
17,MH,0.93,0.64614,18.0,0.33
18,PH,0.93,0.68908,14.0,0.33
19,HI,0.93,0.68908,14.0,0.33
20,WH,0.93,0.68908,14.0,0.33
21,BH,0.93,0.68908,14.0,0.33
22,PE,0.93,0.68908,14.0,0.33
23,BI,0.93,0.68908,14.0,0.33
24,AB,0.93,0.73976,14.0,0.25
25,BA,0.95,0.62169,18.0,0.33
26,PA,0.95,0.62169,28.0,0.42
27,UA,0.95,0.62169,20.0,0.5
28,EC,0.91,0.66929,24.0,0.42
29,RM,0.95,0.82798,20.0,1.0
30,BE,0.95,0.82798,16.0,0.33
31,SV,0.95,0.82798,18.0,0.42
32,BC,0.95,0.74808,26.0,0.42
33,AE,0.93,0.75819,16.0,0.33
34,SG,0.93,0.75819,14.0,0.33
35,HK,0.93,0.75819,12.0,0.25
36,WE,0.93,0.75819,20.0,0.5
37,EL,0.93,0.75819,16.0,0.33
38,SI,0.93,0.75819,20.0,0.5
39,RL,0.93,0.75819,12.0,0.33
40,RE,0.93,0.75819,20.0,0.5
41,YP,0.95,0.63415,24.0,0.42
42,BW,0.93,0.73467,16.0,0.33
43,SM,0.93,0.6975,16.0,0.25
44,AS,0.93,0.69474,24.0,0.42
45,WA,0.93,0.69474,24.0,0.42
46,GA,0.93,0.69474,24.0,0.42
47,WO,0.93,0.6074,16.0,0.33
48,RO,0.91,0.60699,20.0,0.42
49,SK,0.91,0.60699,16.0,0.33
50,BO,0.91,0.56874,16.0,0.33
51,SO,0.93,0.54465,16.0,0.33
52,BJ,0.93,0.60603,20.0,2.8
53,CK,0.93,0.69062,12.0,0.33
54,SW,0.93,0.69062,16.0,0.33
55,BR,0.93,0.69062,14.0,0.25
56,SN,0.93,0.69062,12.0,0.33
57,PO,0.93,0.60748,12.0,0.25
58,DO,0.93,0.60748,20.0,2.8
59,CO,0.93,0.54283,16.0,0.33
60,PN,0.93,0.72515,20.0,1.4
61,CB,0.93,0.72515,14.0,0.33
62,QI,0.93,0.72515,14.0,0.25
63,OV,0.93,0.69062,20.0,0.5
64,WK,0.93,0.72515,16.0,0.33
65,NK,0.93,0.72515,20.0,1.4
66,WL,0.93,0.72515,14.0,0.25
67,QS,0.93,0.72515,20.0,0.5
68,,0.93,0.77412,20.0,1.4
69,SS,0.93,0.635,18.0,0.5
70,OB,0.93,0.77412,20.0,0.55
71,CA,0.93,0.77412,20.0,0.63
72,PS,0.93,0.77412,12.0,0.25
73,HL,0.93,0.68493,20.0,5.0
74,BP,0.93,0.77412,24.0,0.42
75,BT,0.93,0.77412,20.0,0.42
76,QA,0.93,0.77412,20.0,0.42
77,BK,0.93,0.77412,24.0,0.58
78,,0.93,0.80347,20.0,1.4
79,SY,0.93,0.80347,24.0,0.58
80,BY,0.93,0.80347,20.0,1.4
81,RB,0.93,0.80347,18.0,0.33
82,SU,0.93,0.80347,18.0,0.33
83,WI,0.93,0.80347,20.0,4.7
84,BL,0.93,0.80347,32.0,1.0
85,OH,0.95,0.68013,10.0,0.33
86,AH,0.95,0.68013,20.0,0.42
87,RD,0.95,0.68013,20.0,2.1
88,DW,0.95,0.68013,18.0,0.25
89,HT,0.95,0.68013,16.0,0.25
90,KC,0.95,0.74594,20.0,0.5
91,OO,0.95,0.68111,12.0,0.25
92,CT,0.95,0.68013,20.0,0.33
93,MV,0.95,0.68013,20.0,0.42
94,MB,0.95,0.68013,20.0,2.1
95,HH,0.95,0.68013,20.0,0.42
96,SD,0.95,0.68013,16.0,0.33
