species_index,balmod_b1,balmod_b2,balmod_b3
1,78.283139,0.0155773,0.6352677
2,78.283139,0.0155773,0.6352677
3,16.663427,0.0081767,0.7024476
4,16.663427,0.0081767,0.7024476
5,16.663427,0.0081767,0.7024476
6,16.663427,0.0081767,0.7024476
7,16.663427,0.0081767,0.7024476
8,109.45997,0.0317778,0.3406549
9,109.45997,0.0317778,0.3406549
10,44.063464,0.0159891,0.5265928
11,44.063464,0.0159891,0.5265928
12,44.063464,0.0159891,0.5265928
13,44.063464,0.0159891,0.5265928
14,46.404881,0.0124052,0.45019
15,46.404881,0.0124052,0.45019
16,46.404881,0.0124052,0.45019
17,46.404881,0.0124052,0.45019
18,46.404881,0.0124052,0.45019
19,46.404881,0.0124052,0.45019
20,46.404881,0.0124052,0.45019
21,46.404881,0.0124052,0.45019
22,46.404881,0.0124052,0.45019
23,46.404881,0.0124052,0.45019
24,68.776678,0.0142029,0.4670407
25,41.560896,0.0496419,0.4262735
26,41.560896,0.0496419,0.4262735
27,41.560896,0.0496419,0.4262735
28,53.176655,0.0071978,0.401761
29,48.525191,0.1055688,0.4949813
30,48.525191,0.1055688,0.4949813
31,48.525191,0.1055688,0.4949813
32,68.776678,0.0142029,0.4670407
33,46.112062,0.0086852,0.4606267
34,46.112062,0.0086852,0.4606267
35,46.112062,0.0086852,0.4606267
36,46.112062,0.0086852,0.4606267
37,46.112062,0.0086852,0.4606267
38,46.112062,0.0086852,0.4606267
39,46.112062,0.0086852,0.4606267
40,46.112062,0.0086852,0.4606267
41,0.0,0.3100562,0.6450547
42,68.776678,0.0142029,0.4670407
43,97.036785,0.0256038,0.6009023
44,41.560896,0.0496419,0.4262735
45,41.560896,0.0496419,0.4262735
46,41.560896,0.0496419,0.4262735
47,75.413915,0.0067907,0.491411
48,115.41287,0.0075255,0.6290614
49,115.41287,0.0075255,0.6290614
50,84.947371,0.0029337,0.515755
51,71.642264,0.0026098,0.7484953
52,44.031639,0.009052,0.702451
53,123.43504,0.0465811,0.5251935
54,123.43504,0.0465811,0.5251935
55,123.43504,0.0465811,0.5251935
56,123.43504,0.0465811,0.5251935
57,80.004772,0.008079,0.5946437
58,80.004772,0.008079,0.5946437
59,66.338433,0.0020981,0.5870048
60,36.377003,0.0086953,0.6232087
61,36.377003,0.0086953,0.6232087
62,36.377003,0.0086953,0.6232087
63,36.377003,0.0086953,0.6232087
64,36.377003,0.0086953,0.6232087
65,36.377003,0.0086953,0.6232087
66,36.377003,0.0086953,0.6232087
67,36.377003,0.0086953,0.6232087
68,68.776678,0.0142029,0.4670407
69,68.776678,0.0142029,0.4670407
70,68.776678,0.0142029,0.4670407
71,68.776678,0.0142029,0.4670407
72,68.776678,0.0142029,0.4670407
73,68.776678,0.0142029,0.4670407
74,68.776678,0.0142029,0.4670407
75,68.776678,0.0142029,0.4670407
76,68.776678,0.0142029,0.4670407
77,68.776678,0.0142029,0.4670407
78,53.176655,0.0071978,0.401761
79,53.176655,0.0071978,0.401761
80,53.176655,0.0071978,0.401761
81,53.176655,0.0071978,0.401761
82,53.176655,0.0071978,0.401761
83,53.176655,0.0071978,0.401761
84,53.176655,0.0071978,0.401761
85,141.34518,0.0136995,0.3521047
86,141.34518,0.0136995,0.3521047
87,141.34518,0.0136995,0.3521047
88,141.34518,0.0136995,0.3521047
89,141.34518,0.0136995,0.3521047
90,141.34518,0.0136995,0.3521047
91,141.34518,0.0136995,0.3521047
92,141.34518,0.0136995,0.3521047
93,141.34518,0.0136995,0.3521047
94,141.34518,0.0136995,0.3521047
95,141.34518,0.0136995,0.3521047
96,141.34518,0.0136995,0.3521047
