equation,family,a,b,c,cr_coef,hi_coef,power,dbh_cap,max_cw
01201,bechtold,0.6564,0.8403,0.0,0.0792,0.0,0,999.0,34.0
01202,bragg,-3.746931,7.122778,0,0,0,0.396998,999,0
01203,ek,0.327,5.116,0,0,0,0.5035,999,34.0
06801,bechtold,1.2359,1.2962,0.0,0.0545,0.0,0,999.0,33.0
07101,bechtold,-0.3276,1.3865,0.0,0.0517,0.0,0,999.0,29.0
07102,bragg,2.503585,1.100883,0,0,0,1.056165,999,0
07103,ek,2.205,3.475,0,0,0,0.7506,999,29.0
09101,bechtold,1.8336,0.9932,0.0,0.0431,0.1012,0,999.0,27.0
09104,ek,5.057,1.1313,0,0,0,1.0,999,47.0
09401,bechtold,0.3789,0.8658,0.0,0.0878,0.0,0,999.0,30.0
09402,bragg,3.067563,1.944947,0,0,0,0.718583,999,0
09403,ek,3.594,1.963,0,0,0,0.882,999,37.0
09501,bechtold,-0.8566,0.9693,0.0,0.0573,0.0,0,999.0,27.0
09502,bragg,4.281343,0.153325,0,0,0,1.787982,999,0
09503,ek,3.655,1.398,0,0,0,1.0,999,27.0
09701,bechtold,-1.2151,1.6098,-0.0277,0.0674,-0.0474,0,30.0,0.0
10501,bechtold,0.7478,0.8712,0.0,0.0913,0.0,0,999.0,25.0
10502,bragg,3.382473,0.529126,0,0,0,1.269473,999,0
10503,ek,0.299,5.644,0,0,0,0.6036,999,30.0
11001,bechtold,-2.2564,1.3004,0.0,0.1031,-0.0562,0,999.0,34.0
11005,smith,0.583,0.245,0.0009,0,0,0,999,45.0
11101,bechtold,-6.9659,2.1192,-0.0333,0.0587,-0.0959,0,30.0,0.0
12101,bechtold,-12.2105,1.3376,0.0,0.1237,-0.2759,0,999.0,50.0
12105,smith,0.113,0.259,0.0,0,0,0,999,50.0
12501,bechtold,-3.6548,1.9565,-0.0409,0.0577,0.0,0,24.0,0.0
12502,bragg,3.499341,0.806186,0,0,0,1.090937,999,0
12503,ek,4.233,1.462,0,0,0,1.0,999,39.0
12601,bechtold,-0.9442,1.4531,0.0,0.0543,-0.1144,0,999.0,34.0
12801,bechtold,-8.7711,3.7252,-0.1063,0.0,0.0,0,18.0,0.0
12901,bechtold,0.3914,0.9923,0.0,0.108,0.0,0,999.0,45.0
12902,bragg,3.874199,1.062309,0,0,0,0.96958,999,0
12903,ek,1.62,3.197,0,0,0,0.7981,999,58.0
13001,bechtold,3.5522,0.6742,0.0,0.0985,0.0,0,999.0,27.0
13101,bechtold,-0.8277,1.3946,0.0,0.0768,0.0,0,999.0,55.0
13105,smith,0.738,0.245,0.000809,0,0,0,999,66.0
13201,bechtold,-0.1211,1.2319,0.0,0.1212,0.0,0,999.0,34.0
22101,bechtold,-1.0183,0.8856,0.0,0.1162,0.0,0,999.0,37.0
24101,bechtold,-0.0634,0.7057,0.0,0.0837,0.0,0,999.0,27.0
24102,bragg,2.123722,1.898797,0,0,0,0.764193,999,0
24103,ek,3.496,1.093,0,0,0,1.0,999,27.0
26101,bechtold,6.1924,1.4491,-0.0178,0.0,-0.0341,0,40.0,0.0
26102,bragg,0.868672,4.526525,0,0,0,0.589487,999,0
26103,ek,0.523,1.632,0,0,0,1.0,999,39.0
31301,bechtold,6.4741,1.0778,0.0,0.0719,-0.0637,0,999.0,57.0
