fia,region,b1,b2,b3,b4,b5,b6
012,LS,14.30400,0.19894,1.41950,0.23349,0.76878,0.12399
043,LS,16.93400,0.12972,1.00000,0.20854,0.77792,0.12902
057,LS,16.93400,0.12972,1.00000,0.20854,0.77792,0.12902
068,LS,16.93400,0.12972,1.00000,0.20854,0.77792,0.12902
071,LS,13.62000,0.24255,1.28850,0.25831,0.68128,0.10771
090,LS,31.95700,0.18511,1.70200,0.00000,0.68967,0.16200
091,LS,31.95700,0.18511,1.70200,0.00000,0.68967,0.16200
094,LS,31.95700,0.18511,1.70200,0.00000,0.68967,0.16200
095,LS,20.03800,0.18981,1.29090,0.17836,0.57343,0.10159
097,LS,16.93400,0.12972,1.00000,0.20854,0.77792,0.12902
100,LS,16.93400,0.12972,1.00000,0.20854,0.77792,0.12902
105,LS,16.93400,0.12972,1.00000,0.20854,0.77792,0.12902
110,LS,16.93400,0.12972,1.00000,0.20854,0.77792,0.12902
123,LS,16.93400,0.12972,1.00000,0.20854,0.77792,0.12902
125,LS,36.85100,0.08298,1.00000,0.00001,0.63884,0.18231
126,LS,16.93400,0.12972,1.00000,0.20854,0.77792,0.12902
128,LS,16.93400,0.12972,1.00000,0.20854,0.77792,0.12902
129,LS,16.28100,0.08621,1.00000,0.16220,0.86833,0.23316
130,LS,16.93400,0.12972,1.00000,0.20854,0.77792,0.12902
131,LS,16.93400,0.12972,1.00000,0.20854,0.77792,0.12902
132,LS,16.93400,0.12972,1.00000,0.20854,0.77792,0.12902
221,LS,16.93400,0.12972,1.00000,0.20854,0.77792,0.12902
241,LS,8.20790,0.19672,1.31120,0.33978,0.76173,0.11666
260,LS,5.31170,0.10357,1.00000,0.68454,0.71410,0.00000
261,LS,5.31170,0.10357,1.00000,0.68454,0.71410,0.00000
290,LS,16.93400,0.12972,1.00000,0.20854,0.77792,0.12902
313,LS,6.43010,0.23545,1.33800,0.47370,0.73385,0.08228
314,LS,5.34160,0.23044,1.15290,0.54194,0.83440,0.06372
315,LS,6.43010,0.23545,1.33800,0.47370,0.73385,0.08228
316,LS,6.86000,0.27725,1.42870,0.40115,0.85299,0.12403
317,LS,6.95720,0.26564,1.00000,0.48660,0.76954,0.01618
318,LS,5.34160,0.23044,1.15290,0.54194,0.83440,0.06372
319,LS,6.43010,0.23545,1.33800,0.47370,0.73385,0.08228
330,LS,6.43010,0.23545,1.33800,0.47370,0.73385,0.08228
331,LS,6.43010,0.23545,1.33800,0.47370,0.73385,0.08228
332,LS,6.43010,0.23545,1.33800,0.47370,0.73385,0.08228
341,LS,6.43010,0.23545,1.33800,0.47370,0.73385,0.08228
356,LS,6.43010,0.23545,1.33800,0.47370,0.73385,0.08228
371,LS,7.18520,0.28384,1.44170,0.38884,0.82157,0.11411
372,LS,7.27730,0.22721,1.00000,0.41179,0.76498,0.11046
373,LS,7.27730,0.22721,1.00000,0.41179,0.76498,0.11046
374,LS,7.27730,0.22721,1.00000,0.41179,0.76498,0.11046
375,LS,7.27730,0.22721,1.00000,0.41179,0.76498,0.11046
379,LS,7.27730,0.22721,1.00000,0.41179,0.76498,0.11046
391,LS,6.43010,0.23545,1.33800,0.47370,0.73385,0.08228
400,LS,6.10340,0.17368,1.00000,0.44725,1.02370,0.14610
401,LS,6.10340,0.17368,1.00000,0.44725,1.02370,0.14610
402,LS,6.10340,0.17368,1.00000,0.44725,1.02370,0.14610
403,LS,6.10340,0.17368,1.00000,0.44725,1.02370,0.14610
404,LS,6.10340,0.17368,1.00000,0.44725,1.02370,0.14610
405,LS,6.10340,0.17368,1.00000,0.44725,1.02370,0.14610
407,LS,6.10340,0.17368,1.00000,0.44725,1.02370,0.14610
408,LS,6.10340,0.17368,1.00000,0.44725,1.02370,0.14610
409,LS,6.10340,0.17368,1.00000,0.44725,1.02370,0.14610
410,LS,6.10340,0.17368,1.00000,0.44725,1.02370,0.14610
421,LS,6.43010,0.23545,1.33800,0.47370,0.73385,0.08228
450,LS,6.43010,0.23545,1.33800,0.47370,0.73385,0.08228
452,LS,6.43010,0.23545,1.33800,0.47370,0.73385,0.08228
460,LS,6.43010,0.23545,1.33800,0.47370,0.73385,0.08228
461,LS,6.43010,0.23545,1.33800,0.47370,0.73385,0.08228
462,LS,6.43010,0.23545,1.33800,0.47370,0.73385,0.08228
471,LS,6.43010,0.23545,1.33800,0.47370,0.73385,0.08228
481,LS,6.43010,0.23545,1.33800,0.47370,0.73385,0.08228
490,LS,6.43010,0.23545,1.33800,0.47370,0.73385,0.08228
491,LS,6.43010,0.23545,1.33800,0.47370,0.73385,0.08228
500,LS,6.43010,0.23545,1.33800,0.47370,0.73385,0.08228
521,LS,6.43010,0.23545,1.33800,0.47370,0.73385,0.08228
531,LS,5.34160,0.23044,1.15290,0.54194,0.83440,0.06372
540,LS,8.17820,0.27316,1.72500,0.38694,0.75822,0.10847
541,LS,8.17820,0.27316,1.72500,0.38694,0.75822,0.10847
543,LS,11.29100,0.25250,1.54660,0.35711,0.75060,0.06859
544,LS,11.29100,0.25250,1.54660,0.35711,0.75060,0.06859
545,LS,11.29100,0.25250,1.54660,0.35711,0.75060,0.06859
546,LS,11.29100,0.25250,1.54660,0.35711,0.75060,0.06859
552,LS,6.43010,0.23545,1.33800,0.47370,0.73385,0.08228
571,LS,6.43010,0.23545,1.33800,0.47370,0.73385,0.08228
591,LS,6.43010,0.23545,1.33800,0.47370,0.73385,0.08228
601,LS,6.43010,0.23545,1.33800,0.47370,0.73385,0.08228
602,LS,6.43010,0.23545,1.33800,0.47370,0.73385,0.08228
611,LS,6.43010,0.23545,1.33800,0.47370,0.73385,0.08228
621,LS,6.43010,0.23545,1.33800,0.47370,0.73385,0.08228
641,LS,6.43010,0.23545,1.33800,0.47370,0.73385,0.08228
