species_index,v2t,tfall_cls,leaf_life,dkr_cls,snag_cls,snag_decayx,snag_fallx,snag_alldwn,bio_group
1,27.4,1,5,2,3,0.35,1.96,25.0,1
2,27.4,1,5,2,3,0.35,1.96,25.0,1
3,29.3,6,4,4,1,0.07,7.17,6.0,4
4,28.1,6,3,4,1,0.07,7.17,6.0,4
5,29.3,6,3,4,1,0.07,7.17,6.0,4
6,21.2,6,2,4,1,0.07,7.17,6.0,4
7,21.2,6,2,4,1,0.07,7.17,6.0,4
8,31.8,4,1,2,2,0.21,3.07,15.0,8
9,22.5,4,1,4,2,0.21,3.07,15.0,8
10,28.7,3,1,2,3,0.35,1.96,25.0,8
11,28.7,3,1,2,3,0.35,1.96,25.0,10
12,28.7,3,1,2,3,0.35,1.96,25.0,8
13,28.7,3,1,2,3,0.35,1.96,25.0,8
14,39.9,2,1,4,3,0.35,1.96,25.0,8
15,39.9,2,1,4,3,0.35,1.96,25.0,9
16,38.7,2,1,4,3,0.35,1.96,25.0,9
17,39.9,2,1,4,3,0.35,1.96,25.0,9
18,41.2,2,1,4,3,0.35,1.96,25.0,9
19,39.9,2,1,4,3,0.35,1.96,25.0,9
20,38.0,2,1,4,3,0.35,1.96,25.0,9
21,37.4,2,1,4,3,0.35,1.96,25.0,9
22,37.4,2,1,4,3,0.35,1.96,25.0,20
23,39.9,2,1,4,3,0.35,1.96,25.0,9
24,34.9,4,1,4,2,0.21,3.07,15.0,9
25,28.1,5,1,4,2,0.21,3.07,15.0,9
26,29.9,5,1,4,2,0.21,3.07,15.0,9
27,33.1,5,1,4,2,0.21,3.07,15.0,8
28,23.1,5,1,4,1,0.07,7.17,6.0,8
29,30.6,5,1,4,2,0.21,3.07,15.0,8
30,25.9,5,1,4,2,0.21,3.07,15.0,6
31,27.4,5,1,4,2,0.21,3.07,15.0,7
32,29.3,4,1,2,2,0.21,3.07,15.0,7
33,28.7,5,1,4,1,0.07,7.17,6.0,30
34,30.6,4,1,4,2,0.21,3.07,15.0,7
35,30.6,4,1,4,2,0.21,3.07,15.0,8
36,37.4,5,1,4,1,0.07,7.17,6.0,8
37,28.7,5,1,4,1,0.07,7.17,6.0,8
38,28.7,5,1,4,1,0.07,7.17,6.0,8
39,29.9,5,1,4,1,0.07,7.17,6.0,8
40,35.6,5,1,4,1,0.07,7.17,6.0,8
41,24.9,5,1,4,2,0.21,3.07,15.0,8
42,20.0,5,1,4,1,0.07,7.17,6.0,8
43,34.9,5,1,4,2,0.21,3.07,15.0,8
44,33.1,5,1,4,2,0.21,3.07,15.0,40
45,34.3,5,1,4,2,0.21,3.07,15.0,8
46,33.1,5,1,4,2,0.21,3.07,15.0,8
47,37.4,3,1,2,3,0.35,1.96,25.0,9
48,34.9,4,1,3,2,0.21,3.07,15.0,8
49,32.4,4,1,3,2,0.21,3.07,15.0,8
50,34.9,4,1,3,2,0.21,3.07,15.0,8
51,37.4,4,1,3,2,0.21,3.07,15.0,9
52,34.9,2,1,2,3,0.35,1.96,25.0,9
53,37.4,3,1,2,3,0.35,1.96,25.0,9
54,39.9,3,1,2,3,0.35,1.96,25.0,9
55,36.2,3,1,2,3,0.35,1.96,25.0,50
56,37.4,3,1,3,2,0.21,3.07,15.0,9
57,37.4,3,1,2,3,0.35,1.96,25.0,9
58,37.4,3,1,2,3,0.35,1.96,25.0,9
59,35.6,3,1,3,2,0.21,3.07,15.0,9
60,36.2,4,1,3,2,0.21,3.07,15.0,9
61,38.0,4,1,3,2,0.21,3.07,15.0,9
62,34.9,4,1,2,2,0.21,3.07,15.0,9
63,35.6,3,1,3,2,0.21,3.07,15.0,9
64,34.9,3,1,2,3,0.35,1.96,25.0,9
65,34.9,4,1,3,2,0.21,3.07,15.0,9
66,34.9,4,1,2,2,0.21,3.07,15.0,60
67,34.9,4,1,3,2,0.21,3.07,15.0,9
68,37.4,2,1,2,3,0.35,1.96,25.0,9
69,26.2,4,1,2,2,0.21,3.07,15.0,9
70,20.6,5,1,4,2,0.21,3.07,15.0,9
71,23.7,4,1,2,2,0.21,3.07,15.0,9
72,39.9,4,1,2,3,0.35,1.96,25.0,9
73,37.4,2,1,2,3,0.35,1.96,25.0,9
74,19.3,5,1,4,1,0.07,7.17,6.0,8
75,22.5,5,1,4,1,0.07,7.17,6.0,8
76,21.8,5,1,4,1,0.07,7.17,6.0,8
77,41.2,2,1,1,3,0.35,1.96,25.0,70
78,28.7,5,1,4,2,0.21,3.07,15.0,8
79,28.7,5,1,4,2,0.21,3.07,15.0,8
80,26.2,1,1,3,3,0.35,1.96,25.0,8
81,30.6,5,1,4,1,0.07,7.17,6.0,6
82,28.7,5,1,4,2,0.21,3.07,15.0,6
83,22.5,6,1,4,1,0.07,7.17,6.0,6
84,22.5,6,1,4,1,0.07,7.17,6.0,8
85,39.9,5,1,3,2,0.21,3.07,15.0,8
86,36.2,4,1,3,2,0.21,3.07,15.0,8
87,36.2,5,1,3,2,0.21,3.07,15.0,1
88,39.9,5,1,3,2,0.21,3.07,15.0,80
89,38.7,5,1,4,2,0.21,3.07,15.0,7
90,33.1,5,1,4,2,0.21,3.07,15.0,8
91,47.4,4,1,1,2,0.21,3.07,15.0,6
92,27.4,4,1,4,2,0.21,3.07,15.0,6
93,26.2,4,1,4,2,0.21,3.07,15.0,8
94,36.8,5,1,1,2,0.21,3.07,15.0,8
95,39.3,4,1,3,2,0.21,3.07,15.0,8
96,31.2,5,1,4,2,0.21,3.07,15.0,8
