species_index,code_alpha,mapcs
1,RC,58
2,JU,58
3,SP,78
4,VP,125
5,LP,110
6,OS,58
7,WP,104
8,WN,16
9,BN,16
10,TL,27
11,TS,27
12,WT,26
13,BG,27
14,,10
15,SH,10
16,SL,10
17,MH,10
18,PH,10
19,HI,10
20,WH,10
21,BH,10
22,PE,19
23,BI,10
24,AB,11
25,BA,14
26,PA,15
27,UA,12
28,EC,28
29,RM,1
30,BE,58
31,SV,4
32,BC,35
33,AE,53
34,SG,53
35,HK,19
36,WE,53
37,EL,53
38,SI,53
39,RL,53
40,RE,53
41,YP,25
42,BW,51
43,SM,2
44,AS,12
45,WA,12
46,GA,15
47,WO,41
48,RO,38
49,SK,37
50,BO,49
51,SO,42
52,BJ,58
53,CK,36
54,SW,44
55,BR,36
56,SN,44
57,PO,36
58,DO,36
59,CO,46
60,PN,36
61,CB,43
62,QI,36
63,OV,45
64,WK,44
65,NK,36
66,WL,36
67,QS,43
68,,36
69,SS,50
70,OB,1
71,CA,14
72,PS,58
73,HL,50
74,BP,25
75,BT,32
76,QA,32
77,BK,50
78,,53
79,SY,25
80,BY,21
81,RB,5
82,SU,19
83,WI,50
84,BL,50
85,OH,58
86,AH,58
87,RD,58
88,DW,58
89,HT,58
90,KC,53
91,OO,50
92,CT,25
93,MV,27
94,MB,16
95,HH,58
96,SD,58
