species_index,htdbh_p2,htdbh_p3,htdbh_p4,htdbh_db,htdbh_ht1,htdbh_ht2,htdbh_iwykca
1,926.1802712,4.462092,-0.2005397,0.5,4.4718,-5.0078,0
2,212.7932729,3.471549,-0.3258523,0.3,4.0374,-4.2964,0
3,444.0921666,4.1187631,-0.3061704,0.5,4.6271,-6.4095,0
4,926.1802712,4.462092,-0.2005397,0.5,4.4718,-5.0078,0
5,243.860648,4.2846057,-0.4713019,0.5,4.6897,-6.8801,0
6,212.7932729,3.471549,-0.3258523,0.3,4.0374,-4.2964,0
7,2108.844224,5.6594814,-0.1856314,0.4,4.609,-6.1896,1
8,93.7104203,3.6575094,-0.8824683,0.4,4.5018,-5.6123,0
9,285.8797853,3.5213881,-0.3193688,0.3,4.5018,-5.6123,0
10,319.9788466,3.6731341,-0.3065132,0.2,4.3802,-4.7903,0
11,252.3566527,3.2439868,-0.3334313,0.2,4.4334,-4.5709,0
12,163.9728054,2.7681972,-0.4409801,0.2,4.433,-4.5383,0
13,319.9788466,3.6731341,-0.3065132,0.2,4.3802,-4.7903,1
14,337.6684758,3.6272647,-0.3208317,0.3,4.5128,-4.9918,0
15,337.6684758,3.6272647,-0.3208317,0.3,4.5128,-4.9918,0
16,337.6684758,3.6272647,-0.3208317,0.3,4.5128,-4.9918,0
17,337.6684758,3.6272647,-0.3208317,0.3,4.5128,-4.9918,0
18,337.6684758,3.6272647,-0.3208317,0.3,4.5128,-4.9918,0
19,337.6684758,3.6272647,-0.3208317,0.3,4.5128,-4.9918,0
20,337.6684758,3.6272647,-0.3208317,0.3,4.5128,-4.9918,0
21,337.6684758,3.6272647,-0.3208317,0.3,4.5128,-4.9918,0
22,337.6684758,3.6272647,-0.3208317,0.3,4.5128,-4.9918,0
23,337.6684758,3.6272647,-0.3208317,0.3,4.5128,-4.9918,0
24,526.1392688,3.8923212,-0.2258708,0.1,4.4772,-4.7206,0
25,178.9307637,4.9286147,-0.6377701,0.2,4.6155,-6.2945,0
26,251.4042514,3.2691981,-0.35906,0.2,4.4819,-4.5314,0
27,251.4042514,3.2691981,-0.35906,0.2,4.4819,-4.5314,0
28,190.9797059,3.6927888,-0.5273047,0.1,4.9396,-8.1838,0
29,268.5564351,3.1143284,-0.2941116,0.2,4.3379,-3.8214,0
30,285.8797853,3.5213881,-0.3193688,0.3,4.5018,-5.6123,0
31,80.5117992,26.9833101,-2.0220281,0.2,4.5991,-6.6706,1
32,364.0247807,3.5598736,-0.2726312,0.1,4.3286,-4.0922,0
33,418.5941897,3.1703858,-0.1896403,0.1,4.6008,-7.2732,0
34,337.6684758,3.6272647,-0.3208317,0.3,4.5128,-4.9918,0
35,484.7529797,3.9393329,-0.2599883,0.1,4.4207,-5.1435,1
36,1001.672885,4.5731044,-0.1889822,0.1,4.5992,-7.7428,0
37,1005.80672,4.6473994,-0.2033614,0.1,4.3744,-4.5257,0
38,1005.80672,4.6473994,-0.2033614,0.1,4.3744,-4.5257,0
39,1337.547184,4.489535,-0.1474953,0.1,4.6238,-7.4847,0
40,1005.80672,4.6473994,-0.2033614,0.1,4.3744,-4.5257,0
41,625.7696614,3.8732057,-0.233495,0.2,4.6892,-4.9605,1
42,293.5715132,3.522619,-0.3512225,0.1,4.582,-5.0903,0
43,209.8555358,2.9528133,-0.367875,0.2,4.4834,-4.5431,0
44,251.4042514,3.2691981,-0.35906,0.2,4.4819,-4.5314,0
45,91.3527662,6.9960527,-1.2293767,0.2,4.5959,-6.4497,0
46,404.9692122,3.3901974,-0.255096,0.2,4.6155,-6.2945,0
47,170.1330787,3.2781587,-0.4874421,0.2,4.5463,-5.2287,0
48,700.0636452,4.1060739,-0.2139279,0.2,4.5202,-4.8896,0
49,150.4300023,3.13271,-0.4992587,0.1,4.5142,-5.2205,0
50,224.716279,3.116485,-0.3598206,0.2,4.4747,-4.8698,0
51,196.0564703,3.0067167,-0.3849962,0.2,4.5225,-4.9401,0
52,157.4828626,3.389195,-0.391515,0.2,3.9191,-4.3503,0
53,72.7907469,3.6706554,-1.0987898,0.1,4.342,-5.1193,0
54,182.6306309,3.1289788,-0.4639112,0.1,4.7342,-6.2674,0
55,196.0564703,3.0067167,-0.3849962,0.2,4.5225,-4.9401,0
56,281.3413276,3.5169583,-0.3336282,0.2,4.6135,-5.7613,0
57,765.2907525,4.2237511,-0.1897471,0.1,4.2496,-4.8061,0
58,765.2907525,4.2237511,-0.1897471,0.1,4.2496,-4.8061,0
59,94.5446522,3.4203411,-0.818759,0.2,4.4618,-4.8786,0
60,196.0564703,3.0067167,-0.3849962,0.2,4.5225,-4.9401,0
61,182.6306309,3.1289788,-0.4639112,0.1,4.7342,-6.2674,0
62,94.5446522,3.4203411,-0.818759,0.2,4.4618,-4.8786,0
63,184.0856396,3.4953524,-0.4621154,0.2,4.571,-6.0922,0
64,470.0617193,3.7889264,-0.2512382,0.1,4.5577,-4.9595,0
65,196.0564703,3.0067167,-0.3849962,0.2,4.5225,-4.9401,0
66,190.9797059,3.6927888,-0.5273047,0.1,4.9396,-8.1838,0
67,215.0009406,3.1420401,-0.3906735,0.1,4.6106,-5.438,0
68,170.1330787,3.2781587,-0.4874421,0.2,4.5463,-5.2287,0
69,755.1038099,4.3949642,-0.2177883,0.1,4.3383,-4.5018,1
70,293.5715132,3.522619,-0.3512225,0.1,4.582,-5.0903,0
71,190.9797059,3.6927888,-0.5273047,0.3,4.9396,-8.1838,0
72,484.7529797,3.9393329,-0.2599883,0.1,4.4207,-5.1435,0
73,778.9356784,4.2075645,-0.187342,0.1,4.3734,-5.3135,0
74,91.3527662,6.9960527,-1.2293767,0.2,4.5959,-6.4497,0
75,91.3527662,6.9960527,-1.2293767,0.2,4.5959,-6.4497,0
