species_index,mort_bkgd_intercept,mort_bkgd_dbh
1,5.5876999,-0.005348
2,9.6942997,-0.0127328
3,5.5876999,-0.005348
4,5.5876999,-0.005348
5,5.5876999,-0.005348
6,9.6942997,-0.0127328
7,5.5876999,-0.005348
8,5.9617,-0.0340128
9,5.9617,-0.0340128
10,5.1676998,-0.0077681
11,5.9617,-0.0340128
12,5.9617,-0.0340128
13,5.1676998,-0.0077681
14,5.9617,-0.0340128
15,5.9617,-0.0340128
16,5.9617,-0.0340128
17,5.9617,-0.0340128
18,5.9617,-0.0340128
19,5.9617,-0.0340128
20,5.9617,-0.0340128
21,5.9617,-0.0340128
22,5.9617,-0.0340128
23,5.9617,-0.0340128
24,5.1676998,-0.0077681
25,5.9617,-0.0340128
26,5.1676998,-0.0077681
27,5.1676998,-0.0077681
28,5.9617,-0.0340128
29,5.1676998,-0.0077681
30,5.9617,-0.0340128
31,5.1676998,-0.0077681
32,5.9617,-0.0340128
33,5.1676998,-0.0077681
34,5.9617,-0.0340128
35,5.9617,-0.0340128
36,5.1676998,-0.0077681
37,5.1676998,-0.0077681
38,5.1676998,-0.0077681
39,5.1676998,-0.0077681
40,5.1676998,-0.0077681
41,5.9617,-0.0340128
42,5.1676998,-0.0077681
43,5.1676998,-0.0077681
44,5.1676998,-0.0077681
45,5.9617,-0.0340128
46,5.1676998,-0.0077681
47,5.9617,-0.0340128
48,5.9617,-0.0340128
49,5.9617,-0.0340128
50,5.9617,-0.0340128
51,5.9617,-0.0340128
52,5.9617,-0.0340128
53,5.9617,-0.0340128
54,5.9617,-0.0340128
55,5.9617,-0.0340128
56,5.9617,-0.0340128
57,5.9617,-0.0340128
58,5.9617,-0.0340128
59,5.9617,-0.0340128
60,5.9617,-0.0340128
61,5.9617,-0.0340128
62,5.9617,-0.0340128
63,5.9617,-0.0340128
64,5.9617,-0.0340128
65,5.9617,-0.0340128
66,5.9617,-0.0340128
67,5.9617,-0.0340128
68,5.9617,-0.0340128
69,5.1676998,-0.0077681
70,5.1676998,-0.0077681
71,5.9617,-0.0340128
72,5.9617,-0.0340128
73,5.9617,-0.0340128
74,5.9617,-0.0340128
75,5.9617,-0.0340128
76,5.9617,-0.0340128
77,5.1676998,-0.0077681
78,5.1676998,-0.0077681
79,5.9617,-0.0340128
80,5.5876999,-0.005348
81,5.9617,-0.0340128
82,5.9617,-0.0340128
83,5.1676998,-0.0077681
84,5.1676998,-0.0077681
85,5.9617,-0.0340128
86,5.1676998,-0.0077681
87,5.1676998,-0.0077681
88,5.1676998,-0.0077681
89,5.9617,-0.0340128
90,5.1676998,-0.0077681
91,5.1676998,-0.0077681
92,5.9617,-0.0340128
93,5.9617,-0.0340128
94,5.1676998,-0.0077681
95,5.1676998,-0.0077681
96,5.1676998,-0.0077681
