species_index,code_alpha,asite,bsite,sdi_max_default
1,RC,0.0,0.8,354.0
2,JU,0.0,0.8,354.0
3,SP,-5.1489,1.062,490.0
4,VP,0.0,1.25,499.0
5,LP,0.0,1.25,480.0
6,OS,0.0,1.25,354.0
7,WP,0.0,1.35,529.0
8,WN,0.0,1.19,283.0
9,BN,0.0,1.19,283.0
10,TL,0.0,1.15,430.0
11,TS,0.0,1.15,704.0
12,WT,0.0,1.15,726.0
13,BG,0.0,1.15,430.0
14,,0.0,1.08,302.0
15,SH,0.0,1.08,302.0
16,SL,0.0,1.08,302.0
17,MH,0.0,1.08,230.0
18,PH,0.0,1.08,276.0
19,HI,0.0,1.1,302.0
20,WH,0.0,1.1,301.0
21,BH,0.0,1.1,301.0
22,PE,0.0,1.1,338.0
23,BI,0.0,1.1,289.0
24,AB,18.19,0.7695,364.0
25,BA,-35.098,1.729,423.0
26,PA,-35.098,1.729,408.0
27,UA,-35.098,1.729,408.0
28,EC,0.0,1.3,648.0
29,RM,0.0,1.32,421.0
30,BE,0.0,1.32,344.0
31,SV,0.0,1.32,590.0
32,BC,0.0,1.25,384.0
33,AE,-26.067,1.51754,282.0
34,SG,-26.067,1.51754,339.0
35,HK,-26.067,1.51754,420.0
36,WE,-26.067,1.51754,263.0
37,EL,-26.067,1.51754,282.0
38,SI,-26.067,1.51754,282.0
39,RL,-26.067,1.51754,227.0
40,RE,-26.067,1.51754,282.0
41,YP,-7.01,1.203,478.0
42,BW,18.19,0.7695,526.0
43,SM,0.0,1.22,371.0
44,AS,-36.805,1.6748,414.0
45,WA,-36.805,1.6748,408.0
46,GA,-36.805,1.6748,414.0
47,WO,0.0,1.0,361.0
48,RO,-1.334,1.082,414.0
49,SK,-1.334,1.082,342.0
50,BO,-2.706,1.106,370.0
51,SO,1.097,1.063,315.0
52,BJ,0.0,0.96,326.0
53,CK,0.0,0.89,336.0
54,SW,0.0,0.89,361.0
55,BR,0.0,0.89,423.0
56,SN,0.0,0.89,417.0
57,PO,0.0,0.83,311.0
58,DO,0.0,0.83,311.0
59,CO,2.656,0.965,417.0
60,PN,0.0,1.2,455.0
61,CB,0.0,1.2,405.0
62,QI,0.0,1.2,370.0
63,OV,0.0,1.2,384.0
64,WK,0.0,1.2,365.0
65,NK,0.0,1.2,342.0
66,WL,0.0,1.2,315.0
67,QS,0.0,1.2,342.0
68,,0.0,1.35,492.0
69,SS,0.0,1.35,492.0
70,OB,0.0,1.35,371.0
71,CA,0.0,1.35,492.0
72,PS,0.0,1.35,147.0
73,HL,0.0,1.35,338.0
74,BP,3.543,1.2407,384.0
75,BT,3.543,1.2407,520.0
76,QA,3.543,1.2407,562.0
77,BK,0.0,1.2,343.0
78,,0.0,1.35,499.0
79,SY,0.0,1.35,499.0
80,BY,0.0,1.35,692.0
81,RB,7.521,1.074,400.0
82,SU,7.521,1.074,430.0
83,WI,7.521,1.074,447.0
84,BL,7.521,1.074,447.0
85,OH,0.0,0.8,257.0
86,AH,0.0,0.8,375.0
87,RD,0.0,0.8,422.0
88,DW,0.0,0.8,257.0
89,HT,0.0,0.8,463.0
90,KC,0.0,0.9,343.0
91,OO,0.0,0.9,404.0
92,CT,0.0,0.9,415.0
93,MV,0.0,0.9,492.0
94,MB,0.0,0.9,277.0
95,HH,0.0,0.9,304.0
96,SD,0.0,0.9,164.0
