species_index,code_alpha,code_fia,code_plants,estab_min_ht,estab_hht_max,dg_resid_sd,bark_intercept,bark_slope,varmrt_varadj,sdi_max_default,dbh_min
1,RC,068,JUVI,0.33,16.0,0.60928,0.0,0.95,0.2,354.0,5.0
2,JU,057,JUNIP,2.1,27.0,0.60928,0.0,0.95,0.7,354.0,5.0
3,SP,110,PIEC2,0.25,14.0,0.63787,0.0,0.93,0.3,490.0,5.0
4,VP,132,PIVI2,0.42,14.0,0.73192,0.0,0.93,0.3,499.0,5.0
5,LP,131,PITA,0.25,14.0,0.73192,0.0,0.93,0.3,480.0,5.0
6,OS,299,2TN,0.25,16.0,0.63965,0.0,0.91,0.3,354.0,5.0
7,WP,129,PIST,0.33,20.0,0.63965,0.0,0.91,0.5,529.0,5.0
8,WN,602,JUNI,0.33,20.0,0.74594,0.0,0.91,0.3,283.0,5.0
9,BN,601,JUCI,0.33,18.0,0.74594,0.0,0.91,0.3,283.0,5.0
10,TL,690,NYSSA,0.33,16.0,0.66815,0.0,0.95,0.3,430.0,5.0
11,TS,694,NYBI,3.59,20.0,0.66815,0.0,0.95,0.7,704.0,5.0
12,WT,691,NYAQ2,0.33,20.0,0.66815,0.0,0.95,0.3,726.0,5.0
13,BG,693,NYSY,0.33,16.0,0.66815,0.0,0.95,0.3,430.0,5.0
14,,,,0.33,14.0,0.64614,0.0,0.93,0.5,302.0,5.0
15,SH,407,CAOV2,0.33,14.0,0.64614,0.0,0.93,0.5,302.0,5.0
16,SL,405,CALA21,0.33,14.0,0.64614,0.0,0.93,0.9,302.0,5.0
17,MH,409,CAAL27,0.33,18.0,0.64614,0.0,0.93,0.3,230.0,5.0
18,PH,403,CAGL8,0.33,14.0,0.68908,0.0,0.93,0.5,276.0,5.0
19,HI,400,CARYA,0.33,14.0,0.68908,0.0,0.93,0.5,302.0,5.0
20,WH,401,CAAQ2,0.33,14.0,0.68908,0.0,0.93,0.5,301.0,5.0
21,BH,402,CACO15,0.33,14.0,0.68908,0.0,0.93,0.5,301.0,5.0
22,PE,404,CAIL2,0.33,14.0,0.68908,0.0,0.93,0.5,338.0,5.0
23,BI,408,CATE9,0.33,14.0,0.68908,0.0,0.93,0.5,289.0,5.0
