pa,spc,fvsseq,sdimx,site,numbr,iflag
CAG112,DF,3,625,25,1,1
CAS311,AF,9,700,45,1,1
CCF211,DF,3,850,72,1,1
CCF212,GF,6,1016,71,1,1
CCF221,DF,3,840,64,1,1
CCF222,DF,3,670,69,1,1
CCS211,RC,5,775,96,1,1
CCS311,DF,3,815,63,1,1
CDF411,DF,3,229,58,1,1
CDG123,DF,3,331,38,1,1
CDG131,DF,3,530,58,1,1
CDG132,DF,3,550,69,1,1
CDG134,DF,3,430,61,1,1
CDG141,DF,3,442,55,1,1
CDG311,PP,10,270,79,1,1
CDG321,DF,3,649,67,1,1
CDG322,DF,3,235,39,1,1
CDG323,DF,3,188,58,1,1
CDS231,DF,3,676,80,1,1
CDS241,DF,3,720,76,1,1
CDS411,DF,3,630,59,1,1
CDS412,DF,3,450,57,1,1
CDS631,DF,3,232,45,1,1
CDS632,DF,3,400,54,1,1
CDS633,DF,3,475,81,1,1
CDS636,DF,3,580,80,1,1
CDS637,DF,3,325,67,1,1
CDS638,DF,3,425,77,1,1
CDS639,DF,3,550,65,1,1
CDS640,DF,3,555,68,1,1
CDS653,DF,3,460,37,1,1
CDS654,DF,3,375,51,1,1
CDS655,DF,3,370,40,1,1
CDS661,DF,3,767,84,1,1
CDS662,DF,3,1118,51,1,1
CDS673,DF,3,525,50,1,1
CDS674,DF,3,305,62,1,1
CDS675,DF,3,370,58,1,1
CDS715,DF,3,470,63,1,1
CDS716,DF,3,600,60,1,1
CDS811,DF,3,397,51,1,1
CDS813,WL,2,600,66,1,1
CDS814,DF,3,585,66,1,1
CDS831,DF,3,362,60,1,1
CDS832,DF,3,530,53,1,1
CDS833,DF,3,265,48,1,1
CEF111,AF,9,905,54,1,1
CEF211,AF,9,685,80,1,1
CEF222,ES,8,700,90,1,1
CEF421,AF,9,650,87,1,1
CEF422,AF,9,745,87,1,1
CEF423,AF,9,675,75,1,1
CEF424,AF,9,880,65,1,1
CEG121,AF,9,785,65,1,1
CEG310,AF,9,549,73,1,1
CEG311,AF,9,655,77,1,1
CEM211,ES,8,535,72,1,1
CES111,AF,9,381,90,1,1
CES113,ES,8,820,111,1,1
CES210,AF,9,790,56,1,1
CES211,AF,9,790,52,1,1
CES213,AF,9,665,60,1,1
CES312,AF,9,511,102,1,1
CES313,AF,9,700,76,1,1
CES342,DF,3,810,73,1,1
CES412,AF,9,780,63,1,1
CES413,ES,8,670,62,1,1
CES422,LP,7,620,94,1,1
CES423,AF,9,785,90,1,1
CES424,AF,9,785,51,1,1
CES425,AF,9,720,65,1,1
CES426,DF,3,720,69,1,1
CFF162,SF,4,1234,143,1,1
CFF254,SF,4,935,112,1,1
CFS232,SF,4,872,104,1,1
CFS233,SF,4,1070,79,1,1
CFS234,SF,4,840,62,1,1
CFS542,SF,4,915,84,1,1
CFS553,SF,4,646,45,1,1
CFS556,AF,9,940,40,1,1
CFS558,DF,3,776,65,1,1
CFS621,SF,4,550,104,1,1
CHC311,GF,6,798,81,1,1
CHF223,DF,3,675,73,1,1
CHF311,DF,3,835,69,1,1
CHF312,DF,3,775,75,1,1
CHF313,DF,3,1253,85,1,1
CHF422,DF,3,900,83,1,1
CHF521,ES,8,830,90,1,1
CHS142,DF,3,810,82,1,1
CHS143,DF,3,855,74,1,1
CHS144,DF,3,705,52,1,1
CHS225,DF,3,565,87,1,1
CHS226,DF,3,720,86,1,1
CHS227,GF,6,630,86,1,1
CHS411,ES,8,1129,103,1,1
CHS711,DF,3,765,71,1,1
CLS521,LP,7,530,96,1,1
CMF131,OT,11,775,23,1,1
CMG221,OT,11,544,24,1,1
CMS121,OT,11,650,23,1,1
CMS122,SF,4,940,79,1,1
CMS256,SF,4,742,94,1,1
CMS257,SF,4,1115,102,1,1
CMS258,OT,11,1132,28,1,1
CMS259,OT,11,885,20,1,1
CMS354,AF,9,780,53,1,1
CMS355,OT,11,541,26,1,1
CMS356,OT,11,935,20,1,1
CPG141,PP,10,200,81,1,1
CPG231,PP,10,420,49,1,1
CPH211,PP,10,328,65,1,1
CPH212,PP,10,342,63,1,1
CPS241,PP,10,210,75,1,1
CWC511,GF,6,972,90,1,1
CWF321,GF,6,709,83,1,1
CWF444,GF,6,785,72,1,1
CWF521,GF,6,810,91,1,1
CWF522,GF,6,710,100,1,1
CWF523,GF,6,955,90,1,1
CWF524,GF,6,963,86,1,1
CWG121,GF,6,712,104,1,1
CWG122,GF,6,810,100,1,1
CWG123,GF,6,1769,112,1,1
CWG124,GF,6,635,85,1,1
CWG125,DF,3,750,58,1,1
CWS214,GF,6,996,86,1,1
CWS221,GF,6,776,100,1,1
CWS222,GF,6,745,103,1,1
CWS223,GF,6,455,108,1,1
CWS224,DF,3,650,69,1,1
CWS225,GF,6,845,77,1,1
CWS226,GF,6,745,85,1,1
CWS331,GF,6,695,90,1,1
CWS332,GF,6,870,108,1,1
CWS335,GF,6,655,74,1,1
CWS336,GF,6,580,76,1,1
CWS337,DF,3,360,70,1,1
CWS338,DF,3,575,49,1,1
CWS421,DF,3,575,79,1,1
CWS422,GF,6,1259,73,1,1
CWS531,GF,6,860,95,1,1
CWS532,GF,6,780,98,1,1
CWS533,DF,3,690,57,1,1
CWS534,GF,6,585,104,1,1
CWS535,GF,6,520,116,1,1
CWS536,GF,6,1377,116,1,1
CWS537,DF,3,650,64,1,1
CWS551,GF,6,740,109,1,1
CWS552,GF,6,695,100,1,1
CWS553,GF,6,1090,104,1,1
CWS554,DF,3,545,70,1,1
CWS821,DF,3,560,74,1,1
HQG111,LP,7,522,84,1,1
HQS211,WL,2,331,68,1,1
