forest_ifor,species_index,dbhclass,fc
1,1,1,84
1,1,2,76
1,1,3,76
1,1,4,76
1,1,5,76
1,2,1,86
1,2,2,86
1,2,3,86
1,2,4,86
1,2,5,87
1,3,1,76
1,3,2,82
1,3,3,82
1,3,4,82
1,3,5,82
1,4,1,87
1,4,2,87
1,4,3,86
1,4,4,84
1,4,5,80
1,5,1,75
1,5,2,82
1,5,3,82
1,5,4,82
1,5,5,82
1,6,1,76
1,6,2,72
1,6,3,72
1,6,4,72
1,6,5,72
1,7,1,76
1,7,2,68
1,7,3,68
1,7,4,68
1,7,5,68
1,8,1,77
1,8,2,77
1,8,3,77
1,8,4,77
1,8,5,77
1,9,1,84
1,9,2,84
1,9,3,82
1,9,4,80
1,9,5,75
1,10,1,79
1,10,2,79
1,10,3,82
1,10,4,83
1,10,5,82
1,11,1,78
1,11,2,74
1,11,3,74
1,11,4,74
1,11,5,74
1,12,1,72
1,12,2,72
1,12,3,72
1,12,4,72
1,12,5,72
1,13,1,60
1,13,2,60
1,13,3,60
1,13,4,60
1,13,5,60
1,14,1,82
1,14,2,82
1,14,3,82
1,14,4,82
1,14,5,82
1,15,1,78
1,15,2,78
1,15,3,78
1,15,4,78
1,15,5,78
1,16,1,76
1,16,2,72
1,16,3,72
1,16,4,72
1,16,5,72
1,17,1,75
1,17,2,75
1,17,3,75
1,17,4,74
1,17,5,74
1,18,1,75
1,18,2,75
1,18,3,73
1,18,4,70
1,18,5,70
1,19,1,60
1,19,2,60
1,19,3,60
1,19,4,60
1,19,5,60
1,20,1,74
1,20,2,74
1,20,3,74
1,20,4,74
1,20,5,74
1,21,1,74
1,21,2,74
1,21,3,74
1,21,4,74
1,21,5,74
1,22,1,74
1,22,2,74
1,22,3,75
1,22,4,75
1,22,5,75
1,23,1,70
1,23,2,70
1,23,3,70
1,23,4,70
1,23,5,70
1,24,1,75
1,24,2,75
1,24,3,75
1,24,4,75
1,24,5,75
1,25,1,70
1,25,2,70
1,25,3,70
1,25,4,70
1,25,5,70
1,26,1,75
1,26,2,75
1,26,3,75
1,26,4,75
1,26,5,75
1,27,1,74
1,27,2,74
1,27,3,74
1,27,4,74
1,27,5,74
1,28,1,70
1,28,2,70
1,28,3,70
1,28,4,70
1,28,5,70
1,29,1,74
1,29,2,74
1,29,3,75
1,29,4,75
1,29,5,75
1,30,1,75
1,30,2,75
1,30,3,75
1,30,4,75
1,30,5,75
1,31,1,72
1,31,2,72
1,31,3,72
1,31,4,72
1,31,5,72
1,32,1,75
1,32,2,75
1,32,3,75
1,32,4,75
1,32,5,75
2,1,1,78
2,1,2,80
2,1,3,80
2,1,4,82
2,1,5,80
2,2,1,78
2,2,2,78
2,2,3,78
2,2,4,73
2,2,5,73
2,3,1,72
2,3,2,72
2,3,3,73
2,3,4,75
2,3,5,75
2,4,1,82
2,4,2,82
2,4,3,82
2,4,4,84
2,4,5,84
2,5,1,75
2,5,2,75
2,5,3,72
2,5,4,68
2,5,5,61
2,6,1,76
2,6,2,78
2,6,3,77
2,6,4,76
2,6,5,76
2,7,1,85
2,7,2,85
2,7,3,85
2,7,4,85
2,7,5,85
2,8,1,82
2,8,2,82
2,8,3,83
2,8,4,86
2,8,5,86
2,9,1,84
2,9,2,84
2,9,3,85
2,9,4,85
2,9,5,85
2,10,1,78
2,10,2,80
2,10,3,81
2,10,4,82
2,10,5,84
2,11,1,87
2,11,2,87
2,11,3,85
2,11,4,85
2,11,5,84
2,12,1,75
2,12,2,78
2,12,3,79
2,12,4,79
2,12,5,78
2,13,1,56
2,13,2,60
2,13,3,60
2,13,4,60
2,13,5,60
2,14,1,82
2,14,2,82
2,14,3,82
2,14,4,82
2,14,5,82
2,15,1,78
2,15,2,78
2,15,3,78
2,15,4,78
2,15,5,78
2,16,1,76
2,16,2,78
2,16,3,77
2,16,4,76
2,16,5,76
2,17,1,75
2,17,2,75
2,17,3,75
2,17,4,74
2,17,5,74
2,18,1,75
2,18,2,75
2,18,3,73
2,18,4,70
2,18,5,70
2,19,1,60
2,19,2,60
2,19,3,60
2,19,4,60
2,19,5,60
2,20,1,74
2,20,2,74
2,20,3,74
2,20,4,74
2,20,5,74
2,21,1,74
2,21,2,74
2,21,3,74
2,21,4,74
2,21,5,74
2,22,1,74
2,22,2,74
2,22,3,75
2,22,4,75
2,22,5,75
2,23,1,70
2,23,2,70
2,23,3,70
2,23,4,70
2,23,5,70
2,24,1,75
2,24,2,75
2,24,3,75
2,24,4,75
2,24,5,75
2,25,1,70
2,25,2,70
2,25,3,70
2,25,4,70
2,25,5,70
2,26,1,75
2,26,2,75
2,26,3,75
2,26,4,75
2,26,5,75
2,27,1,74
2,27,2,74
2,27,3,74
2,27,4,74
2,27,5,74
2,28,1,70
2,28,2,70
2,28,3,70
2,28,4,70
2,28,5,70
2,29,1,74
2,29,2,74
2,29,3,75
2,29,4,75
2,29,5,75
2,30,1,75
2,30,2,75
2,30,3,75
2,30,4,75
2,30,5,75
2,31,1,75
2,31,2,78
2,31,3,79
2,31,4,79
2,31,5,78
2,32,1,75
2,32,2,75
2,32,3,75
2,32,4,75
2,32,5,75
3,1,1,83
3,1,2,84
3,1,3,84
3,1,4,85
3,1,5,84
3,2,1,77
3,2,2,78
3,2,3,79
3,2,4,80
3,2,5,80
3,3,1,75
3,3,2,76
3,3,3,75
3,3,4,76
3,3,5,73
3,4,1,85
3,4,2,86
3,4,3,84
3,4,4,86
3,4,5,86
3,5,1,69
3,5,2,70
3,5,3,70
3,5,4,68
3,5,5,70
3,6,1,78
3,6,2,79
3,6,3,79
3,6,4,79
3,6,5,80
3,7,1,82
3,7,2,82
3,7,3,82
3,7,4,82
3,7,5,82
3,8,1,79
3,8,2,80
3,8,3,80
3,8,4,82
3,8,5,82
3,9,1,76
3,9,2,77
3,9,3,78
3,9,4,76
3,9,5,77
3,10,1,77
3,10,2,78
3,10,3,81
3,10,4,81
3,10,5,80
3,11,1,87
3,11,2,87
3,11,3,85
3,11,4,85
3,11,5,84
3,12,1,82
3,12,2,82
3,12,3,82
3,12,4,80
3,12,5,80
3,13,1,56
3,13,2,60
3,13,3,60
3,13,4,60
3,13,5,60
3,14,1,82
3,14,2,82
3,14,3,82
3,14,4,82
3,14,5,82
3,15,1,78
3,15,2,78
3,15,3,78
3,15,4,78
3,15,5,78
3,16,1,78
3,16,2,79
3,16,3,79
3,16,4,79
3,16,5,80
3,17,1,75
3,17,2,75
3,17,3,75
3,17,4,74
3,17,5,74
3,18,1,75
3,18,2,75
3,18,3,73
3,18,4,70
3,18,5,70
3,19,1,60
3,19,2,60
3,19,3,60
3,19,4,60
3,19,5,60
3,20,1,74
3,20,2,74
3,20,3,74
3,20,4,74
3,20,5,74
3,21,1,74
3,21,2,74
3,21,3,74
3,21,4,74
3,21,5,74
3,22,1,74
3,22,2,74
3,22,3,75
3,22,4,75
3,22,5,75
3,23,1,70
3,23,2,70
3,23,3,70
3,23,4,70
3,23,5,70
3,24,1,75
3,24,2,75
3,24,3,75
3,24,4,75
3,24,5,75
3,25,1,70
3,25,2,70
3,25,3,70
3,25,4,70
3,25,5,70
3,26,1,75
3,26,2,75
3,26,3,75
3,26,4,75
3,26,5,75
3,27,1,74
3,27,2,74
3,27,3,74
3,27,4,74
3,27,5,74
3,28,1,70
3,28,2,70
3,28,3,70
3,28,4,70
3,28,5,70
3,29,1,74
3,29,2,74
3,29,3,75
3,29,4,75
3,29,5,75
3,30,1,75
3,30,2,75
3,30,3,75
3,30,4,75
3,30,5,75
3,31,1,82
3,31,2,82
3,31,3,82
3,31,4,80
3,31,5,80
3,32,1,75
3,32,2,75
3,32,3,75
3,32,4,75
3,32,5,75
4,1,1,78
4,1,2,80
4,1,3,80
4,1,4,82
4,1,5,80
4,2,1,78
4,2,2,78
4,2,3,78
4,2,4,73
4,2,5,73
4,3,1,72
4,3,2,72
4,3,3,73
4,3,4,75
4,3,5,75
4,4,1,82
4,4,2,82
4,4,3,82
4,4,4,84
4,4,5,84
4,5,1,75
4,5,2,75
4,5,3,72
4,5,4,68
4,5,5,61
4,6,1,76
4,6,2,78
4,6,3,77
4,6,4,76
4,6,5,76
4,7,1,85
4,7,2,85
4,7,3,85
4,7,4,85
4,7,5,85
4,8,1,82
4,8,2,82
4,8,3,83
4,8,4,86
4,8,5,86
4,9,1,84
4,9,2,84
4,9,3,85
4,9,4,85
4,9,5,85
4,10,1,78
4,10,2,80
4,10,3,81
4,10,4,82
4,10,5,84
4,11,1,87
4,11,2,87
4,11,3,85
4,11,4,85
4,11,5,84
4,12,1,75
4,12,2,78
4,12,3,79
4,12,4,79
4,12,5,78
4,13,1,56
4,13,2,60
4,13,3,60
4,13,4,60
4,13,5,60
4,14,1,82
4,14,2,82
4,14,3,82
4,14,4,82
4,14,5,82
4,15,1,78
4,15,2,78
4,15,3,78
4,15,4,78
4,15,5,78
4,16,1,76
4,16,2,78
4,16,3,77
4,16,4,76
4,16,5,76
4,17,1,75
4,17,2,75
4,17,3,75
4,17,4,74
4,17,5,74
4,18,1,75
4,18,2,75
4,18,3,73
4,18,4,70
4,18,5,70
4,19,1,60
4,19,2,60
4,19,3,60
4,19,4,60
4,19,5,60
4,20,1,74
4,20,2,74
4,20,3,74
4,20,4,74
4,20,5,74
4,21,1,74
4,21,2,74
4,21,3,74
4,21,4,74
4,21,5,74
4,22,1,74
4,22,2,74
4,22,3,75
4,22,4,75
4,22,5,75
4,23,1,70
4,23,2,70
4,23,3,70
4,23,4,70
4,23,5,70
4,24,1,75
4,24,2,75
4,24,3,75
4,24,4,75
4,24,5,75
4,25,1,70
4,25,2,70
4,25,3,70
4,25,4,70
4,25,5,70
4,26,1,75
4,26,2,75
4,26,3,75
4,26,4,75
4,26,5,75
4,27,1,74
4,27,2,74
4,27,3,74
4,27,4,74
4,27,5,74
4,28,1,70
4,28,2,70
4,28,3,70
4,28,4,70
4,28,5,70
4,29,1,74
4,29,2,74
4,29,3,75
4,29,4,75
4,29,5,75
4,30,1,75
4,30,2,75
4,30,3,75
4,30,4,75
4,30,5,75
4,31,1,75
4,31,2,78
4,31,3,79
4,31,4,79
4,31,5,78
4,32,1,75
4,32,2,75
4,32,3,75
4,32,4,75
4,32,5,75
5,1,1,84
5,1,2,84
5,1,3,84
5,1,4,82
5,1,5,82
5,2,1,76
5,2,2,76
5,2,3,74
5,2,4,74
5,2,5,74
5,3,1,82
5,3,2,82
5,3,3,80
5,3,4,79
5,3,5,78
5,4,1,87
5,4,2,87
5,4,3,86
5,4,4,84
5,4,5,84
5,5,1,70
5,5,2,70
5,5,3,68
5,5,4,68
5,5,5,68
5,6,1,84
5,6,2,84
5,6,3,84
5,6,4,84
5,6,5,84
5,7,1,82
5,7,2,82
5,7,3,82
5,7,4,82
5,7,5,82
5,8,1,80
5,8,2,80
5,8,3,80
5,8,4,78
5,8,5,78
5,9,1,80
5,9,2,80
5,9,3,80
5,9,4,80
5,9,5,80
5,10,1,76
5,10,2,76
5,10,3,78
5,10,4,80
5,10,5,82
5,11,1,86
5,11,2,86
5,11,3,84
5,11,4,84
5,11,5,82
5,12,1,82
5,12,2,82
5,12,3,82
5,12,4,80
5,12,5,80
5,13,1,60
5,13,2,60
5,13,3,60
5,13,4,60
5,13,5,60
5,14,1,82
5,14,2,82
5,14,3,82
