forest_idx,species_index,p2,p3,p4
1,1,433.780700,6.331800,-0.498800
1,2,220.000000,5.000000,-0.605400
1,3,234.208000,6.301300,-0.641300
1,4,441.995900,6.538200,-0.478700
1,5,487.541500,5.444400,-0.380100
1,6,376.097800,5.163900,-0.431900
1,7,121.139200,12.662300,-1.298100
1,8,2118.671100,6.609400,-0.254700
1,9,66.695000,13.261500,-1.377400
1,10,324.446700,8.048400,-0.589200
1,11,341.903400,6.465800,-0.537900
1,12,224.620500,7.254900,-0.689000
1,13,127.169800,4.897700,-0.466800
1,14,139.072700,5.206200,-0.540900
1,15,328.144300,5.950100,-0.508800
1,16,376.097800,5.163900,-0.431900
1,17,119.798500,4.706700,-0.675100
1,18,126.107400,6.249900,-0.809100
1,19,60.600900,4.154300,-0.627700
1,20,220.977200,4.263900,-0.438600
1,21,179.070600,3.623800,-0.573000
1,22,88.183800,2.840400,-0.734300
1,23,88.450900,2.293500,-0.760200
1,24,10707.390600,8.467000,-0.186300
1,25,444.561800,3.920500,-0.239700
1,26,1709.722900,5.888700,-0.228600
1,27,178.644100,4.585200,-0.674600
1,28,55.000000,5.500000,-0.950000
1,29,73.334800,2.654800,-1.246000
1,30,149.586100,2.423100,-0.180000
1,31,34.833000,2.603000,-0.535200
1,32,34.833000,2.603000,-0.535200
2,1,12437.660100,8.120700,-0.175700
2,2,248.139300,4.850500,-0.583300
2,3,305.499700,4.788900,-0.434700
2,4,303.738000,5.851600,-0.547400
2,5,1246.883100,6.963300,-0.311300
2,6,727.811000,5.464800,-0.343500
2,7,130.533200,3.679700,-0.657300
2,8,342.931900,5.475700,-0.480500
2,9,188.783300,5.890800,-0.673200
2,10,1047.476800,6.076500,-0.292700
2,11,369.903400,6.703800,-0.542400
2,12,493.637600,6.016200,-0.376500
2,13,127.169800,4.897700,-0.466800
2,14,89.185200,4.700800,-0.704300
2,15,178.770000,9.113300,-0.913100
2,16,436.230900,5.568000,-0.429600
2,17,119.798500,4.706700,-0.675100
2,18,694.223300,5.913100,-0.348400
2,19,60.600900,4.154300,-0.627700
2,20,220.977200,4.263900,-0.438600
2,21,179.070600,3.623800,-0.573000
2,22,94.504800,4.065700,-0.959200
2,23,83.244000,3.598400,-0.956100
2,24,10707.390600,8.467000,-0.186300
2,25,444.561800,3.920500,-0.239700
2,26,184.165800,3.480100,-0.512700
2,27,178.644100,4.585200,-0.674600
2,28,55.000000,5.500000,-0.950000
2,29,73.334800,2.654800,-1.246000
2,30,55.000000,5.500000,-0.950000
2,31,34.833000,2.603000,-0.535200
2,32,34.833000,2.603000,-0.535200
3,1,254.526200,4.723400,-0.502900
3,2,170.851100,5.875900,-0.786500
3,3,318.246200,5.195200,-0.467900
3,4,356.155600,6.061500,-0.478300
3,5,307.797700,5.921700,-0.504000
3,6,436.230900,5.568000,-0.429600
3,7,100.636700,7.078100,-1.116300
3,8,233.812400,6.938000,-0.662000
3,9,166.011500,6.179900,-0.679200
3,10,1167.032500,6.229500,-0.279300
3,11,662.917000,5.798500,-0.366800
3,12,206.306000,6.732100,-0.626500
3,13,19.694300,25.088100,-2.367500
3,14,98.303500,4.721300,-0.661300
3,15,178.770000,9.113300,-0.913100
3,16,436.230900,5.568000,-0.429600
3,17,1442.519700,6.188000,-0.203700
3,18,126.107400,6.249900,-0.809100
3,19,60.600900,4.154300,-0.627700
3,20,220.977200,4.263900,-0.438600
3,21,179.070600,3.623800,-0.573000
3,22,94.504800,4.065700,-0.959200
3,23,88.450900,2.293500,-0.760200
3,24,10707.390600,8.467000,-0.186300
3,25,444.561800,3.920500,-0.239700
3,26,1507.728700,5.342800,-0.198200
3,27,178.644100,4.585200,-0.674600
3,28,55.000000,5.500000,-0.950000
3,29,73.334800,2.654800,-1.246000
3,30,55.000000,5.500000,-0.950000
3,31,34.833000,2.603000,-0.535200
3,32,34.833000,2.603000,-0.535200
4,1,12437.660100,8.120700,-0.175700
4,2,248.139300,4.850500,-0.583300
4,3,305.499700,4.788900,-0.434700
4,4,303.738000,5.851600,-0.547400
4,5,1246.883100,6.963300,-0.311300
4,6,727.811000,5.464800,-0.343500
4,7,130.533200,3.679700,-0.657300
4,8,342.931900,5.475700,-0.480500
4,9,188.783300,5.890800,-0.673200
4,10,1047.476800,6.076500,-0.292700
4,11,369.903400,6.703800,-0.542400
4,12,493.637600,6.016200,-0.376500
4,13,127.169800,4.897700,-0.466800
4,14,89.185200,4.700800,-0.704300
4,15,178.770000,9.113300,-0.913100
4,16,436.230900,5.568000,-0.429600
4,17,119.798500,4.706700,-0.675100
4,18,694.223300,5.913100,-0.348400
4,19,60.600900,4.154300,-0.627700
4,20,220.977200,4.263900,-0.438600
4,21,179.070600,3.623800,-0.573000
4,22,94.504800,4.065700,-0.959200
4,23,83.244000,3.598400,-0.956100
4,24,10707.390600,8.467000,-0.186300
4,25,444.561800,3.920500,-0.239700
4,26,184.165800,3.480100,-0.512700
4,27,178.644100,4.585200,-0.674600
4,28,55.000000,5.500000,-0.950000
4,29,73.334800,2.654800,-1.246000
4,30,55.000000,5.500000,-0.950000
4,31,34.833000,2.603000,-0.535200
4,32,34.833000,2.603000,-0.535200
5,1,1143.625400,6.191300,-0.309600
5,2,255.463800,5.557700,-0.605400
5,3,519.187200,5.318100,-0.394300
5,4,171.221900,9.949700,-0.972700
5,5,616.350300,5.762000,-0.363300
5,6,727.811000,5.464800,-0.343500
5,7,102.614600,10.143500,-1.287700
5,8,211.796200,6.701500,-0.673900
5,9,113.539000,9.004500,-0.990700
5,10,324.446700,8.048400,-0.589200
5,11,504.193500,6.363500,-0.465800
5,12,631.759800,5.849200,-0.338400
5,13,127.169800,4.897700,-0.466800
5,14,73.914700,3.963000,-0.827700
5,15,178.770000,9.113300,-0.913100
5,16,727.811000,5.464800,-0.343500
5,17,119.798500,4.706700,-0.675100
5,18,126.107400,6.249900,-0.809100
5,19,60.600900,4.154300,-0.627700
5,20,220.977200,4.263900,-0.438600
5,21,179.070600,3.623800,-0.573000
5,22,94.504800,4.065700,-0.959200
5,23,88.450900,2.293500,-0.760200
5,24,10707.390600,8.467000,-0.186300
5,25,444.561800,3.920500,-0.239700
5,26,1709.722900,5.888700,-0.228600
5,27,178.644100,4.585200,-0.674600
5,28,55.000000,5.500000,-0.950000
5,29,73.334800,2.654800,-1.246000
5,30,149.586100,2.423100,-0.180000
5,31,34.833000,2.603000,-0.535200
5,32,34.833000,2.603000,-0.535200
6,1,1143.625400,6.191300,-0.309600
6,2,255.463800,5.557700,-0.605400
6,3,519.187200,5.318100,-0.394300
6,4,171.221900,9.949700,-0.972700
6,5,616.350300,5.762000,-0.363300
6,6,727.811000,5.464800,-0.343500
6,7,102.614600,10.143500,-1.287700
6,8,211.796200,6.701500,-0.673900
6,9,113.539000,9.004500,-0.990700
6,10,324.446700,8.048400,-0.589200
6,11,504.193500,6.363500,-0.465800
6,12,631.759800,5.849200,-0.338400
6,13,127.169800,4.897700,-0.466800
6,14,73.914700,3.963000,-0.827700
6,15,178.770000,9.113300,-0.913100
6,16,727.811000,5.464800,-0.343500
6,17,119.798500,4.706700,-0.675100
6,18,126.107400,6.249900,-0.809100
6,19,60.600900,4.154300,-0.627700
6,20,220.977200,4.263900,-0.438600
6,21,179.070600,3.623800,-0.573000
6,22,94.504800,4.065700,-0.959200
6,23,88.450900,2.293500,-0.760200
6,24,10707.390600,8.467000,-0.186300
6,25,444.561800,3.920500,-0.239700
