index,pa
1,CAG112
2,CAS311
3,CCF211
4,CCF212
5,CCF221
6,CCF222
7,CCS211
8,CCS311
9,CDF411
10,CDG123
11,CDG131
12,CDG132
13,CDG134
14,CDG141
15,CDG311
16,CDG321
17,CDG322
18,CDG323
19,CDS231
20,CDS241
21,CDS411
22,CDS412
23,CDS631
24,CDS632
25,CDS633
26,CDS636
27,CDS637
28,CDS638
29,CDS639
30,CDS640
31,CDS653
32,CDS654
33,CDS655
34,CDS661
35,CDS662
36,CDS673
37,CDS674
38,CDS675
39,CDS715
40,CDS716
41,CDS811
42,CDS813
43,CDS814
44,CDS831
45,CDS832
46,CDS833
47,CEF111
48,CEF211
49,CEF222
50,CEF421
51,CEF422
52,CEF423
53,CEF424
54,CEG121
55,CEG310
56,CEG311
57,CEM211
58,CES111
59,CES113
60,CES210
61,CES211
62,CES213
63,CES312
64,CES313
65,CES342
66,CES412
67,CES413
68,CES422
69,CES423
70,CES424
71,CES425
72,CES426
73,CFF162
74,CFF254
75,CFS232
76,CFS233
77,CFS234
78,CFS542
79,CFS553
80,CFS556
81,CFS558
82,CFS621
83,CHC311
84,CHF223
85,CHF311
86,CHF312
87,CHF313
88,CHF422
89,CHF521
90,CHS142
91,CHS143
92,CHS144
93,CHS225
94,CHS226
95,CHS227
96,CHS411
97,CHS711
98,CLS521
99,CMF131
100,CMG221
101,CMS121
102,CMS122
103,CMS256
104,CMS257
105,CMS258
106,CMS259
107,CMS354
108,CMS355
109,CMS356
110,CPG141
111,CPG231
112,CPH211
113,CPH212
114,CPS241
115,CWC511
116,CWF321
117,CWF444
118,CWF521
119,CWF522
120,CWF523
121,CWF524
122,CWG121
123,CWG122
124,CWG123
125,CWG124
126,CWG125
127,CWS214
128,CWS221
129,CWS222
130,CWS223
131,CWS224
132,CWS225
133,CWS226
134,CWS331
135,CWS332
136,CWS335
137,CWS336
138,CWS337
139,CWS338
140,CWS421
141,CWS422
142,CWS531
143,CWS532
144,CWS533
145,CWS534
146,CWS535
147,CWS536
148,CWS537
149,CWS551
150,CWS552
151,CWS553
152,CWS554
153,CWS821
154,HQG111
155,HQS211
