species_index,code_alpha,code_fia,code_plants,bark1,bark2,bark_imap,dg_resid_sd,ht1,ht2,sichg_a,sichg_b,sichg_refage,sichg_refloc,site_redux,crown_imap,is_sprouting
1,WP,119,PIMO3,0.964,1.0,1,0.5086,5.035,-10.674,18.43316,-0.13399,50,1,1.0,1,0
2,WL,073,LAOC,0.851,1.0,1,0.3340,4.961,-8.247,8.11680,-0.05661,50,0,1.0,2,0
3,DF,202,PSME,0.844,1.0,1,0.3420,4.920,-9.003,8.50000,-0.05000,50,0,1.0,3,0
4,SF,011,ABAM,0.903,1.0,1,0.4320,5.032,-10.482,9.01840,-0.05700,50,0,1.0,4,0
5,RC,242,THPL,0.950,1.0,1,0.5500,4.896,-8.391,24.62857,-0.20465,100,1,1.0,5,0
6,GF,017,ABGR,0.903,1.0,1,0.3890,5.032,-10.482,9.01840,-0.05700,50,0,1.0,6,0
7,LP,108,PICO,0.963,1.0,1,0.3060,4.854,-8.296,7.78447,-0.05013,100,1,1.0,7,0
8,ES,093,PIEN,0.956,1.0,1,0.3970,4.948,-9.041,33.72545,-0.274509,100,0,1.0,8,0
9,AF,019,ABLA,0.903,1.0,1,0.4690,4.834,-9.042,13.88200,-0.06590,100,0,1.0,9,0
10,PP,122,PIPO,0.889,1.0,1,0.3660,4.884,-9.741,8.00000,-0.04286,100,0,1.0,10,0
11,WH,263,TSHE,0.93371,1.0,1,0.4104,5.298,-13.240,6.15767,-0.03596,50,0,1.0,11,0
12,MH,264,TSME,0.934,1.0,1,0.3220,3.9715,-6.7145,45.24969,-1.28885,100,0,1.0,12,0
13,PY,231,TABR2,0.93329,1.0,1,0.4842,5.188,-13.801,11.56252,-0.05586,100,0,0.25,13,0
14,WB,101,PIAL,0.93329,1.0,1,0.4842,5.188,-13.801,11.56252,-0.05586,100,0,0.70,14,0
15,NF,022,ABPR,0.904973,1.0,1,0.4275,5.327,-15.450,7.938059,-0.02873,100,0,1.0,15,0
16,WF,015,ABCO,0.903,1.0,1,0.3890,5.032,-10.482,9.01840,-0.05700,50,0,1.0,16,0
17,LL,072,LALY,0.9,1.0,1,0.4842,5.188,-13.801,8.11668,-0.05661,50,0,1.0,17,0
18,YC,042,CANO9,0.837291,1.0,1,0.3931,5.143,-13.497,11.56252,-0.05586,100,0,1.0,18,0
19,WJ,064,JUOC,0.94967,1.0,1,0.5357,5.152,-13.576,11.56252,-0.05586,100,0,0.23,19,0
20,BM,312,ACMA3,0.0836,0.94782,2,0.5107,4.700,-6.326,11.56252,-0.05586,100,0,0.75,20,1
21,VN,324,ACCI,0.0836,0.94782,2,0.5107,4.700,-6.326,11.56252,-0.05586,100,0,0.75,21,1
22,RA,351,ALRU2,0.075256,0.94967,2,0.7487,4.886,-8.792,3.28241,-0.02987,20,1,1.0,22,1
23,PB,375,BEPA,0.0836,0.94782,2,0.5357,5.152,-13.576,11.56252,-0.05586,100,0,1.5,23,1
24,GC,431,CHCHC4,0.15565,0.90182,2,0.5357,5.152,-13.576,11.56252,-0.05586,100,0,0.70,24,1
25,DG,492,CONU4,0.075256,0.94967,2,0.5357,5.152,-13.576,11.56252,-0.05586,100,0,0.60,25,1
26,AS,746,POTR5,0.075256,0.94967,2,0.5357,5.152,-13.576,11.56252,-0.05586,100,0,0.75,26,1
27,CW,747,POBAT,0.075256,0.94967,2,0.5357,5.152,-13.576,11.56252,-0.05586,100,0,0.85,27,1
28,WO,815,QUGA4,0.8558,1.0213,1,0.236,5.152,-13.576,4.94166,-0.02419,50,0,1.0,28,1
29,PL,760,PRUNU,0.075256,0.94967,2,0.5357,5.152,-13.576,11.56252,-0.05586,100,0,0.50,29,1
30,WI,920,SALIX,0.075256,0.94967,2,0.5357,5.152,-13.576,11.56252,-0.05586,100,0,0.50,30,1
31,OS,299,2TN,0.934,1.0,1,0.3220,3.9715,-6.7145,45.24960,-1.28885,100,0,1.0,31,0
32,OH,998,2TB,0.075256,0.94967,2,0.5357,5.152,-13.576,11.56252,-0.05586,100,0,0.75,32,0
