code_alpha,code_fia,code_plants,target_ec,target_ec2,target_ec3,target_ec4
,119,,WP,WP,WP,WP
,073,,WL,WL,WL,WL
,202,,DF,DF,DF,DF
,011,,SF,SF,SF,SF
,242,,RC,RC,RC,RC
,017,,GF,GF,GF,GF
,108,,LP,LP,LP,LP
,093,,ES,ES,ES,ES
,019,,AF,AF,AF,AF
,122,,PP,PP,PP,PP
,263,,WH,WH,WH,WH
,264,,MH,MH,MH,MH
,231,,PY,PY,PY,PY
,101,,WB,WB,WB,WB
,022,,NF,NF,NF,NF
,015,,WF,WF,WF,WF
,072,,LL,LL,LL,LL
,042,,YC,YC,YC,YC
,064,,WJ,WJ,WJ,WJ
,312,,BM,BM,BM,BM
,324,,VN,VN,VN,VN
,351,,RA,RA,RA,RA
,375,,PB,PB,PB,PB
,431,,GC,GC,GC,GC
,492,,DG,DG,DG,DG
,746,,AS,AS,AS,AS
,747,,CW,CW,CW,CW
,815,,WO,WO,WO,WO
,760,,PL,PL,PL,PL
,920,,WI,WI,WI,WI
,299,,OS,OS,OS,OS
,998,,OH,OH,OH,OH
