species_index,code_alpha,dgld,dgcr,dgcrsq,dgbal,dgdbal,dglccf,dgpcc1,dgpcc2,dgpccf,dgcasp,dgsasp,dgslop,dgslsq,dgel,dgel2
1,WB,0.8011,1.02878,-0.45448,0.00064,-0.00328,-0.25717,0.0,0.0,0.0,0.0027,-0.01606,-0.20011,0.0,-0.00565,0.0
2,WL,0.8011,1.02878,-0.45448,0.00064,-0.00328,-0.25717,0.0,0.0,0.0,0.0027,-0.01606,-0.20011,0.0,-0.00565,0.0
3,DF,0.82617,1.41015,-0.55362,0.00216,-0.00889,-0.11974,-0.00211,-0.00232,3e-06,-0.0429,0.06124,-0.395,0.0,-0.00196,0.0
4,LM,0.213947,1.523464,0.0,-0.358634,0.0,0.0,0.0,0.0,0.0,-0.609774,-0.01752,-2.05706,2.113263,0.0,0.0
5,LL,0.8624,0.52044,0.86236,0.0,-0.5127,0.0,0.0,0.0,0.0,-0.12473,-0.06862,0.3007,-0.62224,0.06313,-0.000676
6,RM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,LP,0.75719,1.43611,-0.44926,0.00556,-0.01282,-0.12332,-0.0012,-0.00145,2e-06,-0.02355,-0.00393,-0.21964,0.0,-0.01234,0.0
8,ES,0.83323,1.1004,0.0,0.00443,-0.01281,0.0,-0.00155,-0.00123,2e-06,-0.15989,0.03982,0.06898,-0.34251,0.08677,-0.00072
9,AF,0.89571,1.30934,-0.17348,0.0035,-0.00764,0.0,-0.00164,-0.00232,-3e-06,-0.20925,0.01463,-0.0335,-0.11164,-0.00885,-2e-05
10,PP,0.58932,1.94874,-0.88761,0.0071,-0.02316,0.0,-0.00297,-0.00254,5e-06,0.06497,0.20328,-0.95238,0.61813,-0.07453,0.0006
11,GA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,AS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,CW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,BA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,PW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,NC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,PB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,OS,0.8011,1.02878,-0.45448,0.00064,-0.00328,-0.25717,0.0,0.0,0.0,0.0027,-0.01606,-0.20011,0.0,-0.00565,0.0
19,OH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
