species_index,code_alpha,c1,c2,c3,c4
1,WB,0.0,0.0,0.0,0.0
2,WL,0.0,0.0,0.0,0.0
3,DF,-0.000251,-0.000412,0.0,0.0
4,LM,-0.0006538,0.0,0.0,0.0
5,LL,-0.000283,0.0,0.0,0.0
6,RM,0.0,0.0,0.0,0.0
7,LP,-0.000402,0.0,0.0,0.0
8,ES,-3.4e-05,0.0,0.0,0.0
9,AF,0.0,0.0,0.0,0.0
10,PP,-0.000248,-0.000991,0.0,0.0
11,GA,0.0,0.0,0.0,0.0
12,AS,0.0,0.0,0.0,0.0
13,CW,0.0,0.0,0.0,0.0
14,BA,0.0,0.0,0.0,0.0
15,PW,0.0,0.0,0.0,0.0
16,NC,0.0,0.0,0.0,0.0
17,PB,0.0,0.0,0.0,0.0
18,OS,0.0,0.0,0.0,0.0
19,OH,0.0,0.0,0.0,0.0
