species_index,code_alpha,c1,c2,c3,c4,c5,c6
1,WB,1.5675,0.0,0.0,0.0,0.0,0.0
2,WL,1.5675,0.0,0.0,0.0,0.0,0.0
3,DF,1.10349,1.55392,1.04495,1.27679,0.0,0.0
4,LM,1.568742,0.0,0.0,0.0,0.0,0.0
5,LL,0.0,0.0,0.0,0.0,0.0,0.0
6,RM,0.0,0.0,0.0,0.0,0.0,0.0
7,LP,1.75497,1.89439,1.63227,1.65474,1.51043,0.0
8,ES,-2.45844,-2.14138,-2.55288,-2.4265,0.0,0.0
9,AF,0.4611,-0.16517,0.35319,0.64719,0.4014,0.33757
10,PP,3.57069,3.45044,3.67551,0.0,0.0,0.0
11,GA,0.0,0.0,0.0,0.0,0.0,0.0
12,AS,0.0,0.0,0.0,0.0,0.0,0.0
13,CW,0.0,0.0,0.0,0.0,0.0,0.0
14,BA,0.0,0.0,0.0,0.0,0.0,0.0
15,PW,0.0,0.0,0.0,0.0,0.0,0.0
16,NC,0.0,0.0,0.0,0.0,0.0,0.0
17,PB,0.0,0.0,0.0,0.0,0.0,0.0
18,OS,1.5675,0.0,0.0,0.0,0.0,0.0
19,OH,0.0,0.0,0.0,0.0,0.0,0.0
