species_index,code_alpha,c1,c2,c3,c4,c5,c6,c7,c8
1,WB,0.0,-0.20842,0.01545,0.29742,0.0,0.0,0.0,0.0
2,WL,0.0,-0.20842,0.01545,0.29742,0.0,0.0,0.0,0.0
3,DF,0.0,-0.2024,-0.0326,0.05559,-0.12847,-0.071,-0.3186,0.0
4,LM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,LL,-0.96389,-0.72415,-0.57308,-0.82218,-1.24093,-1.10746,0.0,0.0
6,RM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,LP,0.0,-0.06686,0.00921,-0.17011,-0.11806,-0.22504,0.06528,0.1434
8,ES,0.0,0.23303,-0.01746,0.11129,0.19065,0.40362,0.0,0.0
9,AF,0.0,0.12967,0.33768,0.2594,0.48657,0.0,0.0,0.0
10,PP,0.0,-0.19356,-0.07999,0.035,-0.1388,-1.04929,-0.32378,0.0
11,GA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,AS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,CW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,BA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,PW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,NC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,PB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,OS,0.0,-0.20842,0.01545,0.29742,0.0,0.0,0.0,0.0
19,OH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
