species_index,code_alpha,c1,c2,c3,c4,c5,c6,c7
1,WB,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2,WL,1.0,1.0,1.0,1.0,1.0,1.0,1.0
3,DF,1.0,3.0,2.0,1.0,3.0,2.0,3.0
4,LM,1.0,1.0,1.0,1.0,1.0,1.0,1.0
5,LL,1.0,1.0,1.0,1.0,1.0,1.0,1.0
6,RM,1.0,1.0,1.0,1.0,1.0,1.0,1.0
7,LP,1.0,1.0,1.0,1.0,1.0,1.0,2.0
8,ES,1.0,1.0,1.0,1.0,1.0,1.0,1.0
9,AF,1.0,1.0,1.0,1.0,1.0,1.0,1.0
10,PP,1.0,2.0,1.0,1.0,1.0,1.0,1.0
11,GA,1.0,1.0,1.0,1.0,1.0,1.0,1.0
12,AS,1.0,1.0,1.0,1.0,1.0,1.0,1.0
13,CW,1.0,1.0,1.0,1.0,1.0,1.0,1.0
14,BA,1.0,1.0,1.0,1.0,1.0,1.0,1.0
15,PW,1.0,1.0,1.0,1.0,1.0,1.0,1.0
16,NC,1.0,1.0,1.0,1.0,1.0,1.0,1.0
17,PB,1.0,1.0,1.0,1.0,1.0,1.0,1.0
18,OS,1.0,1.0,1.0,1.0,1.0,1.0,1.0
19,OH,1.0,1.0,1.0,1.0,1.0,1.0,1.0
