species_index,code_alpha,c1,c2,c3,c4,c5,c6
1,WB,256.0,0.0,0.0,0.0,0.0,0.0
2,WL,306.0,0.0,0.0,0.0,0.0,0.0
3,DF,697.0,0.0,0.0,0.0,0.0,0.0
4,LM,27.0,70.0,123.0,101.0,33.0,0.0
5,LL,988.0,177.0,40.0,331.0,332.0,2380.0
6,RM,1000.0,0.0,0.0,0.0,0.0,0.0
7,LP,3208.0,0.0,0.0,0.0,0.0,0.0
8,ES,0.0,0.0,0.0,0.0,0.0,0.0
9,AF,1198.0,0.0,0.0,0.0,0.0,0.0
10,PP,7837.0,0.0,0.0,0.0,0.0,0.0
11,GA,1000.0,0.0,0.0,0.0,0.0,0.0
12,AS,184.0,429.0,356.0,162.0,74.0,0.0
13,CW,1000.0,0.0,0.0,0.0,0.0,0.0
14,BA,1000.0,0.0,0.0,0.0,0.0,0.0
15,PW,1000.0,0.0,0.0,0.0,0.0,0.0
16,NC,1000.0,0.0,0.0,0.0,0.0,0.0
17,PB,184.0,429.0,356.0,162.0,74.0,0.0
18,OS,22.0,0.0,0.0,0.0,0.0,0.0
19,OH,1000.0,0.0,0.0,0.0,0.0,0.0
