species_index,ls_spi,v2t,tfall_cls,leaf_life,dkr_cls,snag_cls,bark_eqnum,snag_decayx,snag_fallx,snag_alldwn,biogrp,bio_group
1,14,22.5,15,7,4,2,1,1.1,0.9,110,4,4
2,8,29.9,15,1,3,2,1,1.1,0.9,110,1,1
3,3,28.1,15,5,3,2,1,1.1,0.9,110,2,2
4,11,22.5,15,3,4,2,1,1.0,1.0,100,4,4
5,1,19.3,15,1,4,2,1,1.0,1.0,100,1,1
6,16,34.9,15,4,2,2,1,1.0,1.0,100,10,10
7,11,23.7,15,3,4,2,1,0.9,1.1,90,4,4
8,18,20.6,10,6,4,2,1,0.9,1.1,90,5,5
9,1,19.3,15,7,4,2,1,0.9,1.1,90,3,3
10,13,23.7,10,4,4,2,1,1.0,1.0,100,4,4
11,16,19.3,15,1,4,1,1,1.0,1.0,100,6,6
12,41,21.8,15,1,4,1,1,1.0,1.0,100,6,6
13,17,19.3,15,1,4,1,1,1.0,1.0,100,6,6
14,42,19.3,15,1,4,1,1,1.0,1.0,100,6,6
15,17,19.3,15,1,4,1,1,1.0,1.0,100,6,6
16,17,19.3,15,1,4,1,1,1.0,1.0,100,6,6
17,43,29.9,15,1,4,1,1,1.0,1.0,100,7,7
18,16,34.9,20,4,2,2,1,1.0,1.0,100,10,10
19,17,19.3,15,1,4,1,1,1.0,1.0,100,6,6
