iemtyp,jtype_code,itype
1,10,1
2,65,1
3,70,1
4,74,1
5,79,1
6,91,1
7,92,1
8,93,1
9,95,1
10,100,1
11,110,1
12,120,1
13,130,1
14,140,1
15,141,1
16,161,2
17,170,2
18,171,2
19,172,2
20,180,2
21,181,2
22,182,2
23,200,4
24,210,1
25,220,1
26,221,1
27,230,1
28,250,3
29,260,4
30,261,4
31,262,4
32,280,5
33,281,5
34,282,5
35,283,5
36,290,6
37,291,6
38,292,6
39,293,6
40,310,7
41,311,7
42,312,7
43,313,7
44,315,7
45,320,8
46,321,8
47,322,8
48,323,8
49,330,9
50,331,9
51,332,9
52,340,8
53,350,8
54,360,9
55,370,7
56,371,7
57,400,10
58,410,10
59,430,4
60,440,11
61,450,20
62,460,29
63,461,29
64,470,11
65,480,11
66,591,12
67,610,18
68,620,19
69,624,19
70,625,19
71,630,21
72,632,21
73,640,20
74,641,20
75,642,20
76,650,20
77,651,20
78,653,20
79,654,20
80,655,20
81,660,21
82,661,21
83,662,21
84,663,21
85,670,22
86,674,22
87,690,24
88,691,24
89,692,24
90,700,27
91,710,25
92,720,26
93,730,27
94,731,27
95,732,27
96,733,27
97,740,22
98,750,24
99,751,24
100,770,27
101,780,24
102,790,27
103,791,27
104,792,27
105,810,28
106,820,29
107,830,28
108,832,28
109,850,29
110,860,29
111,870,29
112,900,27
113,910,9
114,920,20
115,930,21
116,940,27
117,950,24
118,999,30
