itype,g1,g2,g3,g4,g5,g6,g7,g8,g9,g10,g11
1,25,6,36,44,36,35,46,26,46,46,46
2,29,8,43,57,43,51,68,44,68,68,68
3,35,10,51,76,51,57,76,49,76,76,76
4,35,10,50,62,50,60,80,51,80,78,80
5,32,9,44,72,44,48,64,41,75,64,64
6,34,10,49,72,49,55,73,47,73,73,73
7,35,10,48,71,48,45,67,39,72,61,61
8,32,9,46,67,46,38,67,33,70,51,51
9,27,7,41,55,41,44,59,38,63,59,59
10,39,11,55,86,55,60,80,51,80,80,80
11,37,9,46,67,46,64,85,42,80,85,85
12,32,11,52,80,52,47,62,40,62,68,62
13,36,12,59,95,59,47,62,40,62,68,62
14,41,12,58,93,58,47,62,40,62,68,62
15,41,12,58,93,58,47,62,40,62,68,62
16,41,12,58,93,58,47,62,40,62,68,62
17,43,13,60,98,60,47,62,40,62,68,62
18,38,11,54,84,54,47,62,40,62,68,62
19,39,11,55,86,55,47,62,40,62,68,62
20,32,9,46,67,46,53,70,46,74,75,70
21,36,10,49,73,49,50,67,43,76,68,67
22,34,10,52,80,52,57,76,49,76,78,76
23,34,10,52,80,52,49,65,42,68,80,76
24,32,9,46,67,46,57,76,42,68,80,76
25,36,10,52,80,52,49,65,42,68,80,76
26,36,10,52,80,52,49,65,42,65,67,65
27,36,10,52,80,52,47,62,30,35,64,62
28,26,7,38,49,38,41,55,36,51,53,55
29,22,6,33,36,33,26,35,23,35,45,35
30,26,7,38,49,38,60,80,51,80,78,80
