code_alpha,code_fia,code_plants,target_kt,target_kt2,target_kt3,target_kt4
,299,,OT,OT,OT,OT
,,2TB,OT,OT,OT,OT
,,2TD,OT,OT,OT,OT
,,2TE,OT,OT,OT,OT
,,2TN,OT,OT,OT,OT
,,2TREE,OT,OT,OT,OT
OE,850,,OT,OT,OT,OT
,998,,OT,OT,OT,OT
,999,,OT,OT,OT,OT
SF,011,ABAM,OT,OT,OT,OT
SL,014,ABBR,OT,OT,OT,OT
WF,015,ABCO,GF,GF,GF,GF
,,ABCOC,GF,GF,GF,GF
,,ABCOL,GF,GF,GF,GF
GF,017,ABGR,GF,GF,GF,GF
OF,010,ABIES,GF,GF,GF,GF
AF,019,ABLA,AF,AF,AF,AF
CB,018,ABLAA,AF,AF,AF,AF
,,ABLAL,AF,AF,AF,AF
RF,020,ABMA,OT,OT,OT,OT
,,ABMAS,OT,OT,OT,OT
NF,022,ABPR,OT,OT,OT,OT
SH,021,ABSH,OT,OT,OT,OT
OM,310,ACER,OT,OT,OT,OT
MM,321,ACGL,OT,OT,OT,OT
,,ACGLD3,OT,OT,OT,OT
,,ACGLD4,OT,OT,OT,OT
,,ACGLG,OT,OT,OT,OT
,,ACGLG2,OT,OT,OT,OT
,,ACGLN2,OT,OT,OT,OT
,,ACGLT2,OT,OT,OT,OT
BI,322,ACGR3,OT,OT,OT,OT
,,ACGRG,OT,OT,OT,OT
,,ACGRS,OT,OT,OT,OT
BM,312,ACMA3,OT,OT,OT,OT
,,ACNE2,OT,OT,OT,OT
,,ACNEA,OT,OT,OT,OT
,,ACNEC2,OT,OT,OT,OT
,,ACNEI2,OT,OT,OT,OT
,,ACNEN,OT,OT,OT,OT
,,ACNET,OT,OT,OT,OT
,,ACPL,OT,OT,OT,OT
,,ACSA2,OT,OT,OT,OT
BU,333,AECA,OT,OT,OT,OT
,,AEHI,OT,OT,OT,OT
TH,341,AIAL,OT,OT,OT,OT
,,ALCO13,OT,OT,OT,OT
,,ALIN2,OT,OT,OT,OT
,,ALINT,OT,OT,OT,OT
,,ALJU,OT,OT,OT,OT
,,ALLE,OT,OT,OT,OT
AD,350,ALNUS,OT,OT,OT,OT
,,ALOB2,OT,OT,OT,OT
WA,352,ALRH2,OT,OT,OT,OT
RA,351,ALRU2,OT,OT,OT,OT
,,ALVI5,OT,OT,OT,OT
,,ALVIC,OT,OT,OT,OT
,,ALVIF,OT,OT,OT,OT
,,ALVIS,OT,OT,OT,OT
AM,362,ARAR2,OT,OT,OT,OT
MS,360,ARBUT,OT,OT,OT,OT
MA,361,ARME,OT,OT,OT,OT
,,ARXA80,OT,OT,OT,OT
,,BEGL,OT,OT,OT,OT
,,BENA,OT,OT,OT,OT
AB,376,BENE4,OT,OT,OT,OT
WT,374,BEOC2,OT,OT,OT,OT
PB,375,BEPA,OT,OT,OT,OT
,,BEPAC,OT,OT,OT,OT
,,BEPAK,OT,OT,OT,OT
,,BEPAP,OT,OT,OT,OT
,,BEPU4,OT,OT,OT,OT
,,BEPUG,OT,OT,OT,OT
OB,370,BETUL,OT,OT,OT,OT
NW,378,BEUT,OT,OT,OT,OT
C,,,RC,RC,RC,RC
,,CABI8,OT,OT,OT,OT
IC,081,CADE27,OT,OT,OT,OT
,,CAGI10,OT,OT,OT,OT
YC,042,CANO9,OT,OT,OT,OT
,,CASP8,OT,OT,OT,OT
,,CATAL,OT,OT,OT,OT
,,CEEH,OT,OT,OT,OT
,,CEIN7,OT,OT,OT,OT
,,CELA,OT,OT,OT,OT
,,CELAB,OT,OT,OT,OT
,,CELAR,OT,OT,OT,OT
,,CELAT8,OT,OT,OT,OT
MC,475,CELE3,OT,OT,OT,OT
,,CELEI,OT,OT,OT,OT
,,CELEL,OT,OT,OT,OT
,,CELTI,OT,OT,OT,OT
,,CEMO2,OT,OT,OT,OT
MB,478,CEMOG,OT,OT,OT,OT
,,CEMOM4,OT,OT,OT,OT
,,CEMOP,OT,OT,OT,OT
,,CEOC,OT,OT,OT,OT
,,CERCO,OT,OT,OT,OT
CS,040,CHAMA4,OT,OT,OT,OT
,,CHCH7,OT,OT,OT,OT
GC,431,CHCHC4,OT,OT,OT,OT
,,CHCHM,OT,OT,OT,OT
PC,041,CHLA,OT,OT,OT,OT
,,CHRYS15,OT,OT,OT,OT
HZ,,COCO6,OT,OT,OT,OT
,,COCOC,OT,OT,OT,OT
,,COGL3,OT,OT,OT,OT
DG,492,CONU4,OT,OT,OT,OT
DS,490,CORNU,OT,OT,OT,OT
,,CORYL,OT,OT,OT,OT
,,COSE16,OT,OT,OT,OT
,,COSE3,OT,OT,OT,OT
,,COSEO,OT,OT,OT,OT
,,COSES,OT,OT,OT,OT
HT,500,CRATA,OT,OT,OT,OT
,,CRCH,OT,OT,OT,OT
,,CRCR2,OT,OT,OT,OT
,,CRDO2,OT,OT,OT,OT
,,CRER,OT,OT,OT,OT
,,CRMO3,OT,OT,OT,OT
,,CRRI,OT,OT,OT,OT
,,CRSA2,OT,OT,OT,OT
,,CRSU16,OT,OT,OT,OT
,,CRSU5,OT,OT,OT,OT
,,CUAB,OT,OT,OT,OT
AC,051,CUAR,OT,OT,OT,OT
,,CUARA,OT,OT,OT,OT
,,CUARN2,OT,OT,OT,OT
,,CUARS2,OT,OT,OT,OT
CC,052,CUBA,OT,OT,OT,OT
TC,053,CUFO2,OT,OT,OT,OT
,,CUGO,OT,OT,OT,OT
,,CUGOG,OT,OT,OT,OT
,,CUGOP2,OT,OT,OT,OT
,,CUMA,OT,OT,OT,OT
MO,054,CUMA2,OT,OT,OT,OT
CU,050,CUPRE,OT,OT,OT,OT
SA,055,CUSA3,OT,OT,OT,OT
,,DIOSP,OT,OT,OT,OT
,,DIVI5,OT,OT,OT,OT
,,ELAEA,OT,OT,OT,OT
,,ELAN,OT,OT,OT,OT
,,ERJA3,OT,OT,OT,OT
,,EUCA2,OT,OT,OT,OT
,,EUCAL,OT,OT,OT,OT
,,EUCL,OT,OT,OT,OT
,,EUGL,OT,OT,OT,OT
,,EUGLG,OT,OT,OT,OT
,,EUMO5,OT,OT,OT,OT
,,EUPO,OT,OT,OT,OT
,,EUPU,OT,OT,OT,OT
,,EUSI2,OT,OT,OT,OT
,,EUTE,OT,OT,OT,OT
,,EUTO11,OT,OT,OT,OT
,,EUVI,OT,OT,OT,OT
,,FICA,OT,OT,OT,OT
,,FICUS,OT,OT,OT,OT
,,FIPA2,OT,OT,OT,OT
,,FIRU4,OT,OT,OT,OT
,,FRAN2,OT,OT,OT,OT
,,FRANA,OT,OT,OT,OT
,,FRANL,OT,OT,OT,OT
OX,540,FRAXI,OT,OT,OT,OT
,,FRCA6,OT,OT,OT,OT
,,FRCU,OT,OT,OT,OT
,,FRDI2,OT,OT,OT,OT
,,FRGO,OT,OT,OT,OT
,,FRGR2,OT,OT,OT,OT
FL,542,FRLA,OT,OT,OT,OT
,,FRME2,OT,OT,OT,OT
,,FRPA4,OT,OT,OT,OT
GA,544,FRPE,OT,OT,OT,OT
