species_index,ls_spi,v2t,tfall_cls,leaf_life,dkr_cls,snag_cls,bark_eqnum,snag_decayx,snag_fallx,snag_alldwn,biogrp,bio_group
1,15,22.5,15,4,4,2,1,1.1,0.9,110,4,4
2,8,26.2,15,5,3,2,1,1.1,1.0,150,1,1
3,3,28.1,15,5,3,2,1,1.1,0.9,75,2,2
4,4,21.8,15,7,4,2,1,0.9,1.1,90,3,3
5,17,19.3,10,5,4,1,1,0.9,0.9,100,6,6
6,7,19.3,20,5,2,2,1,0.9,0.3,300,1,1
7,17,19.3,10,3,4,1,1,0.9,1.6,35,6,6
8,17,19.3,10,6,4,1,1,0.9,1.2,100,6,6
9,1,21.8,15,7,4,2,1,0.9,0.8,40,3,3
10,13,23.7,10,4,4,2,1,1.0,1.0,90,4,4
11,17,19.3,10,3,4,1,1,0.9,0.41,90,6,6
12,3,26.2,15,7,1,2,1,1.0,1.0,100,3,3
