index,pa
1,CDC411
2,CDC412
3,CDC421
4,CDC431
5,CDC432
6,CDC511
7,CDC521
8,CDF911
9,CDH111
10,CDH112
11,CDH121
12,CDH131
13,CDH141
14,CDH142
15,CDH511
16,CDS111
17,CDS112
18,CDS511
19,CDS521
20,CHC111
21,CHC412
22,CHC461
23,CHC611
24,CHH111
25,CHH511
26,CHS131
27,CHS331
28,CMF211
29,CPC411
30,CPC511
31,CPG141
32,CPH411
33,CPS321
34,CPS611
35,CQF111
36,CRF211
37,CRF311
38,CRH111
39,CRS211
40,CTH111
41,CTH211
42,CTS111
43,CTS112
44,CTS211
45,CTS311
46,CWC221
47,CWC231
48,CWC232
49,CWC233
50,CWC241
51,CWC521
52,CWC522
53,CWC523
54,CWC611
55,CWC612
56,CWC721
57,CWC722
58,CWC723
59,CWC811
60,CWC911
61,CWF911
62,CWH312
63,CWH413
64,CWH511
65,CWH521
66,CWH522
67,CWH531
68,CWS331
69,CWS523
70,HTC111
71,HTC211
72,HTC311
73,HTC411
74,HTC412
75,HTH111
76,HTH112
77,HTH211
78,HTH311
79,HTS111
80,HTS112
81,HTS221
82,HTS222
83,HTS223
84,HTS311
85,HTS312
86,HTS321
87,HTS331
88,HTS341
89,HTS411
90,HTS511
