species_index,code_alpha,code_fia,code_plants,site_lo,site_hi,dbh_max,bark1,bark2,bark_imap,st_dgmax,st_xmax,st_xmin,st_diam,st_htadj,st_break,ht1,ht2,wykoff_ht2,mort_bkgd_intercept,mort_bkgd_dbh,sdi_max_default,stump,top_dib,dbh_min,scf_min_dbh,scf_top_dib,scf_stump,bf_min_dbh,bf_top_dib,bf_stump,htdbh_iwykca,htdbh_ht1,htdbh_ht2,htdbh_p2,htdbh_p3,htdbh_p4,htdbh_db,varmrt_varadj,is_sprouting,dg_resid_sd,bark_intercept,bark_slope
1,OS,299,2TN,50,150,200,0.1429,0.1137,1,3,5,2,0.3,0,0,4.78737,-7.31698,0,6.5112,-0.0052485,720,1.0,6.0,7.0,7.0,6.0,1.0,9.0,6.0,1.0,0,0,0,0,0,0,0,1.0,0,0.33,-0.1429,0.8863
2,SP,117,PILA,40,120,200,0.1429,0.1137,1,3,5,2,0.4,0,0,4.74961,-7.19103,0,6.5112,-0.0052485,720,1.0,6.0,7.0,7.0,6.0,1.0,9.0,6.0,1.0,0,0,0,0,0,0,0,1.0,0,0.2713,-0.1429,0.8863
3,DF,202,PSME,50,150,200,0.1045,0.1661,1,3,5,2,0.3,0,0,4.78737,-7.31698,0,7.2985,-0.0129121,720,1.0,6.0,7.0,7.0,6.0,1.0,9.0,6.0,1.0,0,0,0,0,0,0,0,1.0,0,0.33,-0.1045,0.8339
4,WF,15,ABCO,30,130,200,0.1593,0.1089,1,3,5,2,0.3,0,0,4.80268,-8.40657,0,5.1677,-0.0077681,720,1.0,6.0,7.0,7.0,6.0,1.0,9.0,6.0,1.0,0,0,0,0,0,0,0,1.0,0,0.33,-0.1593,0.8911
5,MA,361,ARME,50,100,200,-0.01348,0.98155,2,3,5,2,0.2,0,0,4.73881,-9.44913,0,9.6943,-0.0127328,720,1.0,6.0,7.0,7.0,6.0,1.0,9.0,6.0,1.0,0,0,0,0,0,0,0,1.0,1,0.3306,-0.01348,0.98155
6,IC,81,CADE27,30,130,200,-0.0549,0.1626,1,3,5,2,0.2,0,0,4.89619,-12.55873,0,5.1677,-0.0077681,720,1.0,6.0,7.0,7.0,6.0,1.0,9.0,6.0,1.0,0,0,0,0,0,0,0,1.0,0,0.3513,0.0549,0.8374
7,BO,818,QUKE,30,70,200,-0.26824,0.95767,2,3,5,2,0.2,0,0,4.8042,-9.92422,0,5.9617,-0.0340128,720,1.0,6.0,7.0,7.0,6.0,1.0,9.0,6.0,1.0,0,0,0,0,0,0,0,1.0,1,0.3541,-0.26824,0.95767
8,TO,631,LIDE3,50,90,200,-0.26824,0.95354,2,3,5,2,0.2,0,0,4.66181,-8.33117,0,9.6943,-0.0127328,720,1.0,6.0,7.0,7.0,6.0,1.0,9.0,6.0,1.0,0,0,0,0,0,0,0,1.0,1,0.3558,-0.26824,0.95354
9,RF,20,ABMA,30,130,200,0.1593,0.1089,1,3,5,2,0.3,0,0,4.83642,-7.04795,0,5.1677,-0.0077681,720,1.0,6.0,7.0,7.0,6.0,1.0,9.0,6.0,1.0,0,0,0,0,0,0,0,1.0,0,0.3136,-0.1593,0.8911
10,PP,122,PIPO,40,120,200,0.4448,0.1033,1,3,5,2,0.5,0,0,4.23251,-8.31711,0,5.5877,-0.005348,720,1.0,6.0,7.0,7.0,6.0,1.0,9.0,6.0,1.0,0,0,0,0,0,0,0,1.0,0,0.1954,-0.4448,0.8967
11,OH,998,2TB,50,90,200,-0.26824,0.95767,2,3,5,2,0.2,0,0,4.66181,-8.33117,0,5.1677,-0.0077681,720,1.0,6.0,7.0,7.0,6.0,1.0,9.0,6.0,1.0,0,0,0,0,0,0,0,1.0,0,0.3558,-0.26824,0.95767
12,RW,211,SESE3,50,150,200,0.7012,1.04862,3,7,10,2,0.3,0,0,5.3401,-15.9354,0,2.5968,0.51261,720,1.0,6.0,7.0,7.0,6.0,1.0,9.0,6.0,1.0,0,0,0,0,0,0,0,1.0,1,0.6178,0.0,0.81
