code_alpha,code_fia,code_plants,target_nc,target_nc2,target_nc3,target_nc4
,299,,OS,OS,OS,OS
,117,,SP,SP,SP,SP
,202,,DF,DF,DF,DF
,15,,WF,WF,WF,WF
,361,,MA,MA,MA,MA
,81,,IC,IC,IC,IC
,818,,BO,BO,BO,BO
,631,,TO,TO,TO,TO
,20,,RF,RF,RF,RF
,122,,PP,PP,PP,PP
,998,,OH,OH,OH,OH
,211,,RW,RW,RW,RW
OE,850,,BO,BO,BO,BO
,999,,OS,OS,OS,OS
SF,011,ABAM,RF,RF,RF,RF
SL,014,ABBR,OS,OS,OS,OS
WF,015,ABCO,WF,WF,WF,WF
GF,017,ABGR,WF,WF,WF,WF
OF,010,ABIES,WF,WF,WF,WF
AF,019,ABLA,OS,OS,OS,OS
CB,018,ABLAA,OS,OS,OS,OS
RF,020,ABMA,RF,RF,RF,RF
NF,022,ABPR,RF,RF,RF,RF
SH,021,ABSH,RF,RF,RF,RF
OM,310,ACER,MA,MA,MA,MA
MM,321,ACGL,OH,OH,OH,OH
BI,322,ACGR3,OH,OH,OH,OH
BM,312,ACMA3,MA,MA,MA,MA
BU,333,AECA,OH,OH,OH,OH
TH,341,AIAL,OH,OH,OH,OH
AD,350,ALNUS,OH,OH,OH,OH
WA,352,ALRH2,OH,OH,OH,OH
RA,351,ALRU2,OH,OH,OH,OH
AM,362,ARAR2,OH,OH,OH,OH
MS,360,ARBUT,MA,MA,MA,MA
AB,376,BENE4,OH,OH,OH,OH
WT,374,BEOC2,OH,OH,OH,OH
PB,375,BEPA,OH,OH,OH,OH
OB,370,BETUL,OH,OH,OH,OH
NW,378,BEUT,OH,OH,OH,OH
IC,081,CADE27,IC,IC,IC,IC
YC,042,CANO9,DF,DF,DF,DF
MC,475,CELE3,OH,OH,OH,OH
MB,478,CEMOG,OH,OH,OH,OH
CS,040,CHAMA4,DF,DF,DF,DF
GC,431,CHCHC4,OH,OH,OH,OH
PC,041,CHLA,DF,DF,DF,DF
DG,492,CONU4,OH,OH,OH,OH
DS,490,CORNU,OH,OH,OH,OH
HT,500,CRATA,OH,OH,OH,OH
AC,051,CUAR,OS,OS,OS,OS
CC,052,CUBA,OS,OS,OS,OS
TC,053,CUFO2,OS,OS,OS,OS
MO,054,CUMA2,OS,OS,OS,OS
CU,050,CUPRE,OS,OS,OS,OS
SA,055,CUSA3,OS,OS,OS,OS
OX,540,FRAXI,OH,OH,OH,OH
FL,542,FRLA,OH,OH,OH,OH
GA,544,FRPE,OH,OH,OH,OH
VA,547,FRVE2,OH,OH,OH,OH
SB,604,JUCA,OH,OH,OH,OH
CJ,062,JUCA7,OS,OS,OS,OS
RJ,059,JUCO11,OS,OS,OS,OS
AJ,063,JUDE2,OS,OS,OS,OS
WN,600,JUGLA,OH,OH,OH,OH
CA,603,JUHI,OH,OH,OH,OH
TW,605,JUMI,OH,OH,OH,OH
OJ,069,JUMO,OS,OS,OS,OS
JU,057,JUNIP,OS,OS,OS,OS
WJ,064,JUOC,OS,OS,OS,OS
UJ,065,JUOS,OS,OS,OS,OS
PJ,058,JUPI,OS,OS,OS,OS
RM,066,JUSC2,OS,OS,OS,OS
ER,068,JUVI,OS,OS,OS,OS
TA,071,LALA,OS,OS,OS,OS
LL,072,LALY,OS,OS,OS,OS
WL,073,LAOC,OS,OS,OS,OS
OL,070,LARIX,OS,OS,OS,OS
OR,661,MAFU,OH,OH,OH,OH
AL,660,MALUS,OH,OH,OH,OH
DI,990,OLTE,OH,OH,OH,OH
WB,101,PIAL,OS,OS,OS,OS
BC,102,PIAR,OS,OS,OS,OS
AR,135,PIAR5,OS,OS,OS,OS
KP,103,PIAT,OS,OS,OS,OS
FP,104,PIBA,OS,OS,OS,OS
BR,092,PIBR,OS,OS,OS,OS
ME,140,PICE,OS,OS,OS,OS
SR,090,PICEA,OS,OS,OS,OS
LP,108,PICO,PP,PP,PP,PP
CP,109,PICO3,OS,OS,OS,OS
PD,134,PIDI3,OS,OS,OS,OS
PI,106,PIED,OS,OS,OS,OS
ES,093,PIEN,OS,OS,OS,OS
AP,112,PIEN2,OS,OS,OS,OS
LM,113,PIFL2,OS,OS,OS,OS
WS,094,PIGL,OS,OS,OS,OS
JP,116,PIJE,PP,PP,PP,PP
CI,118,PILE,OS,OS,OS,OS
GB,142,PILO,OS,OS,OS,OS
BE,095,PIMA,OS,OS,OS,OS
PM,133,PIMO,OS,OS,OS,OS
WP,119,PIMO3,SP,SP,SP,SP
AZ,143,PIMOF,OS,OS,OS,OS
BP,120,PIMU,OS,OS,OS,OS
PN,136,PINI,OS,OS,OS,OS
OP,100,PINUS,SP,SP,SP,SP
BS,096,PIPU,OS,OS,OS,OS
FO,138,PIQU,OS,OS,OS,OS
MP,124,PIRA2,PP,PP,PP,PP
GP,127,PISA2,OS,OS,OS,OS
SS,098,PISI,OS,OS,OS,OS
SW,114,PIST3,OS,OS,OS,OS
ST,130,PISY,OS,OS,OS,OS
TP,139,PITO,PP,PP,PP,PP
WE,137,PIWA,PP,PP,PP,PP
SY,730,PLRA,OH,OH,OH,OH
NC,749,POAN3,OH,OH,OH,OH
BA,741,POBA2,OH,OH,OH,OH
CW,747,POBAT,OH,OH,OH,OH
PW,745,PODEM,OH,OH,OH,OH
FC,748,POFR2,OH,OH,OH,OH
CO,740,POPUL,OH,OH,OH,OH
AS,746,POTR5,OH,OH,OH,OH
CH,768,PREM,OH,OH,OH,OH
HM,756,PRGL2,OH,OH,OH,OH
MQ,755,PROSO,OH,OH,OH,OH
