species,equation_default,equation_open
JP,10501,10503
SC,13001,13001
RN,12501,12503
RP,12501,12503
WP,12901,12903
WS,09401,09403
NS,09101,09104
BF,01201,01203
BS,09501,09503
TA,07101,07103
WC,24101,24101
EH,26101,26101
OS,06801,06801
RC,06801,06801
BA,54301,54301
GA,54401,54403
EC,74201,74203
SV,31701,31701
RM,31601,31603
BC,76201,76203
AE,97201,97203
RL,97501,97501
RE,97201,97203
YB,37101,37101
BW,95101,95101
SM,31801,31803
BM,31801,31803
AB,53101,53101
WA,54101,54101
WO,80201,80204
SW,80201,80204
BR,82301,82303
CK,82601,82601
RO,83301,83303
BO,83701,83704
NP,80901,80901
BH,40201,40201
PH,40301,40301
SH,40701,40703
BT,74301,74301
QA,74601,74603
BP,74101,74101
PB,37501,37503
,93101,93101
BN,60201,60201
WN,60201,60201
HH,70101,70101
BK,90101,90101
OH,93101,93101
BE,31301,31301
ST,31301,31301
MM,31301,31301
AH,39101,39101
AC,40701,40703
HK,46201,46201
DW,49101,49101
HT,49101,49101
AP,76102,76102
BG,69301,69301
SY,73101,73101
PR,76102,76102
CC,76102,76102
PL,76102,76102
WI,97201,97203
BL,97201,97203
DM,97201,97203
SS,93101,93101
MA,55201,55201
